	changepoint_prior_scale	seasonality_prior_scale	holidays_prior_scale	rmse	mape	mae	horizon
0	0.001	0.01	0.01	64.422	33.113	49.4	7 days
1	0.001	0.01	0.1	64.422	33.113	49.4	7 days
2	0.001	0.01	1.0	64.422	33.113	49.4	7 days
3	0.001	0.01	10.0	64.422	33.113	49.4	7 days
4	0.001	0.1	0.01	63.477	30.672	48.089	7 days
5	0.001	0.1	0.1	63.477	30.672	48.089	7 days
6	0.001	0.1	1.0	63.477	30.672	48.089	7 days
7	0.001	0.1	10.0	63.477	30.672	48.089	7 days
8	0.001	1.0	0.01	62.872	28.285	46.76	7 days
9	0.001	1.0	0.1	62.872	28.285	46.76	7 days
10	0.001	1.0	1.0	62.872	28.285	46.76	7 days
11	0.001	1.0	10.0	62.872	28.285	46.76	7 days
12	0.001	10.0	0.01	63.035	29.363	47.234	7 days
13	0.001	10.0	0.1	63.035	29.363	47.234	7 days
14	0.001	10.0	1.0	63.035	29.363	47.234	7 days
15	0.001	10.0	10.0	63.035	29.363	47.234	7 days
16	0.01	0.01	0.01	63.784	31.875	48.272	7 days
17	0.01	0.01	0.1	63.784	31.875	48.272	7 days
18	0.01	0.01	1.0	63.784	31.875	48.272	7 days
19	0.01	0.01	10.0	63.784	31.875	48.272	7 days
20	0.01	0.1	0.01	63.228	29.623	47.504	7 days
21	0.01	0.1	0.1	63.228	29.623	47.504	7 days
22	0.01	0.1	1.0	63.228	29.623	47.504	7 days
23	0.01	0.1	10.0	63.228	29.623	47.504	7 days
24	0.01	1.0	0.01	63.266	29.618	47.556	7 days
25	0.01	1.0	0.1	63.266	29.618	47.556	7 days
26	0.01	1.0	1.0	63.266	29.618	47.556	7 days
27	0.01	1.0	10.0	63.266	29.618	47.556	7 days
28	0.01	10.0	0.01	63.312	29.534	47.548	7 days
29	0.01	10.0	0.1	63.312	29.534	47.548	7 days
30	0.01	10.0	1.0	63.312	29.534	47.548	7 days
31	0.01	10.0	10.0	63.312	29.534	47.548	7 days
32	0.1	0.01	0.01	63.287	30.357	47.413	7 days
33	0.1	0.01	0.1	63.287	30.357	47.413	7 days
34	0.1	0.01	1.0	63.287	30.357	47.413	7 days
35	0.1	0.01	10.0	63.287	30.357	47.413	7 days
36	0.1	0.1	0.01	62.735	28.309	46.665	7 days
37	0.1	0.1	0.1	62.735	28.309	46.665	7 days
38	0.1	0.1	1.0	62.735	28.309	46.665	7 days
39	0.1	0.1	10.0	62.735	28.309	46.665	7 days
40	0.1	1.0	0.01	62.718	28.524	46.711	7 days
41	0.1	1.0	0.1	62.718	28.524	46.711	7 days
42	0.1	1.0	1.0	62.718	28.524	46.711	7 days
43	0.1	1.0	10.0	62.718	28.524	46.711	7 days
44	0.1	10.0	0.01	62.454	28.541	46.477	7 days
45	0.1	10.0	0.1	62.454	28.541	46.477	7 days
46	0.1	10.0	1.0	62.454	28.541	46.477	7 days
47	0.1	10.0	10.0	62.454	28.541	46.477	7 days
48	0.5	0.01	0.01	63.204	29.899	47.244	7 days
49	0.5	0.01	0.1	63.204	29.899	47.244	7 days
50	0.5	0.01	1.0	63.204	29.899	47.244	7 days
51	0.5	0.01	10.0	63.204	29.899	47.244	7 days
52	0.5	0.1	0.01	62.679	27.893	46.431	7 days
53	0.5	0.1	0.1	62.679	27.893	46.431	7 days
54	0.5	0.1	1.0	62.679	27.893	46.431	7 days
55	0.5	0.1	10.0	62.679	27.893	46.431	7 days
56	0.5	1.0	0.01	62.418	28.069	46.336	7 days
57	0.5	1.0	0.1	62.418	28.069	46.336	7 days
58	0.5	1.0	1.0	62.418	28.069	46.336	7 days
59	0.5	1.0	10.0	62.418	28.069	46.336	7 days
60	0.5	10.0	0.01	61.961	27.871	45.906	7 days
61	0.5	10.0	0.1	61.961	27.871	45.906	7 days
62	0.5	10.0	1.0	61.961	27.871	45.906	7 days
63	0.5	10.0	10.0	61.961	27.871	45.906	7 days
