ds,ds
2,1
3,1
5,2
6,7
7,26
8,94
9,3419
10,3494
11,3493
12,3492
13,3499
14,3495
15,3480
16,3472
17,3474
18,3475
19,3472
20,3446
21,3279
22,51
23,14
