ds,ds
0,1
1,1
2,1
3,1
5,4
6,5
7,25
8,141
9,3432
10,3491
11,3492
12,3492
13,3493
14,3487
15,3470
16,3458
17,3453
18,3456
19,3455
20,3412
21,3322
22,21
23,14
