ds,ds
0,18
1,12
2,9
3,7
4,7
5,5
6,1
7,7
8,580
9,7055
10,7367
11,7364
12,7364
13,7365
14,7228
15,6845
16,6923
17,6922
18,6924
19,6925
20,6731
21,4173
22,20
23,21
