ds,ds
0,3
1,4
2,2
3,3
4,2
7,21
8,218
9,3780
10,4148
11,4156
12,4153
13,4161
14,4162
15,3531
16,3449
17,3456
18,3452
19,3448
20,3390
21,3308
22,20
23,18
