	changepoint_prior_scale	seasonality_prior_scale	holidays_prior_scale	rmse	mape	mae	horizon
0	0.001	0.01	0.01	8.728	81.755	7.114	7 days
1	0.001	0.01	0.1	8.728	81.755	7.114	7 days
2	0.001	0.01	1.0	8.728	81.755	7.114	7 days
3	0.001	0.01	10.0	8.728	81.755	7.114	7 days
4	0.001	0.1	0.01	7.08	75.213	5.786	7 days
5	0.001	0.1	0.1	7.08	75.213	5.786	7 days
6	0.001	0.1	1.0	7.08	75.213	5.786	7 days
7	0.001	0.1	10.0	7.08	75.213	5.786	7 days
8	0.001	1.0	0.01	7.048	60.562	5.604	7 days
9	0.001	1.0	0.1	7.048	60.562	5.604	7 days
10	0.001	1.0	1.0	7.048	60.562	5.604	7 days
11	0.001	1.0	10.0	7.048	60.562	5.604	7 days
12	0.001	10.0	0.01	7.015	65.028	5.68	7 days
13	0.001	10.0	0.1	7.015	65.028	5.68	7 days
14	0.001	10.0	1.0	7.015	65.028	5.68	7 days
15	0.001	10.0	10.0	7.015	65.028	5.68	7 days
16	0.01	0.01	0.01	8.802	102.585	7.518	7 days
17	0.01	0.01	0.1	8.802	102.585	7.518	7 days
18	0.01	0.01	1.0	8.802	102.585	7.518	7 days
19	0.01	0.01	10.0	8.802	102.585	7.518	7 days
20	0.01	0.1	0.01	6.551	66.573	5.393	7 days
21	0.01	0.1	0.1	6.551	66.573	5.393	7 days
22	0.01	0.1	1.0	6.551	66.573	5.393	7 days
23	0.01	0.1	10.0	6.551	66.573	5.393	7 days
24	0.01	1.0	0.01	6.478	62.738	5.329	7 days
25	0.01	1.0	0.1	6.478	62.738	5.329	7 days
26	0.01	1.0	1.0	6.478	62.738	5.329	7 days
27	0.01	1.0	10.0	6.478	62.738	5.329	7 days
28	0.01	10.0	0.01	6.492	63.856	5.346	7 days
29	0.01	10.0	0.1	6.492	63.856	5.346	7 days
30	0.01	10.0	1.0	6.492	63.856	5.346	7 days
31	0.01	10.0	10.0	6.492	63.856	5.346	7 days
32	0.1	0.01	0.01	8.847	108.947	7.634	7 days
33	0.1	0.01	0.1	8.847	108.947	7.634	7 days
34	0.1	0.01	1.0	8.847	108.947	7.634	7 days
35	0.1	0.01	10.0	8.847	108.947	7.634	7 days
36	0.1	0.1	0.01	6.605	70.822	5.47	7 days
37	0.1	0.1	0.1	6.605	70.822	5.47	7 days
38	0.1	0.1	1.0	6.605	70.822	5.47	7 days
39	0.1	0.1	10.0	6.605	70.822	5.47	7 days
40	0.1	1.0	0.01	6.552	67.802	5.392	7 days
41	0.1	1.0	0.1	6.552	67.802	5.392	7 days
42	0.1	1.0	1.0	6.552	67.802	5.392	7 days
43	0.1	1.0	10.0	6.552	67.802	5.392	7 days
44	0.1	10.0	0.01	6.479	67.829	5.348	7 days
45	0.1	10.0	0.1	6.479	67.829	5.348	7 days
46	0.1	10.0	1.0	6.479	67.829	5.348	7 days
47	0.1	10.0	10.0	6.479	67.829	5.348	7 days
48	0.5	0.01	0.01	8.861	109.611	7.652	7 days
49	0.5	0.01	0.1	8.861	109.611	7.652	7 days
50	0.5	0.01	1.0	8.861	109.611	7.652	7 days
51	0.5	0.01	10.0	8.861	109.611	7.652	7 days
52	0.5	0.1	0.01	6.66	74.248	5.524	7 days
53	0.5	0.1	0.1	6.66	74.248	5.524	7 days
54	0.5	0.1	1.0	6.66	74.248	5.524	7 days
55	0.5	0.1	10.0	6.66	74.248	5.524	7 days
56	0.5	1.0	0.01	6.547	71.428	5.415	7 days
57	0.5	1.0	0.1	6.547	71.428	5.415	7 days
58	0.5	1.0	1.0	6.547	71.428	5.415	7 days
59	0.5	1.0	10.0	6.547	71.428	5.415	7 days
60	0.5	10.0	0.01	6.427	71.904	5.415	7 days
61	0.5	10.0	0.1	6.427	71.904	5.415	7 days
62	0.5	10.0	1.0	6.427	71.904	5.415	7 days
63	0.5	10.0	10.0	6.427	71.904	5.415	7 days
