	changepoint_prior_scale	seasonality_prior_scale	holidays_prior_scale	rmse	mape	mae	horizon
0	0.001	0.01	0.01	59.512	23.944	45.974	7 days
1	0.001	0.01	0.1	59.512	23.944	45.974	7 days
2	0.001	0.01	1.0	59.512	23.944	45.974	7 days
3	0.001	0.01	10.0	59.512	23.944	45.974	7 days
4	0.001	0.1	0.01	57.954	23.327	45.672	7 days
5	0.001	0.1	0.1	57.954	23.327	45.672	7 days
6	0.001	0.1	1.0	57.954	23.327	45.672	7 days
7	0.001	0.1	10.0	57.954	23.327	45.672	7 days
8	0.001	1.0	0.01	58.198	23.372	45.766	7 days
9	0.001	1.0	0.1	58.198	23.372	45.766	7 days
10	0.001	1.0	1.0	58.198	23.372	45.766	7 days
11	0.001	1.0	10.0	58.198	23.372	45.766	7 days
12	0.001	10.0	0.01	58.443	23.6	46.175	7 days
13	0.001	10.0	0.1	58.443	23.6	46.175	7 days
14	0.001	10.0	1.0	58.443	23.6	46.175	7 days
15	0.001	10.0	10.0	58.443	23.6	46.175	7 days
16	0.01	0.01	0.01	59.379	24.036	45.938	7 days
17	0.01	0.01	0.1	59.379	24.036	45.938	7 days
18	0.01	0.01	1.0	59.379	24.036	45.938	7 days
19	0.01	0.01	10.0	59.379	24.036	45.938	7 days
20	0.01	0.1	0.01	58.258	23.362	45.778	7 days
21	0.01	0.1	0.1	58.258	23.362	45.778	7 days
22	0.01	0.1	1.0	58.258	23.362	45.778	7 days
23	0.01	0.1	10.0	58.258	23.362	45.778	7 days
24	0.01	1.0	0.01	58.386	23.342	45.861	7 days
25	0.01	1.0	0.1	58.386	23.342	45.861	7 days
26	0.01	1.0	1.0	58.386	23.342	45.861	7 days
27	0.01	1.0	10.0	58.386	23.342	45.861	7 days
28	0.01	10.0	0.01	58.203	23.398	45.793	7 days
29	0.01	10.0	0.1	58.203	23.398	45.793	7 days
30	0.01	10.0	1.0	58.203	23.398	45.793	7 days
31	0.01	10.0	10.0	58.203	23.398	45.793	7 days
32	0.1	0.01	0.01	59.54	23.933	45.987	7 days
33	0.1	0.01	0.1	59.54	23.933	45.987	7 days
34	0.1	0.01	1.0	59.54	23.933	45.987	7 days
35	0.1	0.01	10.0	59.54	23.933	45.987	7 days
36	0.1	0.1	0.01	58.149	23.336	45.687	7 days
37	0.1	0.1	0.1	58.149	23.336	45.687	7 days
38	0.1	0.1	1.0	58.149	23.336	45.687	7 days
39	0.1	0.1	10.0	58.149	23.336	45.687	7 days
40	0.1	1.0	0.01	58.147	23.355	45.707	7 days
41	0.1	1.0	0.1	58.147	23.355	45.707	7 days
42	0.1	1.0	1.0	58.147	23.355	45.707	7 days
43	0.1	1.0	10.0	58.147	23.355	45.707	7 days
44	0.1	10.0	0.01	58.147	23.342	45.692	7 days
45	0.1	10.0	0.1	58.147	23.342	45.692	7 days
46	0.1	10.0	1.0	58.147	23.342	45.692	7 days
47	0.1	10.0	10.0	58.147	23.342	45.692	7 days
48	0.5	0.01	0.01	59.378	23.894	45.85	7 days
49	0.5	0.01	0.1	59.378	23.894	45.85	7 days
50	0.5	0.01	1.0	59.378	23.894	45.85	7 days
51	0.5	0.01	10.0	59.378	23.894	45.85	7 days
52	0.5	0.1	0.01	57.906	23.319	45.573	7 days
53	0.5	0.1	0.1	57.906	23.319	45.573	7 days
54	0.5	0.1	1.0	57.906	23.319	45.573	7 days
55	0.5	0.1	10.0	57.906	23.319	45.573	7 days
56	0.5	1.0	0.01	58.014	23.33	45.651	7 days
57	0.5	1.0	0.1	58.014	23.33	45.651	7 days
58	0.5	1.0	1.0	58.014	23.33	45.651	7 days
59	0.5	1.0	10.0	58.014	23.33	45.651	7 days
60	0.5	10.0	0.01	58.062	23.412	45.774	7 days
61	0.5	10.0	0.1	58.062	23.412	45.774	7 days
62	0.5	10.0	1.0	58.062	23.412	45.774	7 days
63	0.5	10.0	10.0	58.062	23.412	45.774	7 days
