ds,ds
0,28
1,29
2,30
3,29
4,2
5,1
6,5
7,8
8,148
9,2063
10,2372
11,2389
12,2392
13,2388
14,2142
15,144
16,163
17,2113
18,2341
19,2346
20,2327
21,621
22,12
23,19
