	changepoint_prior_scale	seasonality_prior_scale	holidays_prior_scale	rmse	mape	mae	horizon
0	0.001	0.01	0.01	64.471	22.159	51.655	7 days
1	0.001	0.01	0.1	64.471	22.159	51.655	7 days
2	0.001	0.01	1.0	64.471	22.159	51.655	7 days
3	0.001	0.01	10.0	64.471	22.159	51.655	7 days
4	0.001	0.1	0.01	68.775	23.999	55.283	7 days
5	0.001	0.1	0.1	68.775	23.999	55.283	7 days
6	0.001	0.1	1.0	68.775	23.999	55.283	7 days
7	0.001	0.1	10.0	68.775	23.999	55.283	7 days
8	0.001	1.0	0.01	68.29	23.652	54.753	7 days
9	0.001	1.0	0.1	68.29	23.652	54.753	7 days
10	0.001	1.0	1.0	68.29	23.652	54.753	7 days
11	0.001	1.0	10.0	68.29	23.652	54.753	7 days
12	0.001	10.0	0.01	71.231	25.136	57.268	7 days
13	0.001	10.0	0.1	71.231	25.136	57.268	7 days
14	0.001	10.0	1.0	71.231	25.136	57.268	7 days
15	0.001	10.0	10.0	71.231	25.136	57.268	7 days
16	0.01	0.01	0.01	64.428	22.07	51.48	7 days
17	0.01	0.01	0.1	64.428	22.07	51.48	7 days
18	0.01	0.01	1.0	64.428	22.07	51.48	7 days
19	0.01	0.01	10.0	64.428	22.07	51.48	7 days
20	0.01	0.1	0.01	66.281	22.279	52.551	7 days
21	0.01	0.1	0.1	66.281	22.279	52.551	7 days
22	0.01	0.1	1.0	66.281	22.279	52.551	7 days
23	0.01	0.1	10.0	66.281	22.279	52.551	7 days
24	0.01	1.0	0.01	66.534	22.434	52.792	7 days
25	0.01	1.0	0.1	66.534	22.434	52.792	7 days
26	0.01	1.0	1.0	66.534	22.434	52.792	7 days
27	0.01	1.0	10.0	66.534	22.434	52.792	7 days
28	0.01	10.0	0.01	66.27	22.27	52.531	7 days
29	0.01	10.0	0.1	66.27	22.27	52.531	7 days
30	0.01	10.0	1.0	66.27	22.27	52.531	7 days
31	0.01	10.0	10.0	66.27	22.27	52.531	7 days
32	0.1	0.01	0.01	63.622	21.515	50.695	7 days
33	0.1	0.01	0.1	63.622	21.515	50.695	7 days
34	0.1	0.01	1.0	63.622	21.515	50.695	7 days
35	0.1	0.01	10.0	63.622	21.515	50.695	7 days
36	0.1	0.1	0.01	65.511	21.851	51.879	7 days
37	0.1	0.1	0.1	65.511	21.851	51.879	7 days
38	0.1	0.1	1.0	65.511	21.851	51.879	7 days
39	0.1	0.1	10.0	65.511	21.851	51.879	7 days
40	0.1	1.0	0.01	65.443	21.755	51.771	7 days
41	0.1	1.0	0.1	65.443	21.755	51.771	7 days
42	0.1	1.0	1.0	65.443	21.755	51.771	7 days
43	0.1	1.0	10.0	65.443	21.755	51.771	7 days
44	0.1	10.0	0.01	65.466	21.768	51.822	7 days
45	0.1	10.0	0.1	65.466	21.768	51.822	7 days
46	0.1	10.0	1.0	65.466	21.768	51.822	7 days
47	0.1	10.0	10.0	65.466	21.768	51.822	7 days
48	0.5	0.01	0.01	64.064	21.821	51.117	7 days
49	0.5	0.01	0.1	64.064	21.821	51.117	7 days
50	0.5	0.01	1.0	64.064	21.821	51.117	7 days
51	0.5	0.01	10.0	64.064	21.821	51.117	7 days
52	0.5	0.1	0.01	65.927	22.091	52.238	7 days
53	0.5	0.1	0.1	65.927	22.091	52.238	7 days
54	0.5	0.1	1.0	65.927	22.091	52.238	7 days
55	0.5	0.1	10.0	65.927	22.091	52.238	7 days
56	0.5	1.0	0.01	66.023	22.083	52.316	7 days
57	0.5	1.0	0.1	66.023	22.083	52.316	7 days
58	0.5	1.0	1.0	66.023	22.083	52.316	7 days
59	0.5	1.0	10.0	66.023	22.083	52.316	7 days
60	0.5	10.0	0.01	66.224	22.185	52.578	7 days
61	0.5	10.0	0.1	66.224	22.185	52.578	7 days
62	0.5	10.0	1.0	66.224	22.185	52.578	7 days
63	0.5	10.0	10.0	66.224	22.185	52.578	7 days
