ds,ds
0,3
1,1
2,2
5,2
6,8
7,13
8,86
9,3333
10,3406
11,3410
12,3400
13,3400
14,3406
15,2757
16,2120
17,3382
18,3383
19,3378
20,3346
21,2498
22,15
23,15
