ds,ds
0,8
1,8
2,8
3,8
7,182
8,126
9,2144
10,2176
11,2180
12,2180
13,2182
14,2180
15,2158
16,2160
17,2160
18,2160
19,2160
20,2124
21,2025
22,10
23,7
