	changepoint_prior_scale	seasonality_prior_scale	holidays_prior_scale	rmse	mape	mae	horizon
0	0.001	0.01	0.01	57.936	129.095	49.796	30 days
1	0.001	0.01	0.1	57.936	129.095	49.796	30 days
2	0.001	0.01	1.0	57.936	129.095	49.796	30 days
3	0.001	0.01	10.0	57.936	129.095	49.796	30 days
4	0.001	0.1	0.01	86.811	59.79	71.667	30 days
5	0.001	0.1	0.1	86.811	59.79	71.667	30 days
6	0.001	0.1	1.0	86.811	59.79	71.667	30 days
7	0.001	0.1	10.0	86.811	59.79	71.667	30 days
8	0.001	1.0	0.01	1037.501	1617.512	925.643	30 days
9	0.001	1.0	0.1	1037.501	1617.512	925.643	30 days
10	0.001	1.0	1.0	1037.501	1617.512	925.643	30 days
11	0.001	1.0	10.0	1037.501	1617.512	925.643	30 days
12	0.001	10.0	0.01	6270.442	8857.195	5371.477	30 days
13	0.001	10.0	0.1	6270.442	8857.195	5371.477	30 days
14	0.001	10.0	1.0	6270.442	8857.195	5371.477	30 days
15	0.001	10.0	10.0	6270.442	8857.195	5371.477	30 days
16	0.01	0.01	0.01	56.607	114.218	48.211	30 days
17	0.01	0.01	0.1	56.607	114.218	48.211	30 days
18	0.01	0.01	1.0	56.607	114.218	48.211	30 days
19	0.01	0.01	10.0	56.607	114.218	48.211	30 days
20	0.01	0.1	0.01	86.868	59.853	71.722	30 days
21	0.01	0.1	0.1	86.868	59.853	71.722	30 days
22	0.01	0.1	1.0	86.868	59.853	71.722	30 days
23	0.01	0.1	10.0	86.868	59.853	71.722	30 days
24	0.01	1.0	0.01	1206.023	1867.116	1072.758	30 days
25	0.01	1.0	0.1	1206.023	1867.116	1072.758	30 days
26	0.01	1.0	1.0	1206.023	1867.116	1072.758	30 days
27	0.01	1.0	10.0	1206.023	1867.116	1072.758	30 days
28	0.01	10.0	0.01	6270.328	8857.032	5371.378	30 days
29	0.01	10.0	0.1	6270.328	8857.032	5371.378	30 days
30	0.01	10.0	1.0	6270.328	8857.032	5371.378	30 days
31	0.01	10.0	10.0	6270.328	8857.032	5371.378	30 days
32	0.1	0.01	0.01	57.011	123.111	48.944	30 days
33	0.1	0.01	0.1	57.011	123.111	48.944	30 days
34	0.1	0.01	1.0	57.011	123.111	48.944	30 days
35	0.1	0.01	10.0	57.011	123.111	48.944	30 days
36	0.1	0.1	0.01	88.264	61.44	73.755	30 days
37	0.1	0.1	0.1	88.264	61.44	73.755	30 days
38	0.1	0.1	1.0	88.264	61.44	73.755	30 days
39	0.1	0.1	10.0	88.264	61.44	73.755	30 days
40	0.1	1.0	0.01	1206.059	1867.171	1072.79	30 days
41	0.1	1.0	0.1	1206.059	1867.171	1072.79	30 days
42	0.1	1.0	1.0	1206.059	1867.171	1072.79	30 days
43	0.1	1.0	10.0	1206.059	1867.171	1072.79	30 days
44	0.1	10.0	0.01	6266.976	8852.219	5368.498	30 days
45	0.1	10.0	0.1	6266.976	8852.219	5368.498	30 days
46	0.1	10.0	1.0	6266.976	8852.219	5368.498	30 days
47	0.1	10.0	10.0	6266.976	8852.219	5368.498	30 days
48	0.5	0.01	0.01	57.098	123.831	49.028	30 days
49	0.5	0.01	0.1	57.098	123.831	49.028	30 days
50	0.5	0.01	1.0	57.098	123.831	49.028	30 days
51	0.5	0.01	10.0	57.098	123.831	49.028	30 days
52	0.5	0.1	0.01	87.281	60.641	72.786	30 days
53	0.5	0.1	0.1	87.281	60.641	72.786	30 days
54	0.5	0.1	1.0	87.281	60.641	72.786	30 days
55	0.5	0.1	10.0	87.281	60.641	72.786	30 days
56	0.5	1.0	0.01	1206.161	1867.325	1072.881	30 days
57	0.5	1.0	0.1	1206.161	1867.325	1072.881	30 days
58	0.5	1.0	1.0	1206.161	1867.325	1072.881	30 days
59	0.5	1.0	10.0	1206.161	1867.325	1072.881	30 days
60	0.5	10.0	0.01	6250.39	8828.348	5354.232	30 days
61	0.5	10.0	0.1	6250.39	8828.348	5354.232	30 days
62	0.5	10.0	1.0	6250.39	8828.348	5354.232	30 days
63	0.5	10.0	10.0	6250.39	8828.348	5354.232	30 days
