ds,ds
0,1
4,1
5,12
6,14
7,23
8,300
9,2584
10,2582
11,2547
12,2514
13,2480
14,2488
15,1281
16,263
17,2571
18,2529
19,2487
20,2449
21,1214
22,14
23,14
