	changepoint_prior_scale	seasonality_prior_scale	holidays_prior_scale	rmse	mape	mae	horizon
0	0.001	0.01	0.01	42.233	25.225	33.563	7 days
1	0.001	0.01	0.1	42.233	25.225	33.563	7 days
2	0.001	0.01	1.0	42.233	25.225	33.563	7 days
3	0.001	0.01	10.0	42.233	25.225	33.563	7 days
4	0.001	0.1	0.01	42.025	24.41	33.779	7 days
5	0.001	0.1	0.1	42.025	24.41	33.779	7 days
6	0.001	0.1	1.0	42.025	24.41	33.779	7 days
7	0.001	0.1	10.0	42.025	24.41	33.779	7 days
8	0.001	1.0	0.01	42.515	26.266	34.253	7 days
9	0.001	1.0	0.1	42.515	26.266	34.253	7 days
10	0.001	1.0	1.0	42.515	26.266	34.253	7 days
11	0.001	1.0	10.0	42.515	26.266	34.253	7 days
12	0.001	10.0	0.01	42.889	26.778	34.522	7 days
13	0.001	10.0	0.1	42.889	26.778	34.522	7 days
14	0.001	10.0	1.0	42.889	26.778	34.522	7 days
15	0.001	10.0	10.0	42.889	26.778	34.522	7 days
16	0.01	0.01	0.01	42.54	25.715	33.799	7 days
17	0.01	0.01	0.1	42.54	25.715	33.799	7 days
18	0.01	0.01	1.0	42.54	25.715	33.799	7 days
19	0.01	0.01	10.0	42.54	25.715	33.799	7 days
20	0.01	0.1	0.01	41.941	25.463	33.777	7 days
21	0.01	0.1	0.1	41.941	25.463	33.777	7 days
22	0.01	0.1	1.0	41.941	25.463	33.777	7 days
23	0.01	0.1	10.0	41.941	25.463	33.777	7 days
24	0.01	1.0	0.01	41.982	25.416	33.846	7 days
25	0.01	1.0	0.1	41.982	25.416	33.846	7 days
26	0.01	1.0	1.0	41.982	25.416	33.846	7 days
27	0.01	1.0	10.0	41.982	25.416	33.846	7 days
28	0.01	10.0	0.01	42.011	25.521	33.845	7 days
29	0.01	10.0	0.1	42.011	25.521	33.845	7 days
30	0.01	10.0	1.0	42.011	25.521	33.845	7 days
31	0.01	10.0	10.0	42.011	25.521	33.845	7 days
32	0.1	0.01	0.01	42.756	26.427	33.982	7 days
33	0.1	0.01	0.1	42.756	26.427	33.982	7 days
34	0.1	0.01	1.0	42.756	26.427	33.982	7 days
35	0.1	0.01	10.0	42.756	26.427	33.982	7 days
36	0.1	0.1	0.01	42.176	25.909	33.885	7 days
37	0.1	0.1	0.1	42.176	25.909	33.885	7 days
38	0.1	0.1	1.0	42.176	25.909	33.885	7 days
39	0.1	0.1	10.0	42.176	25.909	33.885	7 days
40	0.1	1.0	0.01	42.621	26.409	34.259	7 days
41	0.1	1.0	0.1	42.621	26.409	34.259	7 days
42	0.1	1.0	1.0	42.621	26.409	34.259	7 days
43	0.1	1.0	10.0	42.621	26.409	34.259	7 days
44	0.1	10.0	0.01	42.836	26.535	34.39	7 days
45	0.1	10.0	0.1	42.836	26.535	34.39	7 days
46	0.1	10.0	1.0	42.836	26.535	34.39	7 days
47	0.1	10.0	10.0	42.836	26.535	34.39	7 days
48	0.5	0.01	0.01	42.654	26.24	33.905	7 days
49	0.5	0.01	0.1	42.654	26.24	33.905	7 days
50	0.5	0.01	1.0	42.654	26.24	33.905	7 days
51	0.5	0.01	10.0	42.654	26.24	33.905	7 days
52	0.5	0.1	0.01	42.031	25.748	33.81	7 days
53	0.5	0.1	0.1	42.031	25.748	33.81	7 days
54	0.5	0.1	1.0	42.031	25.748	33.81	7 days
55	0.5	0.1	10.0	42.031	25.748	33.81	7 days
56	0.5	1.0	0.01	42.427	26.128	34.076	7 days
57	0.5	1.0	0.1	42.427	26.128	34.076	7 days
58	0.5	1.0	1.0	42.427	26.128	34.076	7 days
59	0.5	1.0	10.0	42.427	26.128	34.076	7 days
60	0.5	10.0	0.01	42.717	26.273	34.178	7 days
61	0.5	10.0	0.1	42.717	26.273	34.178	7 days
62	0.5	10.0	1.0	42.717	26.273	34.178	7 days
63	0.5	10.0	10.0	42.717	26.273	34.178	7 days
