ds,ds
0,10
1,11
2,10
3,4
7,744
8,367
9,3741
10,4176
11,4171
12,4174
13,4169
14,4167
15,3481
16,3456
17,3455
18,3458
19,3458
20,3414
21,3319
22,18
23,19
