	changepoint_prior_scale	seasonality_prior_scale	holidays_prior_scale	rmse	mape	mae	horizon
0	0.001	0.01	0.01	80.86	126.756	72.088	7 days
1	0.001	0.01	0.1	80.86	126.756	72.088	7 days
2	0.001	0.01	1.0	80.86	126.756	72.088	7 days
3	0.001	0.01	10.0	80.86	126.756	72.088	7 days
4	0.001	0.1	0.01	107.841	162.768	97.882	7 days
5	0.001	0.1	0.1	107.841	162.768	97.882	7 days
6	0.001	0.1	1.0	107.841	162.768	97.882	7 days
7	0.001	0.1	10.0	107.841	162.768	97.882	7 days
8	0.001	1.0	0.01	70.644	97.13	58.937	7 days
9	0.001	1.0	0.1	70.644	97.13	58.937	7 days
10	0.001	1.0	1.0	70.644	97.13	58.937	7 days
11	0.001	1.0	10.0	70.644	97.13	58.937	7 days
12	0.001	10.0	0.01	70.093	96.011	58.304	7 days
13	0.001	10.0	0.1	70.093	96.011	58.304	7 days
14	0.001	10.0	1.0	70.093	96.011	58.304	7 days
15	0.001	10.0	10.0	70.093	96.011	58.304	7 days
16	0.01	0.01	0.01	65.155	56.508	44.579	7 days
17	0.01	0.01	0.1	65.155	56.508	44.579	7 days
18	0.01	0.01	1.0	65.155	56.508	44.579	7 days
19	0.01	0.01	10.0	65.155	56.508	44.579	7 days
20	0.01	0.1	0.01	55.215	50.518	38.67	7 days
21	0.01	0.1	0.1	55.215	50.518	38.67	7 days
22	0.01	0.1	1.0	55.215	50.518	38.67	7 days
23	0.01	0.1	10.0	55.215	50.518	38.67	7 days
24	0.01	1.0	0.01	56.161	49.481	39.506	7 days
25	0.01	1.0	0.1	56.161	49.481	39.506	7 days
26	0.01	1.0	1.0	56.161	49.481	39.506	7 days
27	0.01	1.0	10.0	56.161	49.481	39.506	7 days
28	0.01	10.0	0.01	55.966	50.16	39.392	7 days
29	0.01	10.0	0.1	55.966	50.16	39.392	7 days
30	0.01	10.0	1.0	55.966	50.16	39.392	7 days
31	0.01	10.0	10.0	55.966	50.16	39.392	7 days
32	0.1	0.01	0.01	65.774	52.093	44.165	7 days
33	0.1	0.01	0.1	65.774	52.093	44.165	7 days
34	0.1	0.01	1.0	65.774	52.093	44.165	7 days
35	0.1	0.01	10.0	65.774	52.093	44.165	7 days
36	0.1	0.1	0.01	56.326	48.497	39.349	7 days
37	0.1	0.1	0.1	56.326	48.497	39.349	7 days
38	0.1	0.1	1.0	56.326	48.497	39.349	7 days
39	0.1	0.1	10.0	56.326	48.497	39.349	7 days
40	0.1	1.0	0.01	56.286	49.088	39.4	7 days
41	0.1	1.0	0.1	56.286	49.088	39.4	7 days
42	0.1	1.0	1.0	56.286	49.088	39.4	7 days
43	0.1	1.0	10.0	56.286	49.088	39.4	7 days
44	0.1	10.0	0.01	56.26	49.097	39.381	7 days
45	0.1	10.0	0.1	56.26	49.097	39.381	7 days
46	0.1	10.0	1.0	56.26	49.097	39.381	7 days
47	0.1	10.0	10.0	56.26	49.097	39.381	7 days
48	0.5	0.01	0.01	72.817	45.137	48.028	7 days
49	0.5	0.01	0.1	72.817	45.137	48.028	7 days
50	0.5	0.01	1.0	72.817	45.137	48.028	7 days
51	0.5	0.01	10.0	72.817	45.137	48.028	7 days
52	0.5	0.1	0.01	58.442	49.231	41.599	7 days
53	0.5	0.1	0.1	58.442	49.231	41.599	7 days
54	0.5	0.1	1.0	58.442	49.231	41.599	7 days
55	0.5	0.1	10.0	58.442	49.231	41.599	7 days
56	0.5	1.0	0.01	58.722	49.77	41.88	7 days
57	0.5	1.0	0.1	58.722	49.77	41.88	7 days
58	0.5	1.0	1.0	58.722	49.77	41.88	7 days
59	0.5	1.0	10.0	58.722	49.77	41.88	7 days
60	0.5	10.0	0.01	58.548	49.78	41.704	7 days
61	0.5	10.0	0.1	58.548	49.78	41.704	7 days
62	0.5	10.0	1.0	58.548	49.78	41.704	7 days
63	0.5	10.0	10.0	58.548	49.78	41.704	7 days
