ds,ds
0,6
1,2
5,1
6,2
7,71
8,161
9,3781
10,4166
11,4167
12,4164
13,4163
14,4159
15,3494
16,3457
17,3451
18,3456
19,3455
20,3435
21,3314
22,35
23,18
