	changepoint_prior_scale	seasonality_prior_scale	holidays_prior_scale	rmse	mape	mae	horizon
0	0.001	0.01	0.01	127.801	105.675	111.087	7 days
1	0.001	0.01	0.1	127.801	105.675	111.087	7 days
2	0.001	0.01	1.0	127.801	105.675	111.087	7 days
3	0.001	0.01	10.0	127.801	105.675	111.087	7 days
4	0.001	0.1	0.01	153.828	111.341	144.609	7 days
5	0.001	0.1	0.1	153.828	111.341	144.609	7 days
6	0.001	0.1	1.0	153.828	111.341	144.609	7 days
7	0.001	0.1	10.0	153.828	111.341	144.609	7 days
8	0.001	1.0	0.01	155.022	111.795	145.737	7 days
9	0.001	1.0	0.1	155.022	111.795	145.737	7 days
10	0.001	1.0	1.0	155.022	111.795	145.737	7 days
11	0.001	1.0	10.0	155.022	111.795	145.737	7 days
12	0.001	10.0	0.01	155.023	111.795	145.738	7 days
13	0.001	10.0	0.1	155.023	111.795	145.738	7 days
14	0.001	10.0	1.0	155.023	111.795	145.738	7 days
15	0.001	10.0	10.0	155.023	111.795	145.738	7 days
16	0.01	0.01	0.01	53.728	28.522	43.004	7 days
17	0.01	0.01	0.1	53.728	28.522	43.004	7 days
18	0.01	0.01	1.0	53.728	28.522	43.004	7 days
19	0.01	0.01	10.0	53.728	28.522	43.004	7 days
20	0.01	0.1	0.01	47.692	23.258	37.385	7 days
21	0.01	0.1	0.1	47.692	23.258	37.385	7 days
22	0.01	0.1	1.0	47.692	23.258	37.385	7 days
23	0.01	0.1	10.0	47.692	23.258	37.385	7 days
24	0.01	1.0	0.01	47.151	23.405	37.124	7 days
25	0.01	1.0	0.1	47.151	23.405	37.124	7 days
26	0.01	1.0	1.0	47.151	23.405	37.124	7 days
27	0.01	1.0	10.0	47.151	23.405	37.124	7 days
28	0.01	10.0	0.01	48.153	23.132	37.569	7 days
29	0.01	10.0	0.1	48.153	23.132	37.569	7 days
30	0.01	10.0	1.0	48.153	23.132	37.569	7 days
31	0.01	10.0	10.0	48.153	23.132	37.569	7 days
32	0.1	0.01	0.01	53.724	28.041	42.949	7 days
33	0.1	0.01	0.1	53.724	28.041	42.949	7 days
34	0.1	0.01	1.0	53.724	28.041	42.949	7 days
35	0.1	0.01	10.0	53.724	28.041	42.949	7 days
36	0.1	0.1	0.01	48.78	22.961	37.832	7 days
37	0.1	0.1	0.1	48.78	22.961	37.832	7 days
38	0.1	0.1	1.0	48.78	22.961	37.832	7 days
39	0.1	0.1	10.0	48.78	22.961	37.832	7 days
40	0.1	1.0	0.01	49.056	23.069	38.082	7 days
41	0.1	1.0	0.1	49.056	23.069	38.082	7 days
42	0.1	1.0	1.0	49.056	23.069	38.082	7 days
43	0.1	1.0	10.0	49.056	23.069	38.082	7 days
44	0.1	10.0	0.01	49.118	23.103	38.143	7 days
45	0.1	10.0	0.1	49.118	23.103	38.143	7 days
46	0.1	10.0	1.0	49.118	23.103	38.143	7 days
47	0.1	10.0	10.0	49.118	23.103	38.143	7 days
48	0.5	0.01	0.01	55.889	27.316	44.343	7 days
49	0.5	0.01	0.1	55.889	27.316	44.343	7 days
50	0.5	0.01	1.0	55.889	27.316	44.343	7 days
51	0.5	0.01	10.0	55.889	27.316	44.343	7 days
52	0.5	0.1	0.01	49.013	22.901	37.984	7 days
53	0.5	0.1	0.1	49.013	22.901	37.984	7 days
54	0.5	0.1	1.0	49.013	22.901	37.984	7 days
55	0.5	0.1	10.0	49.013	22.901	37.984	7 days
56	0.5	1.0	0.01	48.956	22.915	37.927	7 days
57	0.5	1.0	0.1	48.956	22.915	37.927	7 days
58	0.5	1.0	1.0	48.956	22.915	37.927	7 days
59	0.5	1.0	10.0	48.956	22.915	37.927	7 days
60	0.5	10.0	0.01	49.008	22.907	37.95	7 days
61	0.5	10.0	0.1	49.008	22.907	37.95	7 days
62	0.5	10.0	1.0	49.008	22.907	37.95	7 days
63	0.5	10.0	10.0	49.008	22.907	37.95	7 days
