	changepoint_prior_scale	seasonality_prior_scale	holidays_prior_scale	rmse	mape	mae	horizon
0	0.001	0.01	0.01	14.121	152.415	12.026	7 days
1	0.001	0.01	0.1	14.121	152.415	12.026	7 days
2	0.001	0.01	1.0	14.121	152.415	12.026	7 days
3	0.001	0.01	10.0	14.121	152.415	12.026	7 days
4	0.001	0.1	0.01	14.909	154.043	12.492	7 days
5	0.001	0.1	0.1	14.909	154.043	12.492	7 days
6	0.001	0.1	1.0	14.909	154.043	12.492	7 days
7	0.001	0.1	10.0	14.909	154.043	12.492	7 days
8	0.001	1.0	0.01	14.865	153.927	12.467	7 days
9	0.001	1.0	0.1	14.865	153.927	12.467	7 days
10	0.001	1.0	1.0	14.865	153.927	12.467	7 days
11	0.001	1.0	10.0	14.865	153.927	12.467	7 days
12	0.001	10.0	0.01	14.827	153.498	12.435	7 days
13	0.001	10.0	0.1	14.827	153.498	12.435	7 days
14	0.001	10.0	1.0	14.827	153.498	12.435	7 days
15	0.001	10.0	10.0	14.827	153.498	12.435	7 days
16	0.01	0.01	0.01	11.051	105.286	9.535	7 days
17	0.01	0.01	0.1	11.051	105.286	9.535	7 days
18	0.01	0.01	1.0	11.051	105.286	9.535	7 days
19	0.01	0.01	10.0	11.051	105.286	9.535	7 days
20	0.01	0.1	0.01	10.848	97.903	9.262	7 days
21	0.01	0.1	0.1	10.848	97.903	9.262	7 days
22	0.01	0.1	1.0	10.848	97.903	9.262	7 days
23	0.01	0.1	10.0	10.848	97.903	9.262	7 days
24	0.01	1.0	0.01	10.788	96.04	9.209	7 days
25	0.01	1.0	0.1	10.788	96.04	9.209	7 days
26	0.01	1.0	1.0	10.788	96.04	9.209	7 days
27	0.01	1.0	10.0	10.788	96.04	9.209	7 days
28	0.01	10.0	0.01	10.767	96.145	9.191	7 days
29	0.01	10.0	0.1	10.767	96.145	9.191	7 days
30	0.01	10.0	1.0	10.767	96.145	9.191	7 days
31	0.01	10.0	10.0	10.767	96.145	9.191	7 days
32	0.1	0.01	0.01	10.98	102.83	9.459	7 days
33	0.1	0.01	0.1	10.98	102.83	9.459	7 days
34	0.1	0.01	1.0	10.98	102.83	9.459	7 days
35	0.1	0.01	10.0	10.98	102.83	9.459	7 days
36	0.1	0.1	0.01	10.843	97.67	9.285	7 days
37	0.1	0.1	0.1	10.843	97.67	9.285	7 days
38	0.1	0.1	1.0	10.843	97.67	9.285	7 days
39	0.1	0.1	10.0	10.843	97.67	9.285	7 days
40	0.1	1.0	0.01	11.032	97.988	9.52	7 days
41	0.1	1.0	0.1	11.032	97.988	9.52	7 days
42	0.1	1.0	1.0	11.032	97.988	9.52	7 days
43	0.1	1.0	10.0	11.032	97.988	9.52	7 days
44	0.1	10.0	0.01	11.066	98.461	9.556	7 days
45	0.1	10.0	0.1	11.066	98.461	9.556	7 days
46	0.1	10.0	1.0	11.066	98.461	9.556	7 days
47	0.1	10.0	10.0	11.066	98.461	9.556	7 days
48	0.5	0.01	0.01	10.964	102.19	9.442	7 days
49	0.5	0.01	0.1	10.964	102.19	9.442	7 days
50	0.5	0.01	1.0	10.964	102.19	9.442	7 days
51	0.5	0.01	10.0	10.964	102.19	9.442	7 days
52	0.5	0.1	0.01	10.814	96.656	9.257	7 days
53	0.5	0.1	0.1	10.814	96.656	9.257	7 days
54	0.5	0.1	1.0	10.814	96.656	9.257	7 days
55	0.5	0.1	10.0	10.814	96.656	9.257	7 days
56	0.5	1.0	0.01	10.974	97.678	9.463	7 days
57	0.5	1.0	0.1	10.974	97.678	9.463	7 days
58	0.5	1.0	1.0	10.974	97.678	9.463	7 days
59	0.5	1.0	10.0	10.974	97.678	9.463	7 days
60	0.5	10.0	0.01	10.997	97.831	9.488	7 days
61	0.5	10.0	0.1	10.997	97.831	9.488	7 days
62	0.5	10.0	1.0	10.997	97.831	9.488	7 days
63	0.5	10.0	10.0	10.997	97.831	9.488	7 days
