ds,ds
0,1
1,1
2,1
3,1
5,4
6,15
7,17
8,90
9,3442
10,3486
11,3487
12,3486
13,3487
14,3488
15,2927
16,2366
17,3441
18,3453
19,3454
20,3398
21,2784
22,19
23,14
