	changepoint_prior_scale	seasonality_prior_scale	holidays_prior_scale	rmse	mape	mae	horizon
0	0.001	0.01	0.01	101.462	25.172	77.779	7 days
1	0.001	0.01	0.1	101.462	25.172	77.779	7 days
2	0.001	0.01	1.0	101.462	25.172	77.779	7 days
3	0.001	0.01	10.0	101.462	25.172	77.779	7 days
4	0.001	0.1	0.01	101.707	26.039	78.751	7 days
5	0.001	0.1	0.1	101.707	26.039	78.751	7 days
6	0.001	0.1	1.0	101.707	26.039	78.751	7 days
7	0.001	0.1	10.0	101.707	26.039	78.751	7 days
8	0.001	1.0	0.01	101.524	25.807	78.286	7 days
9	0.001	1.0	0.1	101.524	25.807	78.286	7 days
10	0.001	1.0	1.0	101.524	25.807	78.286	7 days
11	0.001	1.0	10.0	101.524	25.807	78.286	7 days
12	0.001	10.0	0.01	101.368	25.45	77.886	7 days
13	0.001	10.0	0.1	101.368	25.45	77.886	7 days
14	0.001	10.0	1.0	101.368	25.45	77.886	7 days
15	0.001	10.0	10.0	101.368	25.45	77.886	7 days
16	0.01	0.01	0.01	101.991	24.658	77.492	7 days
17	0.01	0.01	0.1	101.991	24.658	77.492	7 days
18	0.01	0.01	1.0	101.991	24.658	77.492	7 days
19	0.01	0.01	10.0	101.991	24.658	77.492	7 days
20	0.01	0.1	0.01	101.225	24.713	77.223	7 days
21	0.01	0.1	0.1	101.225	24.713	77.223	7 days
22	0.01	0.1	1.0	101.225	24.713	77.223	7 days
23	0.01	0.1	10.0	101.225	24.713	77.223	7 days
24	0.01	1.0	0.01	101.428	24.623	77.259	7 days
25	0.01	1.0	0.1	101.428	24.623	77.259	7 days
26	0.01	1.0	1.0	101.428	24.623	77.259	7 days
27	0.01	1.0	10.0	101.428	24.623	77.259	7 days
28	0.01	10.0	0.01	100.921	24.726	77.032	7 days
29	0.01	10.0	0.1	100.921	24.726	77.032	7 days
30	0.01	10.0	1.0	100.921	24.726	77.032	7 days
31	0.01	10.0	10.0	100.921	24.726	77.032	7 days
32	0.1	0.01	0.01	101.762	25.181	77.827	7 days
33	0.1	0.01	0.1	101.762	25.181	77.827	7 days
34	0.1	0.01	1.0	101.762	25.181	77.827	7 days
35	0.1	0.01	10.0	101.762	25.181	77.827	7 days
36	0.1	0.1	0.01	101.051	25.115	77.519	7 days
37	0.1	0.1	0.1	101.051	25.115	77.519	7 days
38	0.1	0.1	1.0	101.051	25.115	77.519	7 days
39	0.1	0.1	10.0	101.051	25.115	77.519	7 days
40	0.1	1.0	0.01	100.934	25.183	77.572	7 days
41	0.1	1.0	0.1	100.934	25.183	77.572	7 days
42	0.1	1.0	1.0	100.934	25.183	77.572	7 days
43	0.1	1.0	10.0	100.934	25.183	77.572	7 days
44	0.1	10.0	0.01	100.921	25.202	77.587	7 days
45	0.1	10.0	0.1	100.921	25.202	77.587	7 days
46	0.1	10.0	1.0	100.921	25.202	77.587	7 days
47	0.1	10.0	10.0	100.921	25.202	77.587	7 days
48	0.5	0.01	0.01	101.728	25.392	77.998	7 days
49	0.5	0.01	0.1	101.728	25.392	77.998	7 days
50	0.5	0.01	1.0	101.728	25.392	77.998	7 days
51	0.5	0.01	10.0	101.728	25.392	77.998	7 days
52	0.5	0.1	0.01	101.11	25.286	77.674	7 days
53	0.5	0.1	0.1	101.11	25.286	77.674	7 days
54	0.5	0.1	1.0	101.11	25.286	77.674	7 days
55	0.5	0.1	10.0	101.11	25.286	77.674	7 days
56	0.5	1.0	0.01	101.113	25.364	77.819	7 days
57	0.5	1.0	0.1	101.113	25.364	77.819	7 days
58	0.5	1.0	1.0	101.113	25.364	77.819	7 days
59	0.5	1.0	10.0	101.113	25.364	77.819	7 days
60	0.5	10.0	0.01	101.408	25.444	78.055	7 days
61	0.5	10.0	0.1	101.408	25.444	78.055	7 days
62	0.5	10.0	1.0	101.408	25.444	78.055	7 days
63	0.5	10.0	10.0	101.408	25.444	78.055	7 days
