"id","datetime","store","weekday","sales","products_sold","clientes_that_bought","half_hour","year","month","dia"
42,2020-03-19 16:30:00,274,thursday,1982,416,31,33,2020,3,19
43,2020-03-19 17:00:00,274,thursday,2455,480,27,34,2020,3,19
44,2020-03-19 17:30:00,274,thursday,4021,885,37,35,2020,3,19
45,2020-03-19 18:00:00,274,thursday,3433,768,52,36,2020,3,19
46,2020-03-19 18:30:00,274,thursday,2621,492,29,37,2020,3,19
47,2020-03-19 19:00:00,274,thursday,2732,649,37,38,2020,3,19
48,2020-03-19 19:30:00,274,thursday,3207,639,44,39,2020,3,19
49,2020-03-19 20:00:00,274,thursday,2249,469,29,40,2020,3,19
50,2020-03-19 20:30:00,274,thursday,2503,492,19,41,2020,3,19
51,2020-03-20 08:30:00,274,friday,1756,371,28,17,2020,3,20
52,2020-03-20 09:00:00,274,friday,2078,444,27,18,2020,3,20
53,2020-03-20 09:30:00,274,friday,2551,504,25,19,2020,3,20
54,2020-03-20 10:00:00,274,friday,1524,304,26,20,2020,3,20
55,2020-03-20 10:30:00,274,friday,2397,540,37,21,2020,3,20
56,2020-03-20 11:00:00,274,friday,2681,613,39,22,2020,3,20
57,2020-03-20 11:30:00,274,friday,3697,666,38,23,2020,3,20
58,2020-03-20 12:00:00,274,friday,2685,578,43,24,2020,3,20
59,2020-03-20 12:30:00,274,friday,3669,747,37,25,2020,3,20
60,2020-03-20 13:00:00,274,friday,2486,525,28,26,2020,3,20
61,2020-03-20 13:30:00,274,friday,2411,565,41,27,2020,3,20
62,2020-03-20 14:00:00,274,friday,2475,585,30,28,2020,3,20
63,2020-03-20 14:30:00,274,friday,2830,658,37,29,2020,3,20
64,2020-03-20 15:00:00,274,friday,3197,708,36,30,2020,3,20
65,2020-03-20 15:30:00,274,friday,3081,659,33,31,2020,3,20
66,2020-03-20 16:00:00,274,friday,2632,528,24,32,2020,3,20
67,2020-03-20 16:30:00,274,friday,2792,692,31,33,2020,3,20
68,2020-03-20 17:00:00,274,friday,2346,581,35,34,2020,3,20
69,2020-03-20 17:30:00,274,friday,3996,757,36,35,2020,3,20
70,2020-03-20 18:00:00,274,friday,2216,516,37,36,2020,3,20
71,2020-03-20 18:30:00,274,friday,2770,638,26,37,2020,3,20
72,2020-03-20 19:00:00,274,friday,2708,512,30,38,2020,3,20
73,2020-03-20 19:30:00,274,friday,2287,480,25,39,2020,3,20
74,2020-03-20 20:00:00,274,friday,2549,496,25,40,2020,3,20
75,2020-03-20 20:30:00,274,friday,2247,393,24,41,2020,3,20
76,2020-03-21 08:30:00,274,saturday,1024,204,16,17,2020,3,21
77,2020-03-21 09:00:00,274,saturday,915,221,22,18,2020,3,21
78,2020-03-21 09:30:00,274,saturday,2154,492,22,19,2020,3,21
79,2020-03-21 10:00:00,274,saturday,1844,393,20,20,2020,3,21
80,2020-03-21 10:30:00,274,saturday,1876,330,28,21,2020,3,21
81,2020-03-21 11:00:00,274,saturday,2860,593,28,22,2020,3,21
82,2020-03-21 11:30:00,274,saturday,3487,702,33,23,2020,3,21
83,2020-03-21 12:00:00,274,saturday,2345,473,32,24,2020,3,21
84,2020-03-21 12:30:00,274,saturday,3652,733,38,25,2020,3,21
85,2020-03-21 13:00:00,274,saturday,1939,457,36,26,2020,3,21
86,2020-03-21 13:30:00,274,saturday,3141,699,35,27,2020,3,21
87,2020-03-21 14:00:00,274,saturday,3353,665,29,28,2020,3,21
88,2020-03-21 14:30:00,274,saturday,3132,654,28,29,2020,3,21
89,2020-03-21 15:00:00,274,saturday,2951,568,36,30,2020,3,21
90,2020-03-21 15:30:00,274,saturday,2679,564,27,31,2020,3,21
91,2020-03-21 16:00:00,274,saturday,1959,443,22,32,2020,3,21
92,2020-03-21 16:30:00,274,saturday,2842,577,21,33,2020,3,21
93,2020-03-21 17:00:00,274,saturday,1511,348,29,34,2020,3,21
94,2020-03-21 17:30:00,274,saturday,2573,532,15,35,2020,3,21
95,2020-03-21 18:00:00,274,saturday,1818,343,25,36,2020,3,21
96,2020-03-21 18:30:00,274,saturday,1461,317,17,37,2020,3,21
97,2020-03-21 19:00:00,274,saturday,1681,409,21,38,2020,3,21
98,2020-03-21 19:30:00,274,saturday,344,78,11,39,2020,3,21
99,2020-03-21 20:00:00,274,saturday,619,125,8,40,2020,3,21
100,2020-03-21 20:30:00,274,saturday,1076,231,15,41,2020,3,21
101,2020-03-22 08:30:00,274,sunday,989,207,10,17,2020,3,22
102,2020-03-22 09:00:00,274,sunday,1513,282,17,18,2020,3,22
103,2020-03-22 09:30:00,274,sunday,944,172,14,19,2020,3,22
104,2020-03-22 10:00:00,274,sunday,1775,395,21,20,2020,3,22
105,2020-03-22 10:30:00,274,sunday,2246,414,31,21,2020,3,22
