"id_seq","analysis_moment","store","df_size","ApEn","fcst_period","freq_hours","work_hours","mse_outlier","rmse_outlier","mae_outlier","mape_outlier","mse_without_outlier","rmse_without_outlier","mae_without_outlier","mape_without_outlier","model_outlier_file_name","model_without_outlier_file_name"
20,2021-08-16 15:38:57,59,73114,0.701328296652246,"7",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",1014.887,31.857,28.094,235.159,79.224,8.901,7.273,115.116,"59_2021_08_16_15_38_33_722462.json","59_2021_08_16_15_38_47_446809.json"
21,2021-08-16 15:42:59,59,73114,0.701328296652246,"18292",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",374.315,19.347,12.748,1818029272571.977,581.922,24.123,20.226,353.559,"59_2021_08_16_15_41_23_722161.json","59_2021_08_16_15_42_18_067382.json"
22,2021-08-16 15:43:46,65,101578,0.845462281687464,"30",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",17089.17,130.726,97.42,49.989,8539.313,92.408,77.512,55.077,"65_2021_08_16_15_43_14_051133.json","65_2021_08_16_15_43_33_087380.json"
23,2021-08-16 15:44:17,65,101578,0.845462281687464,"7",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",17890.759,133.756,94.456,64.745,7469.233,86.425,69.896,59.327,"65_2021_08_16_15_43_51_184080.json","65_2021_08_16_15_44_06_523868.json"
24,2021-08-16 15:50:47,65,101578,0.845462281687464,"46655",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",14428.018,120.117,76.361,23020275089275.664,6204.019,78.766,61.876,75.047,"65_2021_08_16_15_47_55_512209.json","65_2021_08_16_15_49_44_405332.json"
25,2021-08-16 15:51:22,71,32042,0.672224338453071,"30",[10 11 12 13 14],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",10079.641,100.397,50.471,29.216,2619.849,51.184,40.47,27.47,"71_2021_08_16_15_50_56_972238.json","71_2021_08_16_15_51_11_517183.json"
26,2021-08-16 15:51:46,71,32042,0.672224338453071,"7",[10 11 12 13 14],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",9768.836,98.837,70.725,46.309,4996.942,70.689,56.054,41.794,"71_2021_08_16_15_51_25_935342.json","71_2021_08_16_15_51_37_857641.json"
27,2021-08-16 15:54:15,71,32042,0.672224338453071,"13143",[10 11 12 13 14],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",6547.906,80.919,60.065,26474086579921.375,26544.427,162.925,133.74,59.937,"71_2021_08_16_15_53_08_687422.json","71_2021_08_16_15_53_52_462660.json"
28,2021-08-16 15:55:01,64,101544,0.85571982784921,"30",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",35560.841,188.576,104.777,50.74,6922.789,83.203,67.33,50.633,"64_2021_08_16_15_54_29_916616.json","64_2021_08_16_15_54_48_654577.json"
29,2021-08-16 15:55:30,64,101544,0.85571982784921,"7",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",42943.901,207.229,99.268,67.284,14208.539,119.2,97.878,92.06,"64_2021_08_16_15_55_05_989835.json","64_2021_08_16_15_55_20_183013.json"
30,2021-08-16 16:01:43,64,101544,0.85571982784921,"41345",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",44990.244,212.109,152.524,30976912658977.496,24785.679,157.435,120.242,78.963,"64_2021_08_16_15_59_12_512934.json","64_2021_08_16_16_00_52_911648.json"
