Store ID,N Records,N Records Agg,N Records Train,N Records Test,RMSE,MAE,R2_SCORE
10.0,4320.0,8749.0,6999.0,1750.0,0.23979862041370725,0.09415714830009729,0.9822453578453524
11.0,3954.0,8725.0,6980.0,1745.0,0.2420765228388977,0.08870265384090599,0.9797214881631802
13.0,4309.0,8749.0,6999.0,1750.0,0.25671340800325376,0.10756927180073345,0.9784180290831384
14.0,3931.0,8725.0,6980.0,1745.0,0.2513383967811305,0.10236359667075999,0.9731873966412032
15.0,4399.0,8749.0,6999.0,1750.0,0.0,0.0,1.0
16.0,4346.0,8750.0,7000.0,1750.0,0.21686126082579843,0.08032316326530613,0.9706441098287893
17.0,3913.0,8726.0,6980.0,1746.0,0.2555397409087647,0.10036919657070087,0.9729144764280039
18.0,4301.0,8749.0,6999.0,1750.0,0.3254077882803985,0.09739307996380434,0.9681394684205397
19.0,4309.0,8750.0,7000.0,1750.0,0.26541962594506024,0.09461532993197279,0.9774651304699664
20.0,4439.0,8749.0,6999.0,1750.0,0.23451496468337443,0.08667664938528634,0.983830537789235
21.0,3975.0,8726.0,6980.0,1746.0,0.27104922767537254,0.112943080570337,0.9706362331062788
22.0,3906.0,8726.0,6980.0,1746.0,0.28054656656236443,0.1291056726702142,0.9660247401114794
25.0,3947.0,8725.0,6980.0,1745.0,0.21479033989133112,0.07306478032473733,0.9634919016591608
26.0,3999.0,8725.0,6980.0,1745.0,0.25057408694632993,0.09601421635511895,0.9800212186711926
30.0,3799.0,8725.0,6980.0,1745.0,0.1830844524434652,0.05384835243553008,0.9808129997627811
31.0,4314.0,8749.0,6999.0,1750.0,0.29259203327902045,0.10472466814987175,0.9706434949610315
32.0,3922.0,8725.0,6980.0,1745.0,0.234970318874505,0.09994621708282166,0.9574747240773258
33.0,4316.0,8749.0,6999.0,1750.0,0.2777683026709356,0.1015127382143027,0.9759513758040129
34.0,3914.0,8726.0,6980.0,1746.0,0.22468396520459266,0.07666043798608269,0.984262537569853
35.0,3950.0,8725.0,6980.0,1745.0,0.23409457718338816,0.0794139650702688,0.9835896234071486
37.0,4467.0,8749.0,6999.0,1750.0,0.1968897049662451,0.054903736815009846,0.9894756857723384
38.0,3924.0,8725.0,6980.0,1745.0,0.2981491042156242,0.13204285197451388,0.9607045826041719
39.0,4535.0,8749.0,6999.0,1750.0,0.2642714441731641,0.10714551398499104,0.9743600311734253
40.0,4386.0,8749.0,6999.0,1750.0,0.34127835781967714,0.11951544835203214,0.9488150271292023
41.0,4134.0,8726.0,6980.0,1746.0,0.2732652792977153,0.09830773297857825,0.9737252220841096
42.0,4090.0,8726.0,6980.0,1746.0,0.25358026263176126,0.10439497544003275,0.9764337944041788
43.0,4032.0,8726.0,6980.0,1746.0,0.27807709234282363,0.1033530637422113,0.9703624405616494
45.0,3922.0,8725.0,6980.0,1745.0,0.2779464531383711,0.13151874744167005,0.9661346574339847
49.0,4116.0,8726.0,6980.0,1746.0,0.2772622603803009,0.11509447400736797,0.974199783371539
50.0,3893.0,8725.0,6980.0,1745.0,0.2571359153630245,0.1092391231182062,0.975587233582359
51.0,4045.0,8726.0,6980.0,1746.0,0.2598505067126967,0.0913615556919998,0.978188188603675
52.0,4166.0,8726.0,6980.0,1746.0,0.3092046557693539,0.11396966104971121,0.969706893697157
53.0,3895.0,8725.0,6980.0,1745.0,0.29221841907932494,0.12081728748806113,0.9666538021582425
54.0,3969.0,8725.0,6980.0,1745.0,0.29670661703930973,0.13093193477964252,0.957869531327827
55.0,4321.0,8749.0,6999.0,1750.0,0.26254568737799555,0.10621894284217473,0.9749946647080964
56.0,4443.0,8749.0,6999.0,1750.0,0.3154958107189259,0.14415303124111525,0.9575612311764226
58.0,3734.0,8749.0,6999.0,1750.0,0.19683672999104343,0.0684361320324672,0.9727577242748461
60.0,4317.0,8749.0,6999.0,1750.0,0.28793526555317617,0.1251810904959212,0.967584201161458
61.0,4179.0,8726.0,6980.0,1746.0,0.25570963940144265,0.0944732944467185,0.980154007001641
62.0,4528.0,8749.0,6999.0,1750.0,0.3102318244158662,0.13988560497304603,0.9657573164556655
63.0,3980.0,8725.0,6980.0,1745.0,0.25209950337940373,0.09949910401600946,0.9789390962205935
64.0,4074.0,8726.0,6980.0,1746.0,0.36519314366848604,0.13476966130812834,0.9533139203540218
65.0,4354.0,8749.0,6999.0,1750.0,0.2891970882769838,0.12400586478340443,0.9706459964572133
66.0,3916.0,8725.0,6980.0,1745.0,0.2591184070732183,0.10502239732569245,0.9739464868687421
67.0,3919.0,8725.0,6980.0,1745.0,0.2952292152534908,0.13611898280802293,0.9612864882889094
68.0,4159.0,8749.0,6999.0,1750.0,0.45910058262902675,0.1767786865862305,0.9300213069347467
69.0,3979.0,8725.0,6980.0,1745.0,0.30047220394461105,0.13389704427616317,0.9453223806662117
71.0,3936.0,8725.0,6980.0,1745.0,0.0,0.0,1.0
72.0,3943.0,8726.0,6980.0,1746.0,0.34315240098412414,0.16163101264383498,0.944547319207948
