Month,Day,Hour,TicketsPrev,Persons
11,1,9,43,2
11,1,10,61,3
11,1,11,81,3
11,1,12,87,3
11,1,13,94,3
11,1,14,69,3
11,1,15,33,2
11,1,16,28,2
11,1,17,41,3
11,1,18,68,3
11,1,19,74,3
11,1,20,72,3
11,1,21,13,1
11,1,22,0,0
11,1,23,0,0
11,2,0,0,0
11,2,1,0,0
11,2,2,0,0
11,2,3,0,0
11,2,4,0,0
11,2,5,0,0
11,2,6,0,0
11,2,7,0,0
11,2,8,0,0
11,2,9,40,2
11,2,10,57,3
11,2,11,83,3
11,2,12,100,3
11,2,13,90,3
11,2,14,66,3
11,2,15,39,2
11,2,16,27,2
11,2,17,49,3
11,2,18,75,3
11,2,19,80,3
11,2,20,83,3
11,2,21,15,1
11,2,22,0,0
11,2,23,0,0
11,3,0,0,0
11,3,1,0,0
11,3,2,0,0
11,3,3,0,0
11,3,4,0,0
11,3,5,0,0
11,3,6,0,0
11,3,7,0,0
11,3,8,0,0
11,3,9,41,2
11,3,10,58,3
11,3,11,72,3
11,3,12,87,3
11,3,13,85,3
11,3,14,55,3
11,3,15,34,2
11,3,16,30,2
11,3,17,46,2
11,3,18,74,3
11,3,19,70,3
11,3,20,65,3
11,3,21,10,1
11,3,22,0,0
11,3,23,0,0
11,4,0,0,0
11,4,1,0,0
11,4,2,0,0
11,4,3,0,0
11,4,4,0,0
11,4,5,0,0
11,4,6,0,0
11,4,7,0,0
11,4,8,0,0
11,4,9,32,2
11,4,10,61,3
11,4,11,90,3
11,4,12,92,3
11,4,13,103,3
11,4,14,69,3
11,4,15,37,2
11,4,16,30,2
11,4,17,43,2
11,4,18,65,3
11,4,19,70,3
11,4,20,66,3
11,4,21,14,2
11,4,22,0,0
11,4,23,0,0
11,5,0,0,0
11,5,1,0,0
11,5,2,0,0
11,5,3,0,0
11,5,4,0,0
11,5,5,0,0
11,5,6,0,0
11,5,7,0,0
11,5,8,0,0
11,5,9,39,2
11,5,10,65,3
11,5,11,95,3
11,5,12,119,3
11,5,13,115,3
11,5,14,81,3
11,5,15,39,3
11,5,16,34,2
11,5,17,40,3
11,5,18,65,3
11,5,19,78,3
11,5,20,65,3
11,5,21,10,1
11,5,22,0,0
11,5,23,0,0
11,6,0,0,0
11,6,1,0,0
11,6,2,0,0
11,6,3,0,0
11,6,4,0,0
11,6,5,0,0
11,6,6,0,0
11,6,7,0,0
11,6,8,0,0
11,6,9,0,0
11,6,10,0,0
11,6,11,0,0
11,6,12,0,0
11,6,13,0,0
11,6,14,0,0
11,6,15,0,0
11,6,16,0,0
11,6,17,0,0
11,6,18,0,0
11,6,19,0,0
11,6,20,0,0
11,6,21,0,0
11,6,22,0,0
11,6,23,0,0
11,0,0,0,0
11,0,1,0,0
11,0,2,0,0
11,0,3,0,0
11,0,4,0,0
11,0,5,0,0
11,0,6,0,0
11,0,7,0,0
11,0,8,0,0
11,0,9,40,2
11,0,10,60,3
11,0,11,84,3
11,0,12,101,3
11,0,13,89,3
11,0,14,68,3
11,0,15,37,2
11,0,16,29,2
11,0,17,49,2
11,0,18,69,3
