Month,Day,Hour,TicketsPrev,Persons
11,1,9,39,2
11,1,10,65,4
11,1,11,91,4
11,1,12,101,4
11,1,13,112,4
11,1,14,92,4
11,1,15,38,2
11,1,16,34,2
11,1,17,37,2
11,1,18,75,4
11,1,19,81,4
11,1,20,71,3
11,1,21,27,2
11,1,22,0,0
11,1,23,0,0
11,2,0,0,0
11,2,1,0,0
11,2,2,0,0
11,2,3,0,0
11,2,4,0,0
11,2,5,0,0
11,2,6,0,0
11,2,7,0,0
11,2,8,0,0
11,2,9,43,2
11,2,10,64,3
11,2,11,89,4
11,2,12,104,4
11,2,13,103,4
11,2,14,80,3
11,2,15,35,2
11,2,16,30,2
11,2,17,47,2
11,2,18,73,3
11,2,19,80,4
11,2,20,66,3
11,2,21,24,2
11,2,22,0,0
11,2,23,0,0
11,3,0,0,0
11,3,1,0,0
11,3,2,0,0
11,3,3,0,0
11,3,4,0,0
11,3,5,0,0
11,3,6,0,0
11,3,7,0,0
11,3,8,0,0
11,3,9,41,2
11,3,10,49,2
11,3,11,82,3
11,3,12,102,4
11,3,13,103,4
11,3,14,82,3
11,3,15,36,2
11,3,16,31,2
11,3,17,37,2
11,3,18,66,3
11,3,19,68,3
11,3,20,70,3
11,3,21,15,1
11,3,22,0,0
11,3,23,0,0
11,4,0,0,0
11,4,1,0,0
11,4,2,0,0
11,4,3,0,0
11,4,4,0,0
11,4,5,0,0
11,4,6,0,0
11,4,7,0,0
11,4,8,0,0
11,4,9,39,2
11,4,10,61,3
11,4,11,86,4
11,4,12,96,4
11,4,13,102,4
11,4,14,83,4
11,4,15,35,2
11,4,16,28,2
11,4,17,44,3
11,4,18,68,4
11,4,19,75,4
11,4,20,73,4
11,4,21,22,2
11,4,22,0,0
11,4,23,0,0
11,5,0,0,0
11,5,1,0,0
11,5,2,0,0
11,5,3,0,0
11,5,4,0,0
11,5,5,0,0
11,5,6,0,0
11,5,7,0,0
11,5,8,0,0
11,5,9,31,2
11,5,10,60,4
11,5,11,87,4
11,5,12,100,4
11,5,13,96,4
11,5,14,87,4
11,5,15,36,3
11,5,16,35,2
11,5,17,33,2
11,5,18,55,3
11,5,19,66,4
11,5,20,59,4
11,5,21,21,2
11,5,22,0,0
11,5,23,0,0
11,6,0,0,0
11,6,1,0,0
11,6,2,0,0
11,6,3,0,0
11,6,4,0,0
11,6,5,0,0
11,6,6,0,0
11,6,7,0,0
11,6,8,0,0
11,6,9,0,0
11,6,10,0,0
11,6,11,0,0
11,6,12,0,0
11,6,13,0,0
11,6,14,0,0
11,6,15,0,0
11,6,16,0,0
11,6,17,0,0
11,6,18,0,0
11,6,19,0,0
11,6,20,0,0
11,6,21,0,0
11,6,22,0,0
11,6,23,0,0
11,0,0,0,0
11,0,1,0,0
11,0,2,0,0
11,0,3,0,0
11,0,4,0,0
11,0,5,0,0
11,0,6,0,0
11,0,7,0,0
11,0,8,0,0
11,0,9,39,2
11,0,10,54,3
11,0,11,86,4
11,0,12,97,4
11,0,13,102,4
11,0,14,84,3
11,0,15,39,2
11,0,16,31,1
11,0,17,50,3
11,0,18,72,3
11,0,19,93,4
11,0,20,77,3
11,0,21,29,3
11,0,22,0,0
11,0,23,0,0
11,1,0,0,0
11,1,1,0,0
11,1,2,0,0
11,1,3,0,0
11,1,4,0,0
11,1,5,0,0
11,1,6,0,0
11,1,7,0,0
11,1,8,0,0
11,1,9,44,2
11,1,10,63,3
11,1,11,86,4
11,1,12,103,4
11,1,13,112,4
11,1,14,86,3
11,1,15,42,2
11,1,16,31,2
11,1,17,33,2
11,1,18,69,3
11,1,19,83,4
11,1,20,64,3
11,1,21,22,2
11,1,22,0,0
11,1,23,0,0
11,2,0,0,0
11,2,1,0,0
11,2,2,0,0
11,2,3,0,0
11,2,4,0,0
11,2,5,0,0
11,2,6,0,0
11,2,7,0,0
11,2,8,0,0
11,2,9,40,2
11,2,10,54,2
11,2,11,88,4
11,2,12,94,4
11,2,13,104,4
11,2,14,88,3
11,2,15,35,2
11,2,16,29,1
11,2,17,41,2
11,2,18,70,3
11,2,19,80,4
11,2,20,72,3
11,2,21,20,2
11,2,22,0,0
11,2,23,0,0
11,3,0,0,0
11,3,1,0,0
11,3,2,0,0
11,3,3,0,0
11,3,4,0,0
11,3,5,0,0
11,3,6,0,0
11,3,7,0,0
11,3,8,0,0
11,3,9,41,2
11,3,10,51,3
11,3,11,75,3
11,3,12,89,4
11,3,13,106,4
11,3,14,78,3
11,3,15,33,2
11,3,16,32,1
11,3,17,41,2
11,3,18,61,3
11,3,19,68,3
11,3,20,73,3
11,3,21,16,1
11,3,22,0,0
11,3,23,0,0
11,4,0,0,0
11,4,1,0,0
11,4,2,0,0
11,4,3,0,0
11,4,4,0,0
11,4,5,0,0
11,4,6,0,0
11,4,7,0,0
11,4,8,0,0
11,4,9,39,2
11,4,10,64,3
11,4,11,84,4
11,4,12,99,4
11,4,13,104,4
11,4,14,88,4
11,4,15,39,2
11,4,16,33,2
11,4,17,38,2
11,4,18,65,4
11,4,19,77,4
11,4,20,71,4
11,4,21,26,3
11,4,22,0,0
11,4,23,0,0
11,5,0,0,0
11,5,1,0,0
11,5,2,0,0
11,5,3,0,0
11,5,4,0,0
11,5,5,0,0
11,5,6,0,0
11,5,7,0,0
11,5,8,0,0
11,5,9,26,2
