Month,Day,Hour,TicketsPrev,Persons
11,1,9,100,4
11,1,10,103,4
11,1,11,137,4
11,1,12,155,4
11,1,13,156,4
11,1,14,112,4
11,1,15,68,3
11,1,16,58,3
11,1,17,79,4
11,1,18,105,4
11,1,19,109,4
11,1,20,93,4
11,1,21,28,2
11,1,22,0,0
11,1,23,0,0
11,2,0,0,0
11,2,1,0,0
11,2,2,0,0
11,2,3,0,0
11,2,4,0,0
11,2,5,0,0
11,2,6,0,0
11,2,7,0,0
11,2,8,0,0
11,2,9,101,4
11,2,10,103,4
11,2,11,135,4
11,2,12,154,4
11,2,13,150,4
11,2,14,117,4
11,2,15,66,3
11,2,16,62,3
11,2,17,92,4
11,2,18,112,4
11,2,19,117,4
11,2,20,95,4
11,2,21,24,2
11,2,22,0,0
11,2,23,0,0
11,3,0,0,0
11,3,1,0,0
11,3,2,0,0
11,3,3,0,0
11,3,4,0,0
11,3,5,0,0
11,3,6,0,0
11,3,7,0,0
11,3,8,0,0
11,3,9,95,4
11,3,10,92,4
11,3,11,133,4
11,3,12,158,4
11,3,13,160,4
11,3,14,106,4
11,3,15,62,3
11,3,16,58,3
11,3,17,72,3
11,3,18,98,4
11,3,19,115,4
11,3,20,93,4
11,3,21,24,2
11,3,22,0,0
11,3,23,0,0
11,4,0,0,0
11,4,1,0,0
11,4,2,0,0
11,4,3,0,0
11,4,4,0,0
11,4,5,0,0
11,4,6,0,0
11,4,7,0,0
11,4,8,0,0
11,4,9,79,4
11,4,10,92,4
11,4,11,128,4
11,4,12,153,4
11,4,13,155,4
11,4,14,107,4
11,4,15,70,3
11,4,16,53,3
11,4,17,77,4
11,4,18,97,4
11,4,19,107,4
11,4,20,94,4
11,4,21,35,4
11,4,22,0,0
11,4,23,0,0
11,5,0,0,0
11,5,1,0,0
11,5,2,0,0
11,5,3,0,0
11,5,4,0,0
11,5,5,0,0
11,5,6,0,0
11,5,7,0,0
11,5,8,0,0
11,5,9,60,4
11,5,10,83,4
11,5,11,139,4
11,5,12,167,4
11,5,13,156,4
11,5,14,107,4
11,5,15,58,3
11,5,16,46,3
11,5,17,57,4
11,5,18,87,4
11,5,19,101,4
11,5,20,86,4
11,5,21,36,4
11,5,22,0,0
11,5,23,0,0
11,6,0,0,0
11,6,1,0,0
11,6,2,0,0
11,6,3,0,0
11,6,4,0,0
11,6,5,0,0
11,6,6,0,0
11,6,7,0,0
11,6,8,0,0
11,6,9,0,0
11,6,10,0,0
11,6,11,0,0
11,6,12,0,0
11,6,13,0,0
11,6,14,0,0
11,6,15,0,0
11,6,16,0,0
11,6,17,0,0
11,6,18,0,0
11,6,19,0,0
11,6,20,0,0
11,6,21,0,0
11,6,22,0,0
11,6,23,0,0
11,0,0,0,0
11,0,1,0,0
11,0,2,0,0
11,0,3,0,0
11,0,4,0,0
11,0,5,0,0
11,0,6,0,0
11,0,7,0,0
11,0,8,0,0
11,0,9,98,4
11,0,10,90,4
11,0,11,123,4
11,0,12,154,4
11,0,13,150,4
11,0,14,119,4
11,0,15,70,3
11,0,16,63,3
11,0,17,89,4
11,0,18,116,4
11,0,19,122,4
11,0,20,100,4
11,0,21,31,2
11,0,22,0,0
11,0,23,0,0
11,1,0,0,0
11,1,1,0,0
11,1,2,0,0
11,1,3,0,0
11,1,4,0,0
11,1,5,0,0
11,1,6,0,0
11,1,7,0,0
11,1,8,0,0
11,1,9,93,4
11,1,10,100,4
11,1,11,131,4
11,1,12,155,4
11,1,13,156,4
11,1,14,111,4
11,1,15,66,3
11,1,16,63,3
11,1,17,82,3
11,1,18,108,4
11,1,19,110,4
11,1,20,97,4
11,1,21,29,2
11,1,22,0,0
11,1,23,0,0
11,2,0,0,0
11,2,1,0,0
11,2,2,0,0
11,2,3,0,0
11,2,4,0,0
11,2,5,0,0
11,2,6,0,0
11,2,7,0,0
11,2,8,0,0
11,2,9,97,4
11,2,10,90,4
11,2,11,130,4
11,2,12,150,4
11,2,13,140,4
11,2,14,124,4
11,2,15,71,3
11,2,16,65,3
11,2,17,83,3
11,2,18,105,4
11,2,19,116,4
11,2,20,86,4
11,2,21,30,2
11,2,22,0,0
11,2,23,0,0
11,3,0,0,0
11,3,1,0,0
11,3,2,0,0
11,3,3,0,0
11,3,4,0,0
11,3,5,0,0
11,3,6,0,0
11,3,7,0,0
11,3,8,0,0
11,3,9,93,4
11,3,10,94,4
11,3,11,129,4
11,3,12,150,4
11,3,13,167,4
11,3,14,118,4
11,3,15,67,3
11,3,16,60,2
11,3,17,76,3
11,3,18,92,4
11,3,19,107,4
11,3,20,92,3
11,3,21,29,2
11,3,22,0,0
11,3,23,0,0
11,4,0,0,0
11,4,1,0,0
11,4,2,0,0
11,4,3,0,0
11,4,4,0,0
11,4,5,0,0
11,4,6,0,0
11,4,7,0,0
11,4,8,0,0
11,4,9,89,4
11,4,10,96,4
11,4,11,130,4
11,4,12,140,4
11,4,13,152,4
11,4,14,110,4
11,4,15,67,3
11,4,16,59,3
11,4,17,74,4
11,4,18,100,4
11,4,19,107,4
11,4,20,93,4
11,4,21,33,2
11,4,22,0,0
11,4,23,0,0
11,5,0,0,0
11,5,1,0,0
11,5,2,0,0
11,5,3,0,0
11,5,4,0,0
11,5,5,0,0
11,5,6,0,0
11,5,7,0,0
11,5,8,0,0
11,5,9,53,3
11,5,10,85,4
11,5,11,139,4
11,5,12,158,4
11,5,13,158,4
11,5,14,115,4
11,5,15,65,3
11,5,16,51,3
11,5,17,62,3
11,5,18,85,4
11,5,19,105,4
11,5,20,95,4
11,5,21,39,4
11,5,22,0,0
11,5,23,0,0
11,6,0,0,0
11,6,1,0,0
11,6,2,0,0
11,6,3,0,0
11,6,4,0,0
11,6,5,0,0
11,6,6,0,0
11,6,7,0,0
11,6,8,0,0
11,6,9,0,0
11,6,10,0,0
11,6,11,0,0
11,6,12,0,0
11,6,13,0,0
11,6,14,0,0
11,6,15,0,0
11,6,16,0,0
11,6,17,0,0
11,6,18,0,0
11,6,19,0,0
11,6,20,0,0
11,6,21,0,0
11,6,22,0,0
11,6,23,0,0
11,0,0,0,0
11,0,1,0,0
11,0,2,0,0
11,0,3,0,0
11,0,4,0,0
11,0,5,0,0
11,0,6,0,0
11,0,7,0,0
11,0,8,0,0
11,0,9,96,4
11,0,10,94,4
11,0,11,133,4
11,0,12,150,4
11,0,13,154,4
11,0,14,117,4
11,0,15,70,3
11,0,16,71,3
11,0,17,88,4
11,0,18,120,4
11,0,19,129,4
11,0,20,96,4
11,0,21,34,3
11,0,22,0,0
11,0,23,0,0
11,1,0,0,0
11,1,1,0,0
11,1,2,0,0
11,1,3,0,0
11,1,4,0,0
11,1,5,0,0
11,1,6,0,0
11,1,7,0,0
11,1,8,0,0
11,1,9,89,4
11,1,10,92,4
11,1,11,130,4
11,1,12,154,4
11,1,13,166,4
11,1,14,119,4
11,1,15,73,3
11,1,16,55,2
11,1,17,81,3
11,1,18,114,4
11,1,19,119,4
11,1,20,94,4
11,1,21,33,3
11,1,22,0,0
11,1,23,0,0
11,2,0,0,0
11,2,1,0,0
11,2,2,0,0
11,2,3,0,0
11,2,4,0,0
11,2,5,0,0
11,2,6,0,0
11,2,7,0,0
11,2,8,0,0
11,2,9,94,4
11,2,10,93,4
11,2,11,132,4
11,2,12,152,4
11,2,13,149,4
11,2,14,121,4
11,2,15,72,3
11,2,16,59,2
11,2,17,77,3
11,2,18,110,4
11,2,19,119,4
11,2,20,96,4
11,2,21,29,2
11,2,22,0,0
11,2,23,0,0
11,3,0,0,0
11,3,1,0,0
11,3,2,0,0
11,3,3,0,0
11,3,4,0,0
11,3,5,0,0
11,3,6,0,0
11,3,7,0,0
11,3,8,0,0
11,3,9,86,3
11,3,10,88,4
11,3,11,132,4
11,3,12,151,4
11,3,13,156,4
11,3,14,108,4
11,3,15,63,3
11,3,16,55,2
11,3,17,79,3
11,3,18,97,4
11,3,19,113,4
11,3,20,92,4
11,3,21,30,3
11,3,22,0,0
11,3,23,0,0
11,4,0,0,0
11,4,1,0,0
11,4,2,0,0
11,4,3,0,0
11,4,4,0,0
