Month,Day,Hour,TicketsPrev,Persons
11,0,9,98,2
11,0,10,113,3
11,0,11,148,3
11,0,12,202,4
11,0,13,208,4
11,0,14,151,4
11,0,15,0,0
11,0,16,0,0
11,0,17,0,0
11,0,18,0,0
11,0,19,0,0
11,0,20,0,0
11,0,21,0,0
11,0,22,0,0
11,0,23,0,0
11,1,0,0,0
11,1,1,0,0
11,1,2,0,0
11,1,3,0,0
11,1,4,0,0
11,1,5,0,0
11,1,6,0,0
11,1,7,0,0
11,1,8,0,0
11,1,9,96,4
11,1,10,114,4
11,1,11,157,4
11,1,12,209,4
11,1,13,191,4
11,1,14,144,4
11,1,15,101,4
11,1,16,75,3
11,1,17,82,3
11,1,18,113,4
11,1,19,130,4
11,1,20,127,4
11,1,21,39,3
11,1,22,0,0
11,1,23,0,0
11,2,0,0,0
11,2,1,0,0
11,2,2,0,0
11,2,3,0,0
11,2,4,0,0
11,2,5,0,0
11,2,6,0,0
11,2,7,0,0
11,2,8,0,0
11,2,9,100,3
11,2,10,122,4
11,2,11,142,4
11,2,12,196,4
11,2,13,197,4
11,2,14,147,4
11,2,15,101,4
11,2,16,74,3
11,2,17,80,3
11,2,18,120,4
11,2,19,138,4
11,2,20,122,4
11,2,21,42,3
11,2,22,0,0
11,2,23,0,0
11,3,0,0,0
11,3,1,0,0
11,3,2,0,0
11,3,3,0,0
11,3,4,0,0
11,3,5,0,0
11,3,6,0,0
11,3,7,0,0
11,3,8,0,0
11,3,9,88,2
11,3,10,115,3
11,3,11,160,4
11,3,12,184,4
11,3,13,191,4
11,3,14,147,3
11,3,15,92,3
11,3,16,70,3
11,3,17,84,3
11,3,18,108,4
11,3,19,120,4
11,3,20,120,4
11,3,21,37,2
11,3,22,0,0
11,3,23,0,0
11,4,0,0,0
11,4,1,0,0
11,4,2,0,0
11,4,3,0,0
11,4,4,0,0
11,4,5,0,0
11,4,6,0,0
11,4,7,0,0
11,4,8,0,0
11,4,9,95,3
11,4,10,122,3
11,4,11,165,4
11,4,12,185,4
11,4,13,189,4
11,4,14,152,4
11,4,15,104,4
11,4,16,58,3
11,4,17,76,3
11,4,18,106,4
11,4,19,124,4
11,4,20,122,4
11,4,21,27,2
11,4,22,0,0
11,4,23,0,0
11,5,0,0,0
11,5,1,0,0
11,5,2,0,0
11,5,3,0,0
11,5,4,0,0
11,5,5,0,0
11,5,6,0,0
11,5,7,0,0
11,5,8,0,0
11,5,9,104,4
11,5,10,142,4
11,5,11,195,4
11,5,12,223,4
11,5,13,239,4
11,5,14,184,4
11,5,15,109,4
11,5,16,75,3
11,5,17,73,4
11,5,18,105,4
11,5,19,120,4
11,5,20,112,4
11,5,21,39,2
11,5,22,0,0
11,5,23,0,0
11,6,0,0,0
11,6,1,0,0
11,6,2,0,0
11,6,3,0,0
11,6,4,0,0
11,6,5,0,0
11,6,6,0,0
11,6,7,0,0
11,6,8,0,0
11,6,9,29,0
11,6,10,70,0
11,6,11,93,0
11,6,12,110,0
11,6,13,105,0
11,6,14,41,0
11,6,15,0,0
11,6,16,0,0
11,6,17,0,0
11,6,18,0,0
11,6,19,0,0
11,6,20,0,0
11,6,21,0,0
11,6,22,0,0
11,6,23,0,0
11,0,0,0,0
11,0,1,0,0
11,0,2,0,0
11,0,3,0,0
11,0,4,0,0
11,0,5,0,0
11,0,6,0,0
11,0,7,0,0
11,0,8,0,0
11,0,9,98,3
11,0,10,127,4
11,0,11,167,4
11,0,12,216,4
11,0,13,227,4
11,0,14,170,4
11,0,15,106,4
11,0,16,67,2
11,0,17,88,3
11,0,18,117,4
11,0,19,134,4
11,0,20,142,4
11,0,21,39,2
11,0,22,0,0
11,0,23,0,0
11,1,0,0,0
11,1,1,0,0
11,1,2,0,0
11,1,3,0,0
11,1,4,0,0
11,1,5,0,0
11,1,6,0,0
11,1,7,0,0
11,1,8,0,0
11,1,9,112,3
11,1,10,126,4
11,1,11,154,4
11,1,12,201,4
11,1,13,213,4
11,1,14,178,4
11,1,15,87,3
11,1,16,63,2
11,1,17,79,3
11,1,18,113,4
11,1,19,130,4
11,1,20,122,4
11,1,21,44,4
11,1,22,0,0
11,1,23,0,0
11,2,0,0,0
11,2,1,0,0
11,2,2,0,0
11,2,3,0,0
11,2,4,0,0
11,2,5,0,0
11,2,6,0,0
11,2,7,0,0
11,2,8,0,0
11,2,9,104,3
11,2,10,111,3
11,2,11,166,4
11,2,12,212,4
11,2,13,223,4
11,2,14,161,4
11,2,15,94,3
11,2,16,62,2
11,2,17,75,3
11,2,18,118,4
11,2,19,128,4
11,2,20,117,4
11,2,21,36,2
11,2,22,0,0
11,2,23,0,0
11,3,0,0,0
11,3,1,0,0
11,3,2,0,0
11,3,3,0,0
11,3,4,0,0
11,3,5,0,0
11,3,6,0,0
11,3,7,0,0
11,3,8,0,0
11,3,9,117,4
11,3,10,112,3
11,3,11,179,4
11,3,12,204,4
11,3,13,211,4
11,3,14,173,4
11,3,15,102,3
11,3,16,64,2
11,3,17,80,3
11,3,18,115,4
11,3,19,115,4
11,3,20,111,4
11,3,21,48,3
11,3,22,0,0
11,3,23,0,0
11,4,0,0,0
11,4,1,0,0
11,4,2,0,0
11,4,3,0,0
11,4,4,0,0
11,4,5,0,0
11,4,6,0,0
11,4,7,0,0
11,4,8,0,0
11,4,9,113,4
11,4,10,118,4
11,4,11,177,4
11,4,12,206,4
11,4,13,228,4
11,4,14,174,4
11,4,15,103,4
11,4,16,70,3
11,4,17,76,3
11,4,18,110,4
11,4,19,124,4
11,4,20,134,4
11,4,21,44,2
11,4,22,0,0
11,4,23,0,0
11,5,0,0,0
11,5,1,0,0
11,5,2,0,0
11,5,3,0,0
11,5,4,0,0
11,5,5,0,0
11,5,6,0,0
11,5,7,0,0
11,5,8,0,0
11,5,9,96,4
11,5,10,139,4
11,5,11,188,4
11,5,12,226,4
11,5,13,247,4
11,5,14,198,4
11,5,15,94,4
11,5,16,78,4
11,5,17,77,3
11,5,18,104,4
11,5,19,116,4
11,5,20,131,4
11,5,21,37,2
11,5,22,0,0
11,5,23,0,0
11,6,0,0,0
11,6,1,0,0
11,6,2,0,0
11,6,3,0,0
11,6,4,0,0
11,6,5,0,0
11,6,6,0,0
11,6,7,0,0
11,6,8,0,0
11,6,9,33,0
11,6,10,58,0
11,6,11,84,0
11,6,12,108,0
11,6,13,110,0
11,6,14,41,0
11,6,15,0,0
11,6,16,0,0
11,6,17,0,0
11,6,18,0,0
11,6,19,0,0
11,6,20,0,0
11,6,21,0,0
11,6,22,0,0
11,6,23,0,0
11,0,0,0,0
11,0,1,0,0
11,0,2,0,0
11,0,3,0,0
11,0,4,0,0
11,0,5,0,0
11,0,6,0,0
11,0,7,0,0
11,0,8,0,0
11,0,9,106,3
11,0,10,124,4
11,0,11,166,4
11,0,12,210,4
11,0,13,225,4
11,0,14,178,4
11,0,15,97,3
11,0,16,66,3
11,0,17,86,4
11,0,18,126,4
11,0,19,142,4
11,0,20,134,4
11,0,21,44,3
11,0,22,0,0
11,0,23,0,0
11,1,0,0,0
11,1,1,0,0
11,1,2,0,0
11,1,3,0,0
11,1,4,0,0
