Store ID,N Hours,N Hours Agg,N Hours Train,N Hours Test,RAW MAE,ROUND MAE,FLOOR MAE,CEIL MAE
10.0,4237.0,8749.0,8029.0,720.0,0.2587571902229545,0.24027777777777778,0.2388888888888889,0.39305555555555555
11.0,3877.0,8725.0,8005.0,720.0,0.2806216338831569,0.2638888888888889,0.3611111111111111,0.26944444444444443
13.0,4237.0,8749.0,8029.0,720.0,0.2881424267988702,0.2722222222222222,0.34444444444444444,0.30277777777777776
14.0,3876.0,8725.0,8005.0,720.0,0.18797368977372123,0.15694444444444444,0.24166666666666667,0.25833333333333336
15.0,4237.0,8749.0,8029.0,720.0,0.21914573427191503,0.19444444444444445,0.24861111111111112,0.31805555555555554
16.0,4170.0,8749.0,8029.0,720.0,0.2660269075332006,0.25,0.3236111111111111,0.29583333333333334
17.0,3879.0,8725.0,8005.0,720.0,0.16911947275525346,0.12361111111111112,0.2847222222222222,0.2013888888888889
18.0,4239.0,8749.0,8029.0,720.0,0.3048956179530187,0.2861111111111111,0.36666666666666664,0.33055555555555555
19.0,4224.0,8749.0,8029.0,720.0,0.34400213434210347,0.2972222222222222,0.5,0.30277777777777776
20.0,4237.0,8749.0,8029.0,720.0,0.3055558945831708,0.2833333333333333,0.43333333333333335,0.2722222222222222
21.0,3878.0,8725.0,8005.0,720.0,0.1925936437487817,0.1638888888888889,0.2972222222222222,0.19722222222222222
22.0,3877.0,8725.0,8005.0,720.0,0.22269061487716546,0.18611111111111112,0.4027777777777778,0.175
25.0,3877.0,8725.0,8005.0,720.0,0.2018140235814727,0.17222222222222222,0.20277777777777778,0.30277777777777776
26.0,3878.0,8725.0,8005.0,720.0,0.2812369913395182,0.25972222222222224,0.4041666666666667,0.24861111111111112
30.0,3791.0,8725.0,8005.0,720.0,0.20468229290241466,0.18472222222222223,0.17916666666666667,0.32916666666666666
31.0,4224.0,8749.0,8029.0,720.0,0.2575054266999873,0.22777777777777777,0.34305555555555556,0.2847222222222222
32.0,3878.0,8725.0,8005.0,720.0,0.1646288904451526,0.11944444444444445,0.3055555555555556,0.14722222222222223
33.0,4218.0,8749.0,8029.0,720.0,0.3099765902071769,0.2916666666666667,0.34444444444444444,0.35833333333333334
34.0,3863.0,8725.0,8005.0,720.0,0.2765079348520854,0.25555555555555554,0.31527777777777777,0.3013888888888889
35.0,3878.0,8725.0,8005.0,720.0,0.21278999999294518,0.1763888888888889,0.2652777777777778,0.29305555555555557
37.0,4238.0,8749.0,8029.0,720.0,0.4677556293862267,0.4527777777777778,0.49583333333333335,0.4791666666666667
38.0,3876.0,8725.0,8005.0,720.0,0.1947295722208372,0.1638888888888889,0.3055555555555556,0.17222222222222222
39.0,4238.0,8749.0,8029.0,720.0,0.27941519746737226,0.25416666666666665,0.3458333333333333,0.29583333333333334
40.0,4237.0,8749.0,8029.0,720.0,0.2556753226689713,0.21805555555555556,0.3763888888888889,0.25416666666666665
41.0,3877.0,8725.0,8005.0,720.0,0.25348304140450767,0.23055555555555557,0.32916666666666666,0.26805555555555555
42.0,3872.0,8725.0,8005.0,720.0,0.21358972397791554,0.2,0.2916666666666667,0.21805555555555556
43.0,3876.0,8725.0,8005.0,720.0,0.26015080472604957,0.24027777777777778,0.34305555555555556,0.24027777777777778
45.0,3878.0,8725.0,8005.0,720.0,0.24294813069056917,0.23194444444444445,0.3347222222222222,0.20972222222222223
49.0,3879.0,8725.0,8005.0,720.0,0.3510040290952777,0.34305555555555556,0.4847222222222222,0.25972222222222224
50.0,3866.0,8725.0,8005.0,720.0,0.23443089460592278,0.2152777777777778,0.19722222222222222,0.3611111111111111
51.0,3878.0,8725.0,8005.0,720.0,0.25226946984122756,0.2263888888888889,0.3263888888888889,0.27361111111111114
52.0,3883.0,8725.0,8005.0,720.0,0.3417705635017479,0.32916666666666666,0.4222222222222222,0.32222222222222224
53.0,3865.0,8725.0,8005.0,720.0,0.2649798066386402,0.24583333333333332,0.2777777777777778,0.3388888888888889
54.0,3873.0,8725.0,8005.0,720.0,0.22693336281044624,0.20277777777777778,0.2902777777777778,0.225
55.0,4231.0,8749.0,8029.0,720.0,0.24921104090014462,0.22361111111111112,0.3819444444444444,0.20972222222222223
56.0,4231.0,8749.0,8029.0,720.0,0.20448226759298319,0.15694444444444444,0.20555555555555555,0.3472222222222222
58.0,3633.0,8749.0,8029.0,720.0,0.22221938056872964,0.20694444444444443,0.3138888888888889,0.20416666666666666
