ds,sales,n_clients,imputed,weekday
2015-01-13 10:00:00,447.85,64.0,-1,1
2015-01-13 11:00:00,615.9200000000001,88.0,-1,1
2015-01-13 12:00:00,644.85,105.0,-1,1
2015-01-13 13:00:00,648.26,100.0,-1,1
2015-01-13 14:00:00,504.44,78.0,-1,1
2015-01-13 15:00:00,403.6,62.666666666666664,1,1
2015-01-13 16:00:00,302.76,47.33333333333333,1,1
2015-01-13 17:00:00,201.92,32.0,-1,1
2015-01-13 18:00:00,292.19,46.0,-1,1
2015-01-13 19:00:00,590.46,74.0,-1,1
2015-01-13 20:00:00,384.41999999999996,65.0,-1,1
2015-01-13 21:00:00,80.51,8.0,-1,1
2015-01-14 09:00:00,754.17,67.0,1,2
2015-01-14 10:00:00,754.17,67.0,-1,2
2015-01-14 11:00:00,1070.28,80.0,-1,2
2015-01-14 12:00:00,1391.51,102.0,-1,2
2015-01-14 13:00:00,1335.75,112.0,-1,2
2015-01-14 14:00:00,926.62,73.0,-1,2
2015-01-14 15:00:00,926.62,73.0,1,2
2015-01-14 16:00:00,926.62,73.0,1,2
2015-01-14 17:00:00,926.62,73.0,1,2
2015-01-14 18:00:00,926.62,73.0,1,2
2015-01-14 19:00:00,926.62,73.0,1,2
2015-01-14 20:00:00,926.62,73.0,1,2
2015-01-14 21:00:00,926.62,73.0,1,2
2015-01-15 09:00:00,46.63,1.0,-1,3
2015-01-15 10:00:00,389.66,61.0,-1,3
2015-01-15 11:00:00,620.23,85.0,-1,3
2015-01-15 12:00:00,631.06,100.0,-1,3
2015-01-15 13:00:00,807.0699999999999,113.0,-1,3
2015-01-15 14:00:00,519.47,69.0,-1,3
2015-01-15 15:00:00,455.4866666666667,61.333333333333336,1,3
2015-01-15 16:00:00,391.50333333333333,53.666666666666664,1,3
2015-01-15 17:00:00,327.52,46.0,-1,3
2015-01-15 18:00:00,250.73000000000002,54.0,-1,3
2015-01-15 19:00:00,509.14,83.0,-1,3
2015-01-15 20:00:00,480.40000000000003,70.0,-1,3
2015-01-15 21:00:00,44.31,6.0,-1,3
2015-01-16 09:00:00,401.3,55.0,1,4
2015-01-16 10:00:00,401.3,55.0,-1,4
2015-01-16 11:00:00,745.73,98.0,-1,4
2015-01-16 12:00:00,630.3499999999999,96.0,-1,4
2015-01-16 13:00:00,626.4100000000001,100.0,-1,4
2015-01-16 14:00:00,325.8,57.0,-1,4
2015-01-16 15:00:00,280.18,48.666666666666664,1,4
2015-01-16 16:00:00,234.56,40.33333333333333,1,4
2015-01-16 17:00:00,188.94,32.0,-1,4
2015-01-16 18:00:00,336.90999999999997,55.0,-1,4
2015-01-16 19:00:00,536.95,70.0,-1,4
2015-01-16 20:00:00,667.0799999999999,75.0,-1,4
2015-01-16 21:00:00,66.35,10.0,-1,4
2015-01-17 09:00:00,548.01,51.0,1,5
2015-01-17 10:00:00,548.01,51.0,-1,5
2015-01-17 11:00:00,739.1800000000001,100.0,-1,5
2015-01-17 12:00:00,734.3399999999999,94.0,-1,5
2015-01-17 13:00:00,771.3199999999999,125.0,-1,5
2015-01-17 14:00:00,537.36,79.0,-1,5
2015-01-17 15:00:00,60.8,4.0,-1,5
2015-01-17 16:00:00,122.975,20.5,1,5
2015-01-17 17:00:00,185.14999999999998,37.0,-1,5
2015-01-17 18:00:00,425.52,52.0,-1,5
2015-01-17 19:00:00,446.57000000000005,76.0,-1,5
2015-01-17 20:00:00,445.52,64.0,-1,5
2015-01-17 21:00:00,103.89,9.0,-1,5
2015-01-19 09:00:00,383.45,51.0,1,0
2015-01-19 10:00:00,383.45,51.0,-1,0
2015-01-19 11:00:00,618.75,80.0,-1,0
2015-01-19 12:00:00,644.29,103.0,-1,0
2015-01-19 13:00:00,781.8,116.0,-1,0
2015-01-19 14:00:00,807.49,87.0,-1,0
2015-01-19 15:00:00,408.745,44.0,1,0
2015-01-19 16:00:00,10.0,1.0,-1,0
2015-01-19 17:00:00,254.61,48.0,-1,0
2015-01-19 18:00:00,266.90999999999997,49.0,-1,0
2015-01-19 19:00:00,519.61,69.0,-1,0
2015-01-19 20:00:00,404.59000000000003,75.0,-1,0
2015-01-19 21:00:00,110.71,9.0,-1,0
2015-01-20 09:00:00,421.0,63.0,-1,1
2015-01-20 10:00:00,434.2,68.0,-1,1
2015-01-20 11:00:00,579.95,78.0,-1,1
2015-01-20 12:00:00,540.63,79.0,-1,1
2015-01-20 13:00:00,764.51,102.0,-1,1
2015-01-20 14:00:00,293.92,53.0,-1,1
2015-01-20 15:00:00,6.0,1.0,-1,1
2015-01-20 16:00:00,1.0,1.0,-1,1
2015-01-20 17:00:00,230.7,40.0,-1,1
2015-01-20 18:00:00,308.67999999999995,57.0,-1,1
2015-01-20 19:00:00,260.25,53.0,-1,1
2015-01-20 20:00:00,439.65999999999997,74.0,-1,1
2015-01-20 21:00:00,52.74,8.0,-1,1
2015-01-21 09:00:00,236.64999999999998,48.0,-1,2
2015-01-21 10:00:00,364.5,58.0,-1,2
2015-01-21 11:00:00,637.61,97.0,-1,2
2015-01-21 12:00:00,828.0,106.0,-1,2
2015-01-21 13:00:00,640.8499999999999,95.0,-1,2
2015-01-21 14:00:00,426.35,68.0,-1,2
2015-01-21 15:00:00,13.1,3.0,-1,2
2015-01-21 16:00:00,122.595,18.0,1,2
2015-01-21 17:00:00,232.09,33.0,-1,2
2015-01-21 18:00:00,291.23,54.0,-1,2
2015-01-21 19:00:00,287.69,52.0,-1,2
2015-01-21 20:00:00,357.90999999999997,74.0,-1,2
2015-01-21 21:00:00,6.27,1.0,-1,2
2015-01-22 09:00:00,387.91999999999996,53.0,-1,3
2015-01-22 10:00:00,406.77,61.0,-1,3
2015-01-22 11:00:00,582.01,88.0,-1,3
2015-01-22 12:00:00,501.25,76.0,-1,3
2015-01-22 13:00:00,656.53,110.0,-1,3
2015-01-22 14:00:00,476.36,64.0,-1,3
2015-01-22 15:00:00,67.17,8.0,-1,3
2015-01-22 16:00:00,151.48000000000002,22.0,1,3
2015-01-22 17:00:00,235.79,36.0,-1,3
2015-01-22 18:00:00,292.08000000000004,44.0,-1,3
2015-01-22 19:00:00,422.85,77.0,-1,3
2015-01-22 20:00:00,524.13,72.0,-1,3
2015-01-22 21:00:00,63.26,16.0,-1,3
2015-01-23 09:00:00,345.35,59.0,-1,4
2015-01-23 10:00:00,386.05,55.0,-1,4
2015-01-23 11:00:00,618.45,98.0,-1,4
2015-01-23 12:00:00,884.04,117.0,-1,4
2015-01-23 13:00:00,524.7,99.0,-1,4
2015-01-23 14:00:00,471.6,82.0,-1,4
2015-01-23 15:00:00,411.8066666666667,69.66666666666667,1,4
2015-01-23 16:00:00,352.0133333333334,57.33333333333333,1,4
2015-01-23 17:00:00,292.22,45.0,-1,4
2015-01-23 18:00:00,439.27,65.0,-1,4
2015-01-23 19:00:00,512.03,69.0,-1,4
2015-01-23 20:00:00,467.76,75.0,-1,4
2015-01-23 21:00:00,1.0,1.0,-1,4
2015-01-24 09:00:00,224.62,31.0,-1,5
2015-01-24 10:00:00,402.22,53.0,-1,5
2015-01-24 11:00:00,601.14,85.0,-1,5
2015-01-24 12:00:00,759.0999999999999,103.0,-1,5
2015-01-24 13:00:00,793.69,113.0,-1,5
2015-01-24 14:00:00,529.0899999999999,66.0,-1,5
2015-01-24 15:00:00,45.15,6.0,-1,5
2015-01-24 16:00:00,4.0,1.0,-1,5
2015-01-24 17:00:00,196.43,31.0,-1,5
2015-01-24 18:00:00,270.96,35.0,-1,5
2015-01-24 19:00:00,330.96000000000004,48.0,-1,5
2015-01-24 20:00:00,323.03,52.0,-1,5
2015-01-24 21:00:00,8.07,1.0,-1,5
2015-01-26 09:00:00,341.73,55.0,-1,0
2015-01-26 10:00:00,373.59000000000003,61.0,-1,0
2015-01-26 11:00:00,541.7,81.0,-1,0
2015-01-26 12:00:00,482.84000000000003,96.0,-1,0
2015-01-26 13:00:00,661.28,104.0,-1,0
2015-01-26 14:00:00,491.37,71.0,-1,0
2015-01-26 15:00:00,388.64,60.0,1,0
2015-01-26 16:00:00,285.90999999999997,49.0,1,0
2015-01-26 17:00:00,183.18,38.0,-1,0
2015-01-26 18:00:00,290.97,58.0,-1,0
2015-01-26 19:00:00,458.74,77.0,-1,0
2015-01-26 20:00:00,461.57,73.0,-1,0
2015-01-26 21:00:00,28.88,5.0,-1,0
2015-01-27 09:00:00,265.95,61.0,-1,1
2015-01-27 10:00:00,419.14,56.0,-1,1
2015-01-27 11:00:00,597.82,90.0,-1,1
2015-01-27 12:00:00,720.26,95.0,-1,1
2015-01-27 13:00:00,740.3,114.0,-1,1
2015-01-27 14:00:00,336.79,76.0,-1,1
2015-01-27 15:00:00,295.5,62.333333333333336,1,1
2015-01-27 16:00:00,254.21000000000004,48.66666666666667,1,1
2015-01-27 17:00:00,212.92000000000002,35.0,-1,1
2015-01-27 18:00:00,209.38,43.0,-1,1
2015-01-27 19:00:00,417.77,70.0,-1,1
2015-01-27 20:00:00,310.06,63.0,-1,1
2015-01-27 21:00:00,55.08,5.0,-1,1
2015-01-28 09:00:00,401.64,64.0,-1,2
2015-01-28 10:00:00,448.95000000000005,71.0,-1,2
2015-01-28 11:00:00,477.11,74.0,-1,2
2015-01-28 12:00:00,524.4000000000001,98.0,-1,2
2015-01-28 13:00:00,531.98,113.0,-1,2
2015-01-28 14:00:00,420.03,70.0,-1,2
2015-01-28 15:00:00,326.0566666666667,54.0,1,2
2015-01-28 16:00:00,232.08333333333334,38.0,1,2
2015-01-28 17:00:00,138.10999999999999,22.0,-1,2
2015-01-28 18:00:00,321.13,51.0,-1,2
2015-01-28 19:00:00,372.12,65.0,-1,2
2015-01-28 20:00:00,313.66999999999996,51.0,-1,2
2015-01-28 21:00:00,313.66999999999996,51.0,1,2
2015-01-29 09:00:00,202.13,44.0,-1,3
2015-01-29 10:00:00,589.5999999999999,62.0,-1,3
2015-01-29 11:00:00,636.69,74.0,-1,3
2015-01-29 12:00:00,712.53,104.0,-1,3
2015-01-29 13:00:00,770.1000000000001,115.0,-1,3
2015-01-29 14:00:00,404.88,67.0,-1,3
2015-01-29 15:00:00,331.58666666666664,56.0,1,3
2015-01-29 16:00:00,258.2933333333333,45.0,1,3
2015-01-29 17:00:00,185.0,34.0,-1,3
2015-01-29 18:00:00,313.03,54.0,-1,3
2015-01-29 19:00:00,479.08,69.0,-1,3
2015-01-29 20:00:00,341.28000000000003,59.0,-1,3
2015-01-29 21:00:00,341.28000000000003,59.0,1,3
2015-01-30 09:00:00,380.58,51.0,-1,4
2015-01-30 10:00:00,405.6,62.0,-1,4
2015-01-30 11:00:00,693.9300000000001,89.0,-1,4
2015-01-30 12:00:00,490.14,84.0,-1,4
2015-01-30 13:00:00,682.23,106.0,-1,4
2015-01-30 14:00:00,584.48,73.0,-1,4
2015-01-30 15:00:00,483.13666666666666,61.333333333333336,1,4
2015-01-30 16:00:00,381.7933333333333,49.66666666666667,1,4
2015-01-30 17:00:00,280.45,38.0,-1,4
2015-01-30 18:00:00,375.11,40.0,-1,4
2015-01-30 19:00:00,357.54999999999995,53.0,-1,4
2015-01-30 20:00:00,533.8,64.0,-1,4
2015-01-30 21:00:00,6.0,1.0,-1,4
2015-01-31 09:00:00,321.84000000000003,40.0,-1,5
2015-01-31 10:00:00,388.53,51.0,-1,5
2015-01-31 11:00:00,776.0,100.0,-1,5
2015-01-31 12:00:00,832.89,116.0,-1,5
2015-01-31 13:00:00,991.56,132.0,-1,5
2015-01-31 14:00:00,581.3699999999999,71.0,-1,5
2015-01-31 15:00:00,488.29666666666657,58.0,1,5
2015-01-31 16:00:00,395.22333333333324,45.0,1,5
2015-01-31 17:00:00,302.15,32.0,-1,5
2015-01-31 18:00:00,320.05,43.0,-1,5
2015-01-31 19:00:00,358.38,52.0,-1,5
2015-01-31 20:00:00,322.52,47.0,-1,5
2015-01-31 21:00:00,39.31,7.0,-1,5
2015-02-02 09:00:00,435.87,54.0,-1,0
2015-02-02 10:00:00,597.3199999999999,64.0,-1,0
2015-02-02 11:00:00,482.67,76.0,-1,0
2015-02-02 12:00:00,702.77,101.0,-1,0
2015-02-02 13:00:00,794.22,117.0,-1,0
2015-02-02 14:00:00,415.27,70.0,-1,0
2015-02-02 15:00:00,13.77,1.0,-1,0
2015-02-02 16:00:00,124.73999999999997,20.0,1,0
2015-02-02 17:00:00,235.70999999999995,39.0,-1,0
2015-02-02 18:00:00,408.53,51.0,-1,0
2015-02-02 19:00:00,389.70000000000005,65.0,-1,0
2015-02-02 20:00:00,361.84,56.0,-1,0
2015-02-02 21:00:00,2.65,2.0,-1,0
2015-02-03 09:00:00,407.38,60.0,-1,1
2015-02-03 10:00:00,461.53,71.0,-1,1
2015-02-03 11:00:00,699.56,87.0,-1,1
2015-02-03 12:00:00,931.69,103.0,-1,1
2015-02-03 13:00:00,805.61,113.0,-1,1
2015-02-03 14:00:00,452.96,69.0,-1,1
2015-02-03 15:00:00,19.21,2.0,-1,1
2015-02-03 16:00:00,87.70499999999998,13.5,1,1
2015-02-03 17:00:00,156.2,25.0,-1,1
2015-02-03 18:00:00,387.31,46.0,-1,1
2015-02-03 19:00:00,311.06,53.0,-1,1
2015-02-03 20:00:00,430.35,66.0,-1,1
2015-02-03 21:00:00,20.99,3.0,-1,1
2015-02-04 09:00:00,318.83,54.0,-1,2
2015-02-04 10:00:00,456.82,59.0,-1,2
2015-02-04 11:00:00,545.17,92.0,-1,2
2015-02-04 12:00:00,670.72,108.0,-1,2
2015-02-04 13:00:00,1624.19,115.0,-1,2
2015-02-04 14:00:00,483.46,72.0,-1,2
2015-02-04 15:00:00,31.85,5.0,-1,2
2015-02-04 16:00:00,6.0,1.0,-1,2
2015-02-04 17:00:00,166.01999999999998,31.0,-1,2
2015-02-04 18:00:00,261.83,37.0,-1,2
2015-02-04 19:00:00,300.77,54.0,-1,2
2015-02-04 20:00:00,419.53,72.0,-1,2
2015-02-04 21:00:00,6.6,1.0,-1,2
2015-02-05 09:00:00,190.54,59.0,-1,3
2015-02-05 10:00:00,399.44,60.0,-1,3
2015-02-05 11:00:00,611.6800000000001,80.0,-1,3
2015-02-05 12:00:00,583.85,93.0,-1,3
2015-02-05 13:00:00,709.9300000000001,110.0,-1,3
2015-02-05 14:00:00,502.68,84.0,-1,3
2015-02-05 15:00:00,1.0,1.0,-1,3
2015-02-05 16:00:00,94.985,16.5,1,3
2015-02-05 17:00:00,188.97,32.0,-1,3
2015-02-05 18:00:00,217.2,47.0,-1,3
2015-02-05 19:00:00,540.57,62.0,-1,3
2015-02-05 20:00:00,368.27,60.0,-1,3
2015-02-05 21:00:00,8.08,2.0,-1,3
2015-02-06 09:00:00,423.35,50.0,-1,4
2015-02-06 10:00:00,333.96000000000004,49.0,-1,4
2015-02-06 11:00:00,605.64,98.0,-1,4
2015-02-06 12:00:00,804.65,105.0,-1,4
2015-02-06 13:00:00,811.0100000000001,126.0,-1,4
2015-02-06 14:00:00,343.75,66.0,-1,4
2015-02-06 15:00:00,337.43333333333334,56.666666666666664,1,4
2015-02-06 16:00:00,331.1166666666666,47.33333333333333,1,4
2015-02-06 17:00:00,324.79999999999995,38.0,-1,4
2015-02-06 18:00:00,544.15,44.0,-1,4
2015-02-06 19:00:00,475.69,57.0,-1,4
2015-02-06 20:00:00,534.34,75.0,-1,4
2015-02-06 21:00:00,17.33,2.0,-1,4
2015-02-07 09:00:00,372.56,37.0,-1,5
2015-02-07 10:00:00,513.26,52.0,-1,5
2015-02-07 11:00:00,595.44,81.0,-1,5
2015-02-07 12:00:00,790.85,96.0,-1,5
2015-02-07 13:00:00,907.0799999999999,101.0,-1,5
2015-02-07 14:00:00,730.77,81.0,-1,5
2015-02-07 15:00:00,55.03,6.0,-1,5
2015-02-07 16:00:00,104.58,15.5,1,5
2015-02-07 17:00:00,154.13,25.0,-1,5
2015-02-07 18:00:00,357.48,48.0,-1,5
2015-02-07 19:00:00,357.31,58.0,-1,5
2015-02-07 20:00:00,356.95000000000005,52.0,-1,5
2015-02-07 21:00:00,7.0,1.0,-1,5
2015-02-09 09:00:00,343.17999999999995,51.0,-1,0
2015-02-09 10:00:00,422.19,64.0,-1,0
2015-02-09 11:00:00,654.44,80.0,-1,0
2015-02-09 12:00:00,626.62,94.0,-1,0
2015-02-09 13:00:00,641.8199999999999,96.0,-1,0
2015-02-09 14:00:00,472.28999999999996,81.0,-1,0
2015-02-09 15:00:00,384.40999999999997,64.33333333333333,1,0
2015-02-09 16:00:00,296.53,47.666666666666664,1,0
2015-02-09 17:00:00,208.65,31.0,-1,0
2015-02-09 18:00:00,251.63,50.0,-1,0
2015-02-09 19:00:00,485.14,72.0,-1,0
2015-02-09 20:00:00,432.27,70.0,-1,0
2015-02-09 21:00:00,12.34,1.0,-1,0
2015-02-10 09:00:00,507.82000000000005,66.0,-1,1
2015-02-10 10:00:00,488.63,81.0,-1,1
2015-02-10 11:00:00,623.98,86.0,-1,1
2015-02-10 12:00:00,835.61,102.0,-1,1
2015-02-10 13:00:00,771.11,125.0,-1,1
2015-02-10 14:00:00,513.25,78.0,-1,1
2015-02-10 15:00:00,16.65,2.0,-1,1
2015-02-10 16:00:00,96.69999999999999,15.5,1,1
2015-02-10 17:00:00,176.75,29.0,-1,1
2015-02-10 18:00:00,329.3,46.0,-1,1
2015-02-10 19:00:00,458.53,66.0,-1,1
2015-02-10 20:00:00,356.06,68.0,-1,1
2015-02-10 21:00:00,7.17,1.0,-1,1
2015-02-11 09:00:00,411.55,58.0,-1,2
2015-02-11 10:00:00,445.98,69.0,-1,2
2015-02-11 11:00:00,544.1600000000001,95.0,-1,2
2015-02-11 12:00:00,676.33,118.0,-1,2
2015-02-11 13:00:00,535.1600000000001,91.0,-1,2
2015-02-11 14:00:00,426.09,72.0,-1,2
2015-02-11 15:00:00,5.0,1.0,-1,2
2015-02-11 16:00:00,5.0,1.0,-1,2
2015-02-11 17:00:00,179.57,27.0,-1,2
2015-02-11 18:00:00,312.12,51.0,-1,2
2015-02-11 19:00:00,428.88,60.0,-1,2
2015-02-11 20:00:00,322.9,58.0,-1,2
2015-02-11 21:00:00,14.02,3.0,-1,2
2015-02-12 09:00:00,398.03,55.0,-1,3
2015-02-12 10:00:00,480.19,66.0,-1,3
2015-02-12 11:00:00,781.75,105.0,-1,3
2015-02-12 12:00:00,626.56,96.0,-1,3
2015-02-12 13:00:00,684.24,110.0,-1,3
2015-02-12 14:00:00,559.19,84.0,-1,3
2015-02-12 15:00:00,4.58,2.0,-1,3
2015-02-12 16:00:00,2.0,1.0,-1,3
2015-02-12 17:00:00,138.37,28.0,-1,3
2015-02-12 18:00:00,236.73,37.0,-1,3
2015-02-12 19:00:00,425.3,67.0,-1,3
2015-02-12 20:00:00,407.6,65.0,-1,3
2015-02-12 21:00:00,17.16,4.0,-1,3
2015-02-13 09:00:00,518.5799999999999,72.0,-1,4
2015-02-13 10:00:00,427.31,64.0,-1,4
2015-02-13 11:00:00,537.47,79.0,-1,4
2015-02-13 12:00:00,681.31,89.0,-1,4
2015-02-13 13:00:00,571.5699999999999,111.0,-1,4
2015-02-13 14:00:00,1026.96,73.0,-1,4
2015-02-13 15:00:00,2.1,1.0,-1,4
2015-02-13 16:00:00,77.865,16.5,1,4
2015-02-13 17:00:00,153.63,32.0,-1,4
2015-02-13 18:00:00,284.3,42.0,-1,4
2015-02-13 19:00:00,528.77,56.0,-1,4
2015-02-13 20:00:00,467.13,72.0,-1,4
2015-02-13 21:00:00,24.12,2.0,-1,4
2015-02-14 09:00:00,284.27,39.0,-1,5
2015-02-14 10:00:00,418.6,61.0,-1,5
2015-02-14 11:00:00,729.63,83.0,-1,5
2015-02-14 12:00:00,640.49,93.0,-1,5
2015-02-14 13:00:00,930.23,114.0,-1,5
2015-02-14 14:00:00,537.0699999999999,72.0,-1,5
2015-02-14 15:00:00,31.45,6.0,-1,5
2015-02-14 16:00:00,3.0,1.0,-1,5
2015-02-14 17:00:00,238.19,34.0,-1,5
2015-02-14 18:00:00,384.93,47.0,-1,5
2015-02-14 19:00:00,288.11,60.0,-1,5
2015-02-14 20:00:00,337.46000000000004,61.0,-1,5
2015-02-14 21:00:00,135.0,1.0,-1,5
2015-02-16 09:00:00,418.65999999999997,47.0,-1,0
2015-02-16 10:00:00,566.72,86.0,-1,0
2015-02-16 11:00:00,740.0,95.0,-1,0
2015-02-16 12:00:00,829.04,110.0,-1,0
2015-02-16 13:00:00,908.3599999999999,128.0,-1,0
2015-02-16 14:00:00,475.09000000000003,59.0,-1,0
2015-02-16 15:00:00,36.49,4.0,-1,0
2015-02-16 16:00:00,207.27499999999998,31.0,1,0
2015-02-16 17:00:00,378.05999999999995,58.0,-1,0
2015-02-16 18:00:00,385.8,65.0,-1,0
2015-02-16 19:00:00,503.03999999999996,79.0,-1,0
2015-02-16 20:00:00,533.2900000000001,86.0,-1,0
2015-02-16 21:00:00,40.09,5.0,-1,0
2015-02-17 09:00:00,507.82000000000005,66.0,0,1
2015-02-17 10:00:00,488.63,81.0,0,1
2015-02-17 11:00:00,623.98,86.0,0,1
2015-02-17 12:00:00,835.61,102.0,0,1
2015-02-17 13:00:00,771.11,125.0,0,1
2015-02-17 14:00:00,513.25,78.0,0,1
2015-02-17 15:00:00,16.65,2.0,0,1
2015-02-17 16:00:00,96.69999999999999,15.5,0,1
2015-02-17 17:00:00,176.75,29.0,0,1
2015-02-17 18:00:00,329.3,46.0,0,1
2015-02-17 19:00:00,458.53,66.0,0,1
