,ds,y
81,2015-01-07 13:15:00,6.0
82,2015-01-07 13:30:00,8.0
83,2015-01-07 13:45:00,6.0
84,2015-01-07 14:00:00,9.0
85,2015-01-07 14:15:00,17.0
86,2015-01-07 14:30:00,7.0
29722,2015-01-07 14:45:00,12.0
29723,2015-01-07 15:00:00,14.0
29724,2015-01-07 15:15:00,8.0
29725,2015-01-07 15:30:00,10.0
29726,2015-01-07 15:45:00,8.0
29727,2015-01-07 16:00:00,14.0
29728,2015-01-07 16:15:00,10.0
29729,2015-01-07 16:30:00,10.0
29730,2015-01-07 16:45:00,4.0
29731,2015-01-07 17:00:00,9.0
29732,2015-01-07 17:15:00,4.0
87,2015-01-07 17:30:00,5.0
88,2015-01-07 17:45:00,10.0
89,2015-01-07 18:00:00,7.0
90,2015-01-07 18:15:00,10.0
91,2015-01-07 18:30:00,11.0
92,2015-01-07 18:45:00,11.0
93,2015-01-07 19:00:00,18.0
94,2015-01-07 19:15:00,19.0
95,2015-01-07 19:30:00,14.0
96,2015-01-07 19:45:00,13.0
97,2015-01-07 20:00:00,15.0
98,2015-01-07 20:15:00,17.0
99,2015-01-07 20:30:00,13.0
100,2015-01-07 20:45:00,10.0
101,2015-01-07 21:00:00,11.0
102,2015-01-07 21:15:00,11.0
29744,2015-01-08 10:00:00,10.0
29745,2015-01-08 10:15:00,8.0
29746,2015-01-08 10:30:00,8.0
29747,2015-01-08 10:45:00,5.0
29748,2015-01-08 11:00:00,17.0
104,2015-01-08 11:15:00,14.0
105,2015-01-08 11:30:00,2.0
29751,2015-01-08 11:45:00,12.0
29752,2015-01-08 12:00:00,16.0
106,2015-01-08 12:15:00,4.0
107,2015-01-08 12:30:00,13.0
108,2015-01-08 12:45:00,14.0
29756,2015-01-08 13:00:00,15.0
109,2015-01-08 13:15:00,7.0
29758,2015-01-08 13:30:00,12.0
110,2015-01-08 13:45:00,11.0
111,2015-01-08 14:00:00,10.0
112,2015-01-08 14:15:00,17.0
113,2015-01-08 14:30:00,9.0
29762,2015-01-08 14:45:00,23.0
29763,2015-01-08 15:00:00,12.0
29764,2015-01-08 15:15:00,12.0
29765,2015-01-08 15:30:00,13.0
29766,2015-01-08 15:45:00,7.0
29767,2015-01-08 16:00:00,6.0
29768,2015-01-08 16:15:00,10.0
29769,2015-01-08 16:30:00,6.0
29770,2015-01-08 16:45:00,5.0
29771,2015-01-08 17:00:00,6.0
29772,2015-01-08 17:15:00,10.0
114,2015-01-08 17:30:00,11.0
115,2015-01-08 17:45:00,10.0
116,2015-01-08 18:00:00,10.0
29775,2015-01-08 18:15:00,13.0
29776,2015-01-08 18:30:00,10.0
29777,2015-01-08 18:45:00,10.0
29698,2015-01-08 19:00:00,2.0
117,2015-01-08 19:15:00,9.0
118,2015-01-08 19:30:00,11.0
119,2015-01-08 19:45:00,5.0
29699,2015-01-08 20:00:00,5.0
29783,2015-01-08 20:15:00,14.0
120,2015-01-08 20:30:00,8.0
121,2015-01-08 20:45:00,4.0
29700,2015-01-08 21:00:00,6.0
122,2015-01-08 21:15:00,5.0
29788,2015-01-08 21:30:00,2.0
29701,2015-01-08 22:00:00,5.0
29702,2015-01-08 23:00:00,4.0
29795,2015-01-09 10:00:00,12.0
29796,2015-01-09 10:15:00,10.0
123,2015-01-09 10:30:00,2.0
124,2015-01-09 10:45:00,1.0
125,2015-01-09 11:00:00,4.0
29800,2015-01-09 11:15:00,18.0
126,2015-01-09 11:30:00,5.0
29802,2015-01-09 11:45:00,14.0
29803,2015-01-09 12:00:00,14.0
127,2015-01-09 12:15:00,12.0
128,2015-01-09 12:30:00,3.0
29806,2015-01-09 12:45:00,15.0
29807,2015-01-09 13:00:00,20.0
29808,2015-01-09 13:15:00,17.0
129,2015-01-09 13:30:00,3.0
130,2015-01-09 13:45:00,5.0
131,2015-01-09 14:00:00,16.0
132,2015-01-09 14:15:00,19.0
133,2015-01-09 14:30:00,14.0
134,2015-01-09 14:45:00,1.0
29814,2015-01-09 15:00:00,15.0
29815,2015-01-09 15:15:00,6.0
29816,2015-01-09 15:30:00,7.0
29817,2015-01-09 15:45:00,9.0
29818,2015-01-09 16:00:00,12.0
29819,2015-01-09 16:15:00,7.0
