datetime,store,weekday,sales,products_sold,clients_that_bought,year,month,day
2020-05-01,290,Friday,46796,12223,678,2020,5,1
2020-05-02,290,Saturday,50306,13653,719,2020,5,2
2020-05-03,290,Sunday,23578,6636,457,2020,5,3
2020-05-04,290,Monday,32005,8465,507,2020,5,4
2020-05-05,290,Tuesday,29613,7806,490,2020,5,5
2020-05-06,290,Wednesday,24875,6598,387,2020,5,6
2020-05-07,290,Thursday,8642,2228,127,2020,5,7
2020-05-08,290,Friday,233,50,25,2020,5,8
2020-05-09,290,Saturday,50863,12986,663,2020,5,9
2020-05-10,290,Sunday,39208,9376,746,2020,5,10
2020-05-11,290,Monday,32432,8173,595,2020,5,11
2020-05-12,290,Tuesday,40017,10034,685,2020,5,12
2020-05-13,290,Wednesday,29135,7660,577,2020,5,13
2020-05-14,290,Thursday,43475,10681,802,2020,5,14
2020-05-15,290,Friday,48833,11347,808,2020,5,15
2020-05-16,290,Saturday,61787,15167,946,2020,5,16
2020-05-17,290,Sunday,39719,9588,777,2020,5,17
2020-05-18,290,Monday,32003,8354,662,2020,5,18
2020-05-19,290,Tuesday,42582,10478,822,2020,5,19
2020-05-20,290,Wednesday,43862,11139,790,2020,5,20
2020-05-21,290,Thursday,68866,15809,943,2020,5,21
2020-05-22,290,Friday,54508,12715,932,2020,5,22
2020-05-23,290,Saturday,49000,11922,866,2020,5,23
2020-05-24,290,Sunday,40720,9652,813,2020,5,24
2020-05-25,290,Monday,36114,8273,710,2020,5,25
2020-05-26,290,Tuesday,34317,8420,721,2020,5,26
2020-05-27,290,Wednesday,40139,9530,739,2020,5,27
2020-05-28,290,Thursday,56098,12911,948,2020,5,28
2020-05-29,290,Friday,57293,13375,950,2020,5,29
2020-05-30,290,Saturday,77712,18165,1066,2020,5,30
2020-05-31,290,Sunday,43122,10104,748,2020,5,31
2020-06-01,290,Monday,42832,9966,722,2020,6,1
2020-06-02,290,Tuesday,41245,9496,702,2020,6,2
2020-06-03,290,Wednesday,45886,11154,799,2020,6,3
2020-06-04,290,Thursday,58017,14263,880,2020,6,4
2020-06-05,290,Friday,63393,15677,933,2020,6,5
2020-06-06,290,Saturday,82606,21045,1097,2020,6,6
2020-06-07,290,Sunday,46166,11137,796,2020,6,7
2020-06-08,290,Monday,39983,9395,751,2020,6,8
2020-06-09,290,Tuesday,45530,11288,831,2020,6,9
2020-06-10,290,Wednesday,43709,10989,842,2020,6,10
2020-06-11,290,Thursday,58667,13250,949,2020,6,11
2020-06-12,290,Friday,53344,11603,913,2020,6,12
2020-06-13,290,Saturday,57598,13704,1013,2020,6,13
2020-06-14,290,Sunday,44930,10452,820,2020,6,14
2020-06-15,290,Monday,32043,7809,675,2020,6,15
2020-06-16,290,Tuesday,44156,11046,816,2020,6,16
2020-06-17,290,Wednesday,39113,9277,807,2020,6,17
2020-06-18,290,Thursday,64462,15236,970,2020,6,18
2020-06-19,290,Friday,44541,11060,831,2020,6,19
2020-06-20,290,Saturday,75350,20209,994,2020,6,20
2020-06-21,290,Sunday,45934,12028,798,2020,6,21
2020-06-22,290,Monday,35949,9097,704,2020,6,22
2020-06-23,290,Tuesday,34912,8401,692,2020,6,23
2020-06-24,290,Wednesday,37174,9191,740,2020,6,24
2020-06-25,290,Thursday,43829,11556,785,2020,6,25
2020-06-26,290,Friday,45998,10988,744,2020,6,26
2020-06-27,290,Saturday,55270,14065,810,2020,6,27
2020-06-28,290,Sunday,36142,8957,745,2020,6,28
2020-06-29,290,Monday,33879,8488,665,2020,6,29
2020-06-30,290,Tuesday,43520,10832,716,2020,6,30
2020-07-01,290,Wednesday,45388,11495,744,2020,7,1
2020-07-02,290,Thursday,62759,14151,851,2020,7,2
2020-07-03,290,Friday,58790,14338,804,2020,7,3
2020-07-04,290,Saturday,73606,19480,1064,2020,7,4
2020-07-05,290,Sunday,46183,11605,834,2020,7,5
2020-07-06,290,Monday,34959,8572,662,2020,7,6
2020-07-07,290,Tuesday,43781,10984,747,2020,7,7
2020-07-08,290,Wednesday,44597,10867,754,2020,7,8
2020-07-09,290,Thursday,56293,13741,828,2020,7,9
2020-07-10,290,Friday,48338,12178,789,2020,7,10
2020-07-11,290,Saturday,70013,17165,1089,2020,7,11
2020-07-12,290,Sunday,48890,11901,865,2020,7,12
2020-07-13,290,Monday,40956,9706,781,2020,7,13
2020-07-14,290,Tuesday,39335,9567,756,2020,7,14
2020-07-15,290,Wednesday,43047,10360,837,2020,7,15
2020-07-16,290,Thursday,56276,13920,906,2020,7,16
2020-07-17,290,Friday,46025,11522,901,2020,7,17
2020-07-18,290,Saturday,64319,16094,1087,2020,7,18
2020-07-19,290,Sunday,41313,9995,797,2020,7,19
2020-07-20,290,Monday,42968,10120,838,2020,7,20
2020-07-21,290,Tuesday,48497,11457,874,2020,7,21
2020-07-22,290,Wednesday,43772,10263,884,2020,7,22
2020-07-23,290,Thursday,57391,13088,954,2020,7,23
2020-07-24,290,Friday,54982,12867,997,2020,7,24
2020-07-25,290,Saturday,68052,17119,1160,2020,7,25
2020-07-26,290,Sunday,43880,10691,816,2020,7,26
2020-07-27,290,Monday,38771,9345,784,2020,7,27
2020-07-28,290,Tuesday,39736,10109,803,2020,7,28
2020-07-29,290,Wednesday,42550,10597,839,2020,7,29
2020-07-30,290,Thursday,55368,12534,847,2020,7,30
