datetime,store,weekday,sales,products_sold,clients_that_bought,year,month,day
2018-01-02,1027,Tuesday,9225,2591,419,2018,1,2
2018-01-03,1027,Wednesday,6867,1977,364,2018,1,3
2018-01-04,1027,Thursday,9211,2640,442,2018,1,4
2018-01-05,1027,Friday,10439,3087,464,2018,1,5
2018-01-06,1027,Saturday,11179,3115,386,2018,1,6
2018-01-07,1027,Sunday,1829,499,81,2018,1,7
2018-01-08,1027,Monday,9112,2578,434,2018,1,8
2018-01-09,1027,Tuesday,10532,2843,525,2018,1,9
2018-01-10,1027,Wednesday,9160,2640,478,2018,1,10
2018-01-11,1027,Thursday,11193,2985,526,2018,1,11
2018-01-12,1027,Friday,13051,3460,512,2018,1,12
2018-01-13,1027,Saturday,9997,2987,390,2018,1,13
2018-01-14,1027,Sunday,4647,1267,161,2018,1,14
2018-01-15,1027,Monday,9788,2699,511,2018,1,15
2018-01-16,1027,Tuesday,9461,2546,470,2018,1,16
2018-01-17,1027,Wednesday,8776,2474,502,2018,1,17
2018-01-18,1027,Thursday,7738,2239,438,2018,1,18
2018-01-19,1027,Friday,9983,2917,503,2018,1,19
2018-01-20,1027,Saturday,8310,2202,397,2018,1,20
2018-01-21,1027,Sunday,4214,1102,234,2018,1,21
2018-01-22,1027,Monday,8217,2520,490,2018,1,22
2018-01-23,1027,Tuesday,10002,2610,521,2018,1,23
2018-01-24,1027,Wednesday,9909,2904,506,2018,1,24
2018-01-25,1027,Thursday,5058,1560,173,2018,1,25
2018-01-26,1027,Friday,11483,3570,456,2018,1,26
2018-01-27,1027,Saturday,12549,4128,449,2018,1,27
2018-01-28,1027,Sunday,3290,955,143,2018,1,28
2018-01-29,1027,Monday,10074,2696,505,2018,1,29
2018-01-30,1027,Tuesday,9485,2766,522,2018,1,30
2018-01-31,1027,Wednesday,10551,2880,535,2018,1,31
2018-02-01,1027,Thursday,11881,3504,601,2018,2,1
2018-02-02,1027,Friday,10425,2991,503,2018,2,2
2018-02-03,1027,Saturday,9700,2523,442,2018,2,3
2018-02-04,1027,Sunday,3602,1012,128,2018,2,4
2018-02-05,1027,Monday,9953,2796,538,2018,2,5
2018-02-06,1027,Tuesday,9730,2835,551,2018,2,6
2018-02-07,1027,Wednesday,10375,2648,565,2018,2,7
2018-02-08,1027,Thursday,13531,3853,622,2018,2,8
2018-02-09,1027,Friday,11539,3353,527,2018,2,9
2018-02-10,1027,Saturday,10387,2919,408,2018,2,10
2018-02-11,1027,Sunday,4321,1188,150,2018,2,11
2018-02-12,1027,Monday,11712,3626,527,2018,2,12
2018-02-13,1027,Tuesday,3133,860,122,2018,2,13
2018-02-14,1027,Wednesday,10073,2709,485,2018,2,14
2018-02-15,1027,Thursday,11122,3017,562,2018,2,15
2018-02-16,1027,Friday,10872,2901,499,2018,2,16
2018-02-17,1027,Saturday,10068,2646,597,2018,2,17
2018-02-18,1027,Sunday,3955,1085,180,2018,2,18
2018-02-19,1027,Monday,9301,2742,526,2018,2,19
2018-02-20,1027,Tuesday,8732,2461,502,2018,2,20
2018-02-21,1027,Wednesday,9572,2592,560,2018,2,21
2018-02-22,1027,Thursday,9969,2791,553,2018,2,22
2018-02-23,1027,Friday,10408,2979,565,2018,2,23
2018-02-24,1027,Saturday,10226,2985,450,2018,2,24
2018-02-25,1027,Sunday,4369,1243,159,2018,2,25
2018-02-26,1027,Monday,8276,2338,465,2018,2,26
2018-02-27,1027,Tuesday,11484,3447,569,2018,2,27
2018-02-28,1027,Wednesday,10295,2890,552,2018,2,28
2018-03-01,1027,Thursday,10963,3022,591,2018,3,1
2018-03-02,1027,Friday,11346,3258,527,2018,3,2
2018-03-03,1027,Saturday,12435,3478,462,2018,3,3
2018-03-04,1027,Sunday,4982,1297,173,2018,3,4
2018-03-05,1027,Monday,10146,2669,537,2018,3,5
2018-03-06,1027,Tuesday,10268,2976,541,2018,3,6
2018-03-07,1027,Wednesday,10236,2862,535,2018,3,7
