datetime,store,weekday,sales,products_sold,clients_that_bought,year,month,day
2018-07-06,274,Friday,23250,6432,776,2018,7,6
2018-07-07,274,Saturday,21182,5375,669,2018,7,7
2018-07-08,274,Sunday,8768,2146,259,2018,7,8
2018-07-09,274,Monday,12186,3081,397,2018,7,9
2018-07-10,274,Tuesday,22971,5600,803,2018,7,10
2018-07-11,274,Wednesday,17650,4420,752,2018,7,11
2018-07-12,274,Thursday,20017,5170,786,2018,7,12
2018-07-13,274,Friday,25889,6445,855,2018,7,13
2018-07-14,274,Saturday,23684,5847,753,2018,7,14
2018-07-15,274,Sunday,10069,2471,265,2018,7,15
2018-07-16,274,Monday,22613,5354,800,2018,7,16
2018-07-17,274,Tuesday,22476,5579,822,2018,7,17
2018-07-18,274,Wednesday,20073,5095,815,2018,7,18
2018-07-19,274,Thursday,22103,5845,859,2018,7,19
2018-07-20,274,Friday,25305,6667,894,2018,7,20
2018-07-21,274,Saturday,19879,5023,700,2018,7,21
2018-07-22,274,Sunday,10498,2635,276,2018,7,22
2018-07-23,274,Monday,24018,5711,853,2018,7,23
2018-07-24,274,Tuesday,23132,5788,865,2018,7,24
2018-07-25,274,Wednesday,20838,5426,904,2018,7,25
2018-07-26,274,Thursday,24879,6409,898,2018,7,26
2018-07-27,274,Friday,24284,6030,861,2018,7,27
2018-07-28,274,Saturday,22516,5770,746,2018,7,28
2018-07-29,274,Sunday,8461,2186,247,2018,7,29
2018-07-30,274,Monday,21998,5431,799,2018,7,30
2018-07-31,274,Tuesday,23373,5793,860,2018,7,31
2018-10-01,274,Monday,23511,5546,792,2018,10,1
2018-10-02,274,Tuesday,24506,5855,834,2018,10,2
2018-10-03,274,Wednesday,22035,5461,900,2018,10,3
2018-10-04,274,Thursday,27626,6929,926,2018,10,4
2018-10-05,274,Friday,30708,7426,958,2018,10,5
2018-10-06,274,Saturday,25447,6137,823,2018,10,6
2018-10-07,274,Sunday,13824,3302,419,2018,10,7
2018-10-08,274,Monday,23542,5403,749,2018,10,8
2018-10-09,274,Tuesday,24183,5776,824,2018,10,9
2018-10-10,274,Wednesday,22039,5550,867,2018,10,10
2018-10-11,274,Thursday,27151,6722,924,2018,10,11
2018-10-12,274,Friday,19779,4793,588,2018,10,12
2018-10-13,274,Saturday,20787,5119,667,2018,10,13
2018-10-14,274,Sunday,15494,3566,442,2018,10,14
2018-10-15,274,Monday,23912,5683,792,2018,10,15
2018-10-16,274,Tuesday,23309,5699,848,2018,10,16
2018-10-17,274,Wednesday,19158,4942,871,2018,10,17
2018-10-18,274,Thursday,25492,6320,918,2018,10,18
2018-10-19,274,Friday,27358,6626,929,2018,10,19
2018-10-20,274,Saturday,24996,5831,804,2018,10,20
2018-10-21,274,Sunday,16076,3551,473,2018,10,21
2018-10-22,274,Monday,24041,5578,842,2018,10,22
2018-10-23,274,Tuesday,24353,5917,924,2018,10,23
2018-10-24,274,Wednesday,17346,4526,759,2018,10,24
2018-10-25,274,Thursday,26633,6613,880,2018,10,25
2018-10-26,274,Friday,26332,6807,940,2018,10,26
2018-10-27,274,Saturday,23339,5571,756,2018,10,27
2018-10-28,274,Sunday,15995,3860,464,2018,10,28
