ds,sales,n_clients,year,month,day,halfhour
2015-01-02 10:00:00,190.82,34,2015,01,02,20
2015-01-02 10:30:00,156.9,39,2015,01,02,21
2015-01-02 11:00:00,198.31,49,2015,01,02,22
2015-01-02 11:30:00,144.48000000000002,36,2015,01,02,23
2015-01-02 12:00:00,238.4,52,2015,01,02,24
2015-01-02 12:30:00,255.23999999999998,62,2015,01,02,25
2015-01-02 13:00:00,305.27,68,2015,01,02,26
2015-01-02 13:30:00,331.9,72,2015,01,02,27
2015-01-02 14:00:00,163.96,57,2015,01,02,28
2015-01-02 14:30:00,165.29,59,2015,01,02,29
2015-01-02 15:00:00,260.71,35,2015,01,02,30
2015-01-02 15:30:00,111.6,21,2015,01,02,31
2015-01-02 16:00:00,37.06,15,2015,01,02,32
2015-01-02 16:30:00,61.19,21,2015,01,02,33
2015-01-02 17:00:00,116.48,13,2015,01,02,34
2015-01-02 17:30:00,100.16,28,2015,01,02,35
2015-01-02 18:00:00,97.21,19,2015,01,02,36
2015-01-02 18:30:00,159.77,27,2015,01,02,37
2015-01-02 19:00:00,105.57,30,2015,01,02,38
2015-01-02 19:30:00,196.91,41,2015,01,02,39
2015-01-02 20:00:00,139.61,29,2015,01,02,40
2015-01-02 20:30:00,112.6,33,2015,01,02,41
2015-01-02 21:00:00,189.67000000000002,33,2015,01,02,42
2015-01-03 10:00:00,152.7,29,2015,01,03,20
2015-01-03 10:30:00,139.44,34,2015,01,03,21
2015-01-03 11:00:00,265.65,49,2015,01,03,22
2015-01-03 11:30:00,227.06,52,2015,01,03,23
2015-01-03 12:00:00,321.15999999999997,49,2015,01,03,24
2015-01-03 12:30:00,367.52,64,2015,01,03,25
2015-01-03 13:00:00,305.74,86,2015,01,03,26
2015-01-03 13:30:00,233.14999999999998,72,2015,01,03,27
2015-01-03 14:00:00,258.46,65,2015,01,03,28
2015-01-03 14:30:00,180.28,49,2015,01,03,29
2015-01-03 15:00:00,168.89,33,2015,01,03,30
2015-01-03 15:30:00,109.47,32,2015,01,03,31
2015-01-03 16:00:00,78.5,14,2015,01,03,32
2015-01-03 16:30:00,44.92,16,2015,01,03,33
2015-01-03 17:00:00,108.06,22,2015,01,03,34
2015-01-03 17:30:00,106.27,20,2015,01,03,35
2015-01-03 18:00:00,161.99,28,2015,01,03,36
2015-01-03 18:30:00,103.28,35,2015,01,03,37
2015-01-03 19:00:00,153.01,36,2015,01,03,38
2015-01-03 19:30:00,231.23000000000002,51,2015,01,03,39
2015-01-03 20:00:00,286.70000000000005,49,2015,01,03,40
2015-01-03 20:30:00,95.17,27,2015,01,03,41
2015-01-03 21:00:00,194.15,36,2015,01,03,42
2015-01-03 21:30:00,1.0,1,2015,01,03,43
2015-01-05 10:00:00,330.18,30,2015,01,05,20
2015-01-05 10:30:00,167.19,49,2015,01,05,21
2015-01-05 11:00:00,247.75,57,2015,01,05,22
2015-01-05 11:30:00,227.14,56,2015,01,05,23
2015-01-05 12:00:00,235.64999999999998,55,2015,01,05,24
2015-01-05 12:30:00,331.19,75,2015,01,05,25
2015-01-05 13:00:00,310.72,98,2015,01,05,26
2015-01-05 13:30:00,282.2,73,2015,01,05,27
2015-01-05 14:00:00,258.4,77,2015,01,05,28
2015-01-05 14:30:00,198.69,50,2015,01,05,29
2015-01-05 15:00:00,149.41,47,2015,01,05,30
2015-01-05 15:30:00,157.93,35,2015,01,05,31
2015-01-05 16:00:00,199.38,37,2015,01,05,32
2015-01-05 16:30:00,137.05,28,2015,01,05,33
2015-01-05 17:00:00,168.57,24,2015,01,05,34
2015-01-05 17:30:00,125.24000000000001,33,2015,01,05,35
2015-01-05 18:00:00,164.49,46,2015,01,05,36
2015-01-05 18:30:00,100.93,30,2015,01,05,37
2015-01-05 19:00:00,393.19,40,2015,01,05,38
2015-01-05 19:30:00,276.79,63,2015,01,05,39
2015-01-05 20:00:00,286.8,51,2015,01,05,40
2015-01-05 20:30:00,153.55,46,2015,01,05,41
2015-01-05 21:00:00,291.19,67,2015,01,05,42
2015-01-05 21:30:00,2.0,1,2015,01,05,43
2015-01-05 22:00:00,32.08,11,2015,01,05,44
2015-01-05 23:00:00,69.62,7,2015,01,05,46
2015-01-06 18:00:00,8.8,5,2015,01,06,36
2015-01-06 19:00:00,25.16,8,2015,01,06,38
2015-01-06 20:00:00,46.12,7,2015,01,06,40
2015-01-06 21:00:00,34.47,8,2015,01,06,42
2015-01-06 22:00:00,43.29,6,2015,01,06,44
2015-01-06 23:00:00,36.99,10,2015,01,06,46
2015-01-07 10:00:00,220.66000000000003,47,2015,01,07,20
2015-01-07 10:30:00,307.02,40,2015,01,07,21
2015-01-07 11:00:00,6492.14,43,2015,01,07,22
2015-01-07 11:30:00,190.2,50,2015,01,07,23
2015-01-07 12:00:00,1195.93,44,2015,01,07,24
2015-01-07 12:30:00,942.1099999999999,85,2015,01,07,25
2015-01-07 13:00:00,262.65,85,2015,01,07,26
2015-01-07 13:30:00,1633.21,91,2015,01,07,27
2015-01-07 14:00:00,196.01999999999998,60,2015,01,07,28
2015-01-07 14:30:00,1522.52,51,2015,01,07,29
2015-01-07 15:00:00,213.01,44,2015,01,07,30
2015-01-07 15:30:00,55.96,21,2015,01,07,31
2015-01-07 16:00:00,66.05,17,2015,01,07,32
2015-01-07 16:30:00,39.52,13,2015,01,07,33
2015-01-07 17:00:00,92.6,21,2015,01,07,34
2015-01-07 17:30:00,234.51999999999998,28,2015,01,07,35
2015-01-07 18:00:00,132.66000000000003,30,2015,01,07,36
2015-01-07 18:30:00,232.07,46,2015,01,07,37
2015-01-07 19:00:00,139.69,27,2015,01,07,38
2015-01-07 19:30:00,149.07999999999998,38,2015,01,07,39
2015-01-07 20:00:00,199.99,43,2015,01,07,40
2015-01-07 20:30:00,180.20999999999998,39,2015,01,07,41
2015-01-07 21:00:00,102.4,28,2015,01,07,42
2015-01-08 10:00:00,112.27,31,2015,01,08,20
2015-01-08 10:30:00,281.4,47,2015,01,08,21
2015-01-08 11:00:00,140.06,41,2015,01,08,22
2015-01-08 11:30:00,150.58999999999997,50,2015,01,08,23
2015-01-08 12:00:00,308.33,62,2015,01,08,24
2015-01-08 12:30:00,238.24,71,2015,01,08,25
2015-01-08 13:00:00,327.65999999999997,78,2015,01,08,26
2015-01-08 13:30:00,261.4,69,2015,01,08,27
2015-01-08 14:00:00,342.79,76,2015,01,08,28
2015-01-08 14:30:00,142.21,43,2015,01,08,29
2015-01-08 15:00:00,115.98,38,2015,01,08,30
2015-01-08 15:30:00,65.07,16,2015,01,08,31
2015-01-08 16:00:00,110.88,23,2015,01,08,32
2015-01-08 16:30:00,78.22,17,2015,01,08,33
2015-01-08 17:00:00,105.87,27,2015,01,08,34
2015-01-08 17:30:00,65.27,17,2015,01,08,35
2015-01-08 18:00:00,115.14,37,2015,01,08,36
2015-01-08 18:30:00,115.0,28,2015,01,08,37
2015-01-08 19:00:00,258.08,71,2015,01,08,38
2015-01-08 19:30:00,172.44,37,2015,01,08,39
2015-01-08 20:00:00,225.67000000000002,47,2015,01,08,40
2015-01-08 20:30:00,104.44,39,2015,01,08,41
2015-01-08 21:00:00,269.8,42,2015,01,08,42
2015-01-08 22:00:00,39.42,15,2015,01,08,44
2015-01-08 23:00:00,65.46,12,2015,01,08,46
2015-01-09 10:00:00,211.06,50,2015,01,09,20
2015-01-09 10:30:00,186.94,41,2015,01,09,21
2015-01-09 11:00:00,256.8,52,2015,01,09,22
2015-01-09 11:30:00,280.05,63,2015,01,09,23
2015-01-09 12:00:00,224.22,52,2015,01,09,24
2015-01-09 12:30:00,259.18,62,2015,01,09,25
2015-01-09 13:00:00,296.44,84,2015,01,09,26
2015-01-09 13:30:00,212.38,80,2015,01,09,27
2015-01-09 14:00:00,199.28,77,2015,01,09,28
2015-01-09 14:30:00,202.36,57,2015,01,09,29
2015-01-09 15:00:00,155.78,43,2015,01,09,30
2015-01-09 15:30:00,98.55,24,2015,01,09,31
2015-01-09 16:00:00,127.43,17,2015,01,09,32
2015-01-09 16:30:00,153.4,23,2015,01,09,33
2015-01-09 17:00:00,82.94,18,2015,01,09,34
2015-01-09 17:30:00,108.98,21,2015,01,09,35
2015-01-09 18:00:00,86.92,21,2015,01,09,36
2015-01-09 18:30:00,134.47,35,2015,01,09,37
2015-01-09 19:00:00,224.44,49,2015,01,09,38
2015-01-09 19:30:00,130.79,29,2015,01,09,39
2015-01-09 20:00:00,127.36999999999999,32,2015,01,09,40
2015-01-09 20:30:00,181.37,38,2015,01,09,41
2015-01-09 21:00:00,140.26,33,2015,01,09,42
2015-01-10 10:00:00,197.82999999999998,28,2015,01,10,20
2015-01-10 10:30:00,214.05,49,2015,01,10,21
2015-01-10 11:00:00,178.24,44,2015,01,10,22
2015-01-10 11:30:00,193.56,42,2015,01,10,23
2015-01-10 12:00:00,290.65,57,2015,01,10,24
2015-01-10 12:30:00,174.43,51,2015,01,10,25
2015-01-10 13:00:00,328.06,65,2015,01,10,26
2015-01-10 13:30:00,266.90999999999997,73,2015,01,10,27
2015-01-10 14:00:00,388.72,78,2015,01,10,28
