ds,sales,n_clients,year,month,day,halfhour
2017-04-10 14:30:00,1.24,1,2017,04,10,29
2017-04-10 16:30:00,52.0,12,2017,04,10,33
2017-04-10 17:00:00,42.0,6,2017,04,10,34
2017-04-10 17:30:00,57.0,10,2017,04,10,35
2017-04-10 18:00:00,144.0,16,2017,04,10,36
2017-04-10 18:30:00,64.06,11,2017,04,10,37
2017-04-10 19:00:00,96.0,21,2017,04,10,38
2017-04-10 19:30:00,74.0,10,2017,04,10,39
2017-04-10 20:00:00,36.0,8,2017,04,10,40
2017-04-11 08:30:00,1.0,1,2017,04,11,17
2017-04-11 09:00:00,54.0,7,2017,04,11,18
2017-04-11 09:30:00,160.0,11,2017,04,11,19
2017-04-11 10:00:00,58.0,12,2017,04,11,20
2017-04-11 10:30:00,117.31,12,2017,04,11,21
2017-04-11 11:00:00,58.0,5,2017,04,11,22
2017-04-11 11:30:00,97.0,13,2017,04,11,23
2017-04-11 12:00:00,82.0,15,2017,04,11,24
2017-04-11 12:30:00,158.0,18,2017,04,11,25
2017-04-11 13:00:00,69.00999999999999,12,2017,04,11,26
2017-04-11 13:30:00,57.0,10,2017,04,11,27
2017-04-11 14:00:00,5.0,2,2017,04,11,28
2017-04-11 16:00:00,7.0,3,2017,04,11,32
2017-04-11 16:30:00,17.0,4,2017,04,11,33
2017-04-11 17:00:00,17.0,6,2017,04,11,34
2017-04-11 17:30:00,6.0,2,2017,04,11,35
2017-04-11 18:00:00,78.32,10,2017,04,11,36
2017-04-11 18:30:00,61.03,10,2017,04,11,37
2017-04-11 19:00:00,67.13,15,2017,04,11,38
2017-04-11 19:30:00,98.0,12,2017,04,11,39
2017-04-11 20:00:00,19.0,5,2017,04,11,40
2017-04-12 09:00:00,13.0,2,2017,04,12,18
2017-04-12 09:30:00,51.9,6,2017,04,12,19
2017-04-12 10:00:00,46.09,9,2017,04,12,20
2017-04-12 10:30:00,111.88,18,2017,04,12,21
2017-04-12 11:00:00,83.56,11,2017,04,12,22
2017-04-12 11:30:00,51.39,11,2017,04,12,23
