ds,sales,n_clients,year,month,day,halfhour
2018-02-28 17:00:00,12.0,4,2018,02,28,34
2018-02-28 18:30:00,672.0,8,2018,02,28,37
2018-02-28 19:00:00,3813.0,16,2018,02,28,38
2018-02-28 19:30:00,4181.0,23,2018,02,28,39
2018-02-28 20:00:00,1519.0,6,2018,02,28,40
2018-03-01 09:00:00,8701.0,14,2018,03,01,18
2018-03-01 09:30:00,7203.0,15,2018,03,01,19
2018-03-01 10:00:00,16035.0,17,2018,03,01,20
2018-03-01 10:30:00,8011.0,19,2018,03,01,21
2018-03-01 11:00:00,4433.0,16,2018,03,01,22
2018-03-01 11:30:00,10221.0,22,2018,03,01,23
2018-03-01 12:00:00,4121.0,16,2018,03,01,24
2018-03-01 12:30:00,5442.0,20,2018,03,01,25
2018-03-01 13:00:00,13332.0,31,2018,03,01,26
2018-03-01 13:30:00,1359.0,6,2018,03,01,27
2018-03-01 16:30:00,26.0,6,2018,03,01,33
2018-03-01 17:00:00,2714.0,15,2018,03,01,34
2018-03-01 17:30:00,1669.0,8,2018,03,01,35
2018-03-01 18:00:00,2489.0,13,2018,03,01,36
2018-03-01 18:30:00,3384.0,14,2018,03,01,37
2018-03-01 19:00:00,6251.0,21,2018,03,01,38
2018-03-01 19:30:00,1583.0,13,2018,03,01,39
2018-03-01 20:00:00,1.0,1,2018,03,01,40
2018-03-02 09:00:00,2421.0,9,2018,03,02,18
2018-03-02 09:30:00,4026.0,10,2018,03,02,19
2018-03-02 10:00:00,5999.0,14,2018,03,02,20
2018-03-02 10:30:00,13257.0,15,2018,03,02,21
2018-03-02 11:00:00,16149.0,24,2018,03,02,22
2018-03-02 11:30:00,18155.0,22,2018,03,02,23
2018-03-02 12:00:00,12157.0,22,2018,03,02,24
2018-03-02 12:30:00,14336.0,23,2018,03,02,25
2018-03-02 13:00:00,25091.0,24,2018,03,02,26
2018-03-02 13:30:00,8370.0,11,2018,03,02,27
2018-03-02 16:30:00,582.0,9,2018,03,02,33
2018-03-02 17:00:00,3877.0,14,2018,03,02,34
2018-03-02 17:30:00,5201.0,9,2018,03,02,35
2018-03-02 18:00:00,5967.0,10,2018,03,02,36
2018-03-02 18:30:00,4512.0,14,2018,03,02,37
2018-03-02 19:00:00,9849.0,25,2018,03,02,38
2018-03-02 19:30:00,8616.0,16,2018,03,02,39
2018-03-02 20:00:00,156.0,3,2018,03,02,40
2018-03-03 09:00:00,6597.0,10,2018,03,03,18
2018-03-03 09:30:00,11561.0,10,2018,03,03,19
2018-03-03 10:00:00,16596.0,23,2018,03,03,20
2018-03-03 10:30:00,19403.0,24,2018,03,03,21
2018-03-03 11:00:00,13787.0,20,2018,03,03,22
2018-03-03 11:30:00,8332.0,20,2018,03,03,23
2018-03-03 12:00:00,7471.0,21,2018,03,03,24
2018-03-03 12:30:00,13283.0,18,2018,03,03,25
2018-03-03 13:00:00,7040.0,28,2018,03,03,26
2018-03-03 13:30:00,5310.0,18,2018,03,03,27
2018-03-03 14:00:00,9.0,4,2018,03,03,28
2018-03-05 09:00:00,437.0,11,2018,03,05,18
2018-03-05 09:30:00,795.0,4,2018,03,05,19
2018-03-05 10:00:00,7909.0,17,2018,03,05,20
2018-03-05 10:30:00,2661.0,16,2018,03,05,21
2018-03-05 11:00:00,2038.0,14,2018,03,05,22
2018-03-05 11:30:00,1826.0,12,2018,03,05,23
2018-03-05 12:00:00,2842.0,17,2018,03,05,24
2018-03-05 12:30:00,4370.0,26,2018,03,05,25
2018-03-05 13:00:00,1047.0,16,2018,03,05,26
2018-03-05 13:30:00,2.0,1,2018,03,05,27
2018-03-05 16:30:00,508.0,6,2018,03,05,33
2018-03-05 17:00:00,1129.0,6,2018,03,05,34
2018-03-05 17:30:00,2529.0,13,2018,03,05,35
2018-03-05 18:00:00,3002.0,16,2018,03,05,36
2018-03-05 18:30:00,1795.0,10,2018,03,05,37
2018-03-05 19:00:00,450.0,12,2018,03,05,38
2018-03-05 19:30:00,2620.0,20,2018,03,05,39
2018-03-07 08:30:00,2.0,1,2018,03,07,17
2018-03-07 09:00:00,2423.0,8,2018,03,07,18
2018-03-07 09:30:00,6225.0,14,2018,03,07,19
2018-03-07 10:00:00,4051.0,16,2018,03,07,20
2018-03-07 10:30:00,5505.0,16,2018,03,07,21
2018-03-07 11:00:00,9558.0,16,2018,03,07,22
2018-03-07 11:30:00,10540.0,23,2018,03,07,23
2018-03-07 12:00:00,8917.0,17,2018,03,07,24
2018-03-07 12:30:00,7225.0,16,2018,03,07,25
2018-03-07 13:00:00,8042.0,24,2018,03,07,26
2018-03-07 13:30:00,3660.0,3,2018,03,07,27
2018-03-07 16:30:00,55.0,9,2018,03,07,33
2018-03-07 17:00:00,2147.0,7,2018,03,07,34
2018-03-07 17:30:00,1344.0,12,2018,03,07,35
2018-03-07 18:00:00,1756.0,14,2018,03,07,36
2018-03-07 18:30:00,5047.0,18,2018,03,07,37
2018-03-07 19:00:00,891.0,16,2018,03,07,38
2018-03-07 19:30:00,2282.0,16,2018,03,07,39
2018-03-07 20:00:00,2.0,4,2018,03,07,40
2018-03-08 08:30:00,5.0,2,2018,03,08,17
2018-03-08 09:00:00,2498.0,14,2018,03,08,18
2018-03-08 09:30:00,7943.0,10,2018,03,08,19
2018-03-08 10:00:00,4077.0,11,2018,03,08,20
2018-03-08 10:30:00,6438.0,18,2018,03,08,21
2018-03-08 11:00:00,12088.0,18,2018,03,08,22
2018-03-08 11:30:00,3981.0,13,2018,03,08,23
2018-03-08 12:00:00,8024.0,23,2018,03,08,24
2018-03-08 12:30:00,10718.0,23,2018,03,08,25
2018-03-08 13:00:00,11987.0,20,2018,03,08,26
2018-03-08 13:30:00,5026.0,7,2018,03,08,27
2018-03-08 16:30:00,1542.0,9,2018,03,08,33
2018-03-08 17:00:00,2862.0,14,2018,03,08,34
2018-03-08 17:30:00,1846.0,4,2018,03,08,35
2018-03-08 18:00:00,1992.0,15,2018,03,08,36
2018-03-08 18:30:00,2744.0,14,2018,03,08,37
2018-03-08 19:00:00,2339.0,12,2018,03,08,38
2018-03-08 19:30:00,2053.0,14,2018,03,08,39
2018-03-09 08:30:00,8.0,3,2018,03,09,17
2018-03-09 09:00:00,8623.0,12,2018,03,09,18
2018-03-09 09:30:00,5182.0,16,2018,03,09,19
2018-03-09 10:00:00,5355.0,11,2018,03,09,20
2018-03-09 10:30:00,16704.0,23,2018,03,09,21
2018-03-09 11:00:00,14918.0,20,2018,03,09,22
2018-03-09 11:30:00,3785.0,15,2018,03,09,23
2018-03-09 12:00:00,11932.0,19,2018,03,09,24
2018-03-09 12:30:00,24148.0,24,2018,03,09,25
2018-03-09 13:00:00,6181.0,25,2018,03,09,26
2018-03-09 13:30:00,535.0,3,2018,03,09,27
2018-03-09 16:30:00,823.0,8,2018,03,09,33
2018-03-09 17:00:00,7543.0,14,2018,03,09,34
2018-03-09 17:30:00,16254.0,17,2018,03,09,35
2018-03-09 18:00:00,6439.0,16,2018,03,09,36
2018-03-09 18:30:00,5817.0,20,2018,03,09,37
2018-03-09 19:00:00,12991.0,16,2018,03,09,38
2018-03-09 19:30:00,6232.0,18,2018,03,09,39
2018-03-09 20:00:00,239.0,4,2018,03,09,40
2018-03-10 09:00:00,7341.0,7,2018,03,10,18
2018-03-10 09:30:00,10762.0,20,2018,03,10,19
2018-03-10 10:00:00,14337.0,20,2018,03,10,20
2018-03-10 10:30:00,10064.0,22,2018,03,10,21
2018-03-10 11:00:00,17270.0,30,2018,03,10,22
2018-03-10 11:30:00,4950.0,23,2018,03,10,23
2018-03-10 12:00:00,9110.0,25,2018,03,10,24
2018-03-10 12:30:00,11260.0,26,2018,03,10,25
2018-03-10 13:00:00,7135.0,24,2018,03,10,26
2018-03-10 13:30:00,896.0,17,2018,03,10,27
2018-03-10 14:00:00,6.0,1,2018,03,10,28
2018-03-12 08:30:00,1.0,1,2018,03,12,17
2018-03-12 09:00:00,18.0,6,2018,03,12,18
2018-03-12 09:30:00,2744.0,13,2018,03,12,19
2018-03-12 10:00:00,1587.0,7,2018,03,12,20
2018-03-12 10:30:00,2971.0,13,2018,03,12,21
2018-03-12 11:00:00,2149.0,19,2018,03,12,22
2018-03-12 11:30:00,1449.0,17,2018,03,12,23
2018-03-12 12:00:00,4859.0,23,2018,03,12,24
2018-03-12 12:30:00,3846.0,20,2018,03,12,25
2018-03-12 13:00:00,5328.0,21,2018,03,12,26
2018-03-12 13:30:00,205.0,2,2018,03,12,27
2018-03-12 17:00:00,93.0,12,2018,03,12,34
2018-03-12 17:30:00,913.0,11,2018,03,12,35
2018-03-12 18:00:00,1564.0,11,2018,03,12,36
2018-03-12 18:30:00,2939.0,13,2018,03,12,37
2018-03-12 19:00:00,4229.0,22,2018,03,12,38
2018-03-12 19:30:00,1591.0,17,2018,03,12,39
2018-03-12 20:00:00,4.0,1,2018,03,12,40
2018-03-13 09:00:00,3894.0,9,2018,03,13,18
2018-03-13 09:30:00,10411.0,14,2018,03,13,19
2018-03-13 10:00:00,7249.0,15,2018,03,13,20
2018-03-13 10:30:00,5136.0,10,2018,03,13,21
2018-03-13 11:00:00,15298.0,24,2018,03,13,22
2018-03-13 11:30:00,19313.0,26,2018,03,13,23
2018-03-13 12:00:00,21286.0,34,2018,03,13,24
2018-03-13 12:30:00,9676.0,20,2018,03,13,25
2018-03-13 13:00:00,20781.0,29,2018,03,13,26
2018-03-13 13:30:00,2831.0,6,2018,03,13,27
2018-03-13 17:00:00,2478.0,9,2018,03,13,34
2018-03-13 17:30:00,3921.0,14,2018,03,13,35
2018-03-13 18:00:00,2176.0,9,2018,03,13,36
2018-03-13 18:30:00,3335.0,13,2018,03,13,37
2018-03-13 19:00:00,10613.0,22,2018,03,13,38
2018-03-13 19:30:00,5758.0,15,2018,03,13,39
2018-03-13 20:00:00,593.0,2,2018,03,13,40
2018-03-14 09:00:00,1361.0,5,2018,03,14,18
2018-03-14 09:30:00,6395.0,6,2018,03,14,19
2018-03-14 10:00:00,7044.0,14,2018,03,14,20
2018-03-14 10:30:00,10713.0,19,2018,03,14,21
2018-03-14 11:00:00,15726.0,21,2018,03,14,22
2018-03-14 11:30:00,8343.0,12,2018,03,14,23
2018-03-14 12:00:00,12932.0,25,2018,03,14,24
2018-03-14 12:30:00,9604.0,15,2018,03,14,25
2018-03-14 13:00:00,9385.0,27,2018,03,14,26
2018-03-14 13:30:00,5.0,1,2018,03,14,27
2018-03-14 17:00:00,10715.0,17,2018,03,14,34
2018-03-14 17:30:00,3018.0,13,2018,03,14,35
2018-03-14 18:00:00,1450.0,8,2018,03,14,36
2018-03-14 18:30:00,1168.0,10,2018,03,14,37
2018-03-14 19:00:00,2308.0,7,2018,03,14,38
2018-03-14 19:30:00,3124.0,14,2018,03,14,39
2018-03-14 20:00:00,775.0,1,2018,03,14,40
2018-03-15 08:30:00,4.0,2,2018,03,15,17
2018-03-15 09:00:00,7819.0,11,2018,03,15,18
2018-03-15 09:30:00,16265.0,17,2018,03,15,19
2018-03-15 10:00:00,5699.0,15,2018,03,15,20
2018-03-15 10:30:00,11370.0,17,2018,03,15,21
2018-03-15 11:00:00,7756.0,16,2018,03,15,22
2018-03-15 11:30:00,3428.0,11,2018,03,15,23
2018-03-15 12:00:00,7850.0,19,2018,03,15,24
2018-03-15 12:30:00,8727.0,22,2018,03,15,25
2018-03-15 13:00:00,11152.0,29,2018,03,15,26
2018-03-15 13:30:00,2501.0,4,2018,03,15,27
2018-03-15 17:00:00,5437.0,17,2018,03,15,34
2018-03-15 17:30:00,8809.0,16,2018,03,15,35
2018-03-15 18:00:00,4117.0,12,2018,03,15,36
2018-03-15 18:30:00,4027.0,11,2018,03,15,37
2018-03-15 19:00:00,8647.0,24,2018,03,15,38
2018-03-15 19:30:00,3429.0,15,2018,03,15,39
2018-03-17 09:00:00,6968.0,7,2018,03,17,18
2018-03-17 09:30:00,20832.0,17,2018,03,17,19
2018-03-17 10:00:00,27270.0,25,2018,03,17,20
2018-03-17 10:30:00,25336.0,19,2018,03,17,21
2018-03-17 11:00:00,17368.0,21,2018,03,17,22
2018-03-17 11:30:00,18816.0,28,2018,03,17,23
2018-03-17 12:00:00,15816.0,19,2018,03,17,24
2018-03-17 12:30:00,20861.0,28,2018,03,17,25
2018-03-17 13:00:00,20846.0,27,2018,03,17,26
2018-03-17 13:30:00,6020.0,13,2018,03,17,27
2018-03-17 14:00:00,105.0,2,2018,03,17,28
2018-03-21 09:00:00,4347.0,11,2018,03,21,18
2018-03-21 09:30:00,6342.0,11,2018,03,21,19
2018-03-21 10:00:00,3262.0,9,2018,03,21,20
2018-03-21 10:30:00,8241.0,18,2018,03,21,21
2018-03-21 11:00:00,10696.0,18,2018,03,21,22
2018-03-21 11:30:00,13989.0,20,2018,03,21,23
2018-03-21 12:00:00,5006.0,9,2018,03,21,24
2018-03-21 12:30:00,14502.0,25,2018,03,21,25
2018-03-21 13:00:00,4339.0,15,2018,03,21,26
2018-03-21 13:30:00,3290.0,9,2018,03,21,27
2018-03-21 17:00:00,3859.0,13,2018,03,21,34
2018-03-21 17:30:00,4243.0,14,2018,03,21,35
2018-03-21 18:00:00,4338.0,16,2018,03,21,36
2018-03-21 18:30:00,5146.0,15,2018,03,21,37
2018-03-21 19:00:00,2947.0,13,2018,03,21,38
2018-03-21 19:30:00,4202.0,15,2018,03,21,39
2018-03-21 20:00:00,1.0,1,2018,03,21,40
2018-03-22 09:00:00,3959.0,6,2018,03,22,18
2018-03-22 09:30:00,17384.0,15,2018,03,22,19
2018-03-22 10:00:00,2562.0,8,2018,03,22,20
2018-03-22 10:30:00,11400.0,18,2018,03,22,21
2018-03-22 11:00:00,12297.0,17,2018,03,22,22
2018-03-22 11:30:00,14445.0,21,2018,03,22,23
2018-03-22 12:00:00,12458.0,24,2018,03,22,24
2018-03-22 12:30:00,13759.0,31,2018,03,22,25
2018-03-22 13:00:00,17029.0,21,2018,03,22,26
2018-03-22 13:30:00,2331.0,11,2018,03,22,27
2018-03-22 17:00:00,3538.0,9,2018,03,22,34
2018-03-22 17:30:00,1077.0,10,2018,03,22,35
2018-03-22 18:00:00,5701.0,19,2018,03,22,36
2018-03-22 18:30:00,5125.0,16,2018,03,22,37
2018-03-22 19:00:00,3801.0,20,2018,03,22,38
2018-03-22 19:30:00,3544.0,19,2018,03,22,39
2018-03-23 08:30:00,3.0,2,2018,03,23,17
2018-03-23 09:00:00,8685.0,15,2018,03,23,18
2018-03-23 09:30:00,12310.0,14,2018,03,23,19
2018-03-23 10:00:00,6871.0,16,2018,03,23,20
2018-03-23 10:30:00,6567.0,18,2018,03,23,21
2018-03-23 11:00:00,20914.0,23,2018,03,23,22
2018-03-23 11:30:00,24175.0,29,2018,03,23,23
2018-03-23 12:00:00,8228.0,14,2018,03,23,24
2018-03-23 12:30:00,18857.0,23,2018,03,23,25
2018-03-23 13:00:00,13709.0,26,2018,03,23,26
2018-03-23 13:30:00,14594.0,17,2018,03,23,27
2018-03-23 14:00:00,326.0,1,2018,03,23,28
2018-03-23 17:00:00,7432.0,21,2018,03,23,34
2018-03-23 17:30:00,11626.0,21,2018,03,23,35
2018-03-23 18:00:00,5597.0,16,2018,03,23,36
2018-03-23 18:30:00,10539.0,16,2018,03,23,37
2018-03-23 19:00:00,5504.0,12,2018,03,23,38
2018-03-23 19:30:00,3814.0,17,2018,03,23,39
2018-03-23 20:00:00,1096.0,3,2018,03,23,40
2018-03-24 09:00:00,11585.0,9,2018,03,24,18
2018-03-24 09:30:00,6316.0,11,2018,03,24,19
2018-03-24 10:00:00,8280.0,20,2018,03,24,20
2018-03-24 10:30:00,15117.0,20,2018,03,24,21
2018-03-24 11:00:00,17470.0,19,2018,03,24,22
2018-03-24 11:30:00,27315.0,24,2018,03,24,23
2018-03-24 12:00:00,26894.0,27,2018,03,24,24
2018-03-24 12:30:00,20332.0,28,2018,03,24,25
2018-03-24 13:00:00,17589.0,25,2018,03,24,26
2018-03-24 13:30:00,14579.0,18,2018,03,24,27
2018-03-24 14:00:00,461.0,4,2018,03,24,28
2018-03-26 09:00:00,3484.0,10,2018,03,26,18
2018-03-26 09:30:00,8137.0,16,2018,03,26,19
2018-03-26 10:00:00,3405.0,11,2018,03,26,20
2018-03-26 10:30:00,9099.0,18,2018,03,26,21
2018-03-26 11:00:00,6640.0,20,2018,03,26,22
2018-03-26 11:30:00,3016.0,13,2018,03,26,23
2018-03-26 12:00:00,13390.0,23,2018,03,26,24
2018-03-26 12:30:00,11449.0,23,2018,03,26,25
2018-03-26 13:00:00,5750.0,20,2018,03,26,26
2018-03-26 13:30:00,1727.0,4,2018,03,26,27
2018-03-26 17:00:00,2881.0,12,2018,03,26,34
2018-03-26 17:30:00,3686.0,16,2018,03,26,35
2018-03-26 18:00:00,8790.0,20,2018,03,26,36
2018-03-26 18:30:00,1816.0,17,2018,03,26,37
2018-03-26 19:00:00,5403.0,14,2018,03,26,38
2018-03-26 19:30:00,6776.0,12,2018,03,26,39
2018-03-26 20:00:00,916.0,1,2018,03,26,40
2018-03-26 20:30:00,4.0,1,2018,03,26,41
2018-03-27 08:30:00,3.0,1,2018,03,27,17
2018-03-27 09:00:00,3940.0,7,2018,03,27,18
2018-03-27 09:30:00,4215.0,9,2018,03,27,19
2018-03-27 10:00:00,9980.0,20,2018,03,27,20
2018-03-27 10:30:00,15140.0,20,2018,03,27,21
2018-03-27 11:00:00,12505.0,19,2018,03,27,22
2018-03-27 11:30:00,12221.0,25,2018,03,27,23
2018-03-27 12:00:00,19283.0,28,2018,03,27,24
2018-03-27 12:30:00,22872.0,24,2018,03,27,25
2018-03-27 13:00:00,19228.0,34,2018,03,27,26
2018-03-27 13:30:00,10682.0,19,2018,03,27,27
2018-03-27 17:00:00,1731.0,12,2018,03,27,34
2018-03-27 17:30:00,2815.0,14,2018,03,27,35
2018-03-27 18:00:00,9679.0,10,2018,03,27,36
2018-03-27 18:30:00,3533.0,14,2018,03,27,37
2018-03-27 19:00:00,4317.0,17,2018,03,27,38
2018-03-27 19:30:00,6112.0,21,2018,03,27,39
2018-03-27 20:00:00,961.0,3,2018,03,27,40
2018-03-28 08:30:00,2.0,1,2018,03,28,17
2018-03-28 09:00:00,3526.0,10,2018,03,28,18
2018-03-28 09:30:00,16644.0,11,2018,03,28,19
2018-03-28 10:00:00,9846.0,10,2018,03,28,20
2018-03-28 10:30:00,19626.0,22,2018,03,28,21
2018-03-28 11:00:00,16414.0,28,2018,03,28,22
2018-03-28 11:30:00,17973.0,20,2018,03,28,23
2018-03-28 12:00:00,28186.0,28,2018,03,28,24
2018-03-28 12:30:00,31741.0,24,2018,03,28,25
2018-03-28 13:00:00,23305.0,29,2018,03,28,26
2018-03-28 13:30:00,11259.0,18,2018,03,28,27
2018-03-28 14:00:00,3.0,1,2018,03,28,28
2018-03-28 17:00:00,5033.0,15,2018,03,28,34
2018-03-28 17:30:00,14444.0,20,2018,03,28,35
2018-03-28 18:00:00,6258.0,19,2018,03,28,36
2018-03-28 18:30:00,9128.0,16,2018,03,28,37
2018-03-28 19:00:00,8139.0,27,2018,03,28,38
2018-03-28 19:30:00,7888.0,18,2018,03,28,39
2018-03-28 20:00:00,4089.0,5,2018,03,28,40
2018-03-29 08:30:00,3.0,1,2018,03,29,17
2018-03-29 09:00:00,7962.0,12,2018,03,29,18
2018-03-29 09:30:00,15190.0,17,2018,03,29,19
2018-03-29 10:00:00,18208.0,21,2018,03,29,20
2018-03-29 10:30:00,16873.0,25,2018,03,29,21
