ds,sales,n_clients,year,month,day,halfhour
2018-10-13 09:00:00,40.0,8,2018,10,13,18
2018-10-13 09:30:00,34.0,15,2018,10,13,19
2018-10-13 10:00:00,103.0,19,2018,10,13,20
2018-10-13 10:30:00,94.0,23,2018,10,13,21
2018-10-13 11:00:00,165.0,33,2018,10,13,22
2018-10-13 11:30:00,499.0,41,2018,10,13,23
2018-10-13 12:00:00,267.0,44,2018,10,13,24
2018-10-13 12:30:00,191.0,45,2018,10,13,25
2018-10-13 13:00:00,363.0,43,2018,10,13,26
2018-10-13 13:30:00,258.0,45,2018,10,13,27
2018-10-13 14:00:00,81.0,21,2018,10,13,28
2018-10-13 14:30:00,51.0,7,2018,10,13,29
2018-10-13 15:00:00,70.0,9,2018,10,13,30
2018-10-13 15:30:00,76.0,10,2018,10,13,31
2018-10-13 16:00:00,35.0,2,2018,10,13,32
2018-10-13 16:30:00,33.0,3,2018,10,13,33
2018-10-13 17:00:00,63.0,9,2018,10,13,34
2018-10-13 17:30:00,99.68,10,2018,10,13,35
2018-10-13 18:00:00,20.0,8,2018,10,13,36
2018-10-13 18:30:00,26.0,8,2018,10,13,37
2018-10-13 19:00:00,47.0,12,2018,10,13,38
2018-10-13 19:30:00,87.0,16,2018,10,13,39
2018-10-13 20:00:00,89.0,21,2018,10,13,40
2018-10-13 20:30:00,23.0,6,2018,10,13,41
2018-10-13 21:00:00,78.0,12,2018,10,13,42
2018-10-14 09:30:00,27.0,8,2018,10,14,19
2018-10-14 10:00:00,68.6,14,2018,10,14,20
2018-10-14 10:30:00,87.31,19,2018,10,14,21
2018-10-14 11:00:00,129.45,24,2018,10,14,22
2018-10-14 11:30:00,76.02,21,2018,10,14,23
2018-10-14 12:00:00,203.46,26,2018,10,14,24
2018-10-14 12:30:00,118.03,34,2018,10,14,25
2018-10-14 13:00:00,80.00999999999999,20,2018,10,14,26
2018-10-14 13:30:00,92.38,20,2018,10,14,27
2018-10-14 14:00:00,44.23,9,2018,10,14,28
2018-10-14 14:30:00,25.0,1,2018,10,14,29
2018-10-15 09:00:00,47.11,12,2018,10,15,18
2018-10-15 09:30:00,59.74,14,2018,10,15,19
2018-10-15 10:00:00,126.5,18,2018,10,15,20
2018-10-15 10:30:00,71.64,21,2018,10,15,21
2018-10-15 11:00:00,91.97,20,2018,10,15,22
2018-10-15 11:30:00,106.37,23,2018,10,15,23
2018-10-15 12:00:00,255.97,40,2018,10,15,24
2018-10-15 12:30:00,181.46,33,2018,10,15,25
2018-10-15 13:00:00,229.44,40,2018,10,15,26
2018-10-15 13:30:00,198.20999999999998,39,2018,10,15,27
2018-10-15 14:00:00,121.06,23,2018,10,15,28
2018-10-15 14:30:00,41.89,8,2018,10,15,29
2018-10-15 15:00:00,17.0,5,2018,10,15,30
2018-10-15 15:30:00,88.71000000000001,9,2018,10,15,31
2018-10-15 16:00:00,27.14,1,2018,10,15,32
2018-10-15 16:30:00,15.9,4,2018,10,15,33
2018-10-15 17:00:00,81.34,12,2018,10,15,34
2018-10-15 17:30:00,66.81,13,2018,10,15,35
2018-10-15 18:00:00,179.55,18,2018,10,15,36
2018-10-15 18:30:00,134.18,24,2018,10,15,37
2018-10-15 19:00:00,124.39,14,2018,10,15,38
2018-10-15 19:30:00,233.78,33,2018,10,15,39
2018-10-15 20:00:00,150.16,26,2018,10,15,40
2018-10-15 20:30:00,111.55,25,2018,10,15,41
2018-10-15 21:00:00,6.6,3,2018,10,15,42
2018-10-16 09:00:00,40.85,8,2018,10,16,18
