ds,sales,n_clients,year,month,day,halfhour
2018-04-12 09:00:00,22.0,7,2018,04,12,18
2018-04-12 09:30:00,66.84,15,2018,04,12,19
2018-04-12 10:00:00,76.85,13,2018,04,12,20
2018-04-12 10:30:00,61.510000000000005,14,2018,04,12,21
2018-04-12 11:00:00,73.77000000000001,17,2018,04,12,22
2018-04-12 11:30:00,49.82,8,2018,04,12,23
2018-04-12 12:00:00,118.07,17,2018,04,12,24
2018-04-12 12:30:00,93.83,16,2018,04,12,25
2018-04-12 13:00:00,45.86,12,2018,04,12,26
2018-04-12 13:30:00,98.0,22,2018,04,12,27
2018-04-12 14:00:00,50.599999999999994,12,2018,04,12,28
2018-04-12 14:30:00,30.69,9,2018,04,12,29
2018-04-12 15:00:00,38.81,7,2018,04,12,30
2018-04-12 15:30:00,21.43,4,2018,04,12,31
2018-04-12 16:00:00,24.82,5,2018,04,12,32
2018-04-12 16:30:00,56.67,15,2018,04,12,33
2018-04-12 17:00:00,24.0,5,2018,04,12,34
2018-04-12 17:30:00,134.6,17,2018,04,12,35
2018-04-12 18:00:00,73.30000000000001,18,2018,04,12,36
2018-04-12 18:30:00,80.99000000000001,20,2018,04,12,37
2018-04-12 19:00:00,157.94,29,2018,04,12,38
2018-04-12 19:30:00,94.71,23,2018,04,12,39
2018-04-12 20:00:00,124.83,28,2018,04,12,40
2018-04-12 20:30:00,57.73,13,2018,04,12,41
2018-04-12 21:00:00,27.47,8,2018,04,12,42
2018-04-12 21:30:00,22.68,3,2018,04,12,43
2018-04-13 09:00:00,18.240000000000002,5,2018,04,13,18
2018-04-13 09:30:00,20.78,6,2018,04,13,19
2018-04-13 10:00:00,13.0,5,2018,04,13,20
2018-04-13 10:30:00,56.34,11,2018,04,13,21
2018-04-13 11:00:00,46.2,14,2018,04,13,22
2018-04-13 11:30:00,94.56,16,2018,04,13,23
2018-04-13 12:00:00,77.99000000000001,17,2018,04,13,24
2018-04-13 12:30:00,94.39,16,2018,04,13,25
2018-04-13 13:00:00,57.1,19,2018,04,13,26
2018-04-13 13:30:00,78.11,12,2018,04,13,27
2018-04-13 14:00:00,101.81,19,2018,04,13,28
2018-04-13 14:30:00,67.96000000000001,11,2018,04,13,29
2018-04-13 15:00:00,25.88,13,2018,04,13,30
2018-04-13 15:30:00,53.93,11,2018,04,13,31
2018-04-13 16:00:00,31.939999999999998,6,2018,04,13,32
2018-04-13 16:30:00,2.91,1,2018,04,13,33
2018-04-13 17:00:00,9.7,5,2018,04,13,34
2018-04-13 17:30:00,15.0,4,2018,04,13,35
2018-04-13 18:00:00,11.55,4,2018,04,13,36
2018-04-13 18:30:00,48.31,14,2018,04,13,37
2018-04-13 19:00:00,56.03,17,2018,04,13,38
2018-04-13 19:30:00,118.56,17,2018,04,13,39
2018-04-13 20:00:00,36.07,9,2018,04,13,40
2018-04-13 20:30:00,92.25999999999999,16,2018,04,13,41
2018-04-13 21:00:00,57.41,8,2018,04,13,42
2018-04-13 22:00:00,11.0,2,2018,04,13,44
2018-04-14 09:00:00,7.02,4,2018,04,14,18
2018-04-14 09:30:00,1.0,1,2018,04,14,19
2018-04-14 10:00:00,26.0,3,2018,04,14,20
2018-04-14 10:30:00,75.43,16,2018,04,14,21
2018-04-14 11:00:00,50.09,10,2018,04,14,22
2018-04-14 11:30:00,34.26,5,2018,04,14,23
2018-04-14 12:00:00,55.89,15,2018,04,14,24
2018-04-14 12:30:00,59.97,13,2018,04,14,25
2018-04-14 13:00:00,89.07,21,2018,04,14,26
2018-04-14 13:30:00,103.77,18,2018,04,14,27
2018-04-14 14:00:00,89.77000000000001,18,2018,04,14,28
2018-04-14 14:30:00,54.0,10,2018,04,14,29
2018-04-14 15:00:00,29.0,9,2018,04,14,30
2018-04-14 15:30:00,14.0,3,2018,04,14,31
2018-04-14 16:00:00,12.0,4,2018,04,14,32
2018-04-14 16:30:00,8.0,1,2018,04,14,33
2018-04-14 17:00:00,9.08,4,2018,04,14,34
2018-04-14 17:30:00,21.86,4,2018,04,14,35
2018-04-14 18:00:00,57.94,5,2018,04,14,36
2018-04-14 18:30:00,26.42,6,2018,04,14,37
2018-04-14 19:00:00,38.34,10,2018,04,14,38
2018-04-14 19:30:00,37.18,10,2018,04,14,39
2018-04-14 20:00:00,54.870000000000005,13,2018,04,14,40
2018-04-14 20:30:00,50.76,10,2018,04,14,41
2018-04-14 21:00:00,62.84,13,2018,04,14,42
2018-04-15 09:00:00,4.0,1,2018,04,15,18
2018-04-15 09:30:00,3.0,2,2018,04,15,19
2018-04-15 10:00:00,16.0,6,2018,04,15,20
2018-04-15 10:30:00,61.09,15,2018,04,15,21
2018-04-15 11:00:00,32.5,9,2018,04,15,22
2018-04-15 11:30:00,82.25,20,2018,04,15,23
2018-04-15 12:00:00,131.58,39,2018,04,15,24
2018-04-15 12:30:00,113.81,30,2018,04,15,25
2018-04-15 13:00:00,168.46,38,2018,04,15,26
2018-04-15 13:30:00,141.07,31,2018,04,15,27
2018-04-15 14:00:00,123.75,30,2018,04,15,28
2018-04-15 14:30:00,67.6,14,2018,04,15,29
2018-04-15 15:00:00,3.0,2,2018,04,15,30
2018-04-15 15:30:00,3.0,1,2018,04,15,31
2018-04-16 09:00:00,52.260000000000005,5,2018,04,16,18
2018-04-16 09:30:00,15.8,4,2018,04,16,19
2018-04-16 10:00:00,39.63,10,2018,04,16,20
2018-04-16 10:30:00,51.06,8,2018,04,16,21
2018-04-16 11:00:00,33.56,8,2018,04,16,22
2018-04-16 11:30:00,59.349999999999994,9,2018,04,16,23
2018-04-16 12:00:00,48.77,14,2018,04,16,24
2018-04-16 12:30:00,98.96000000000001,21,2018,04,16,25
2018-04-16 13:00:00,43.7,12,2018,04,16,26
2018-04-16 13:30:00,55.019999999999996,13,2018,04,16,27
2018-04-16 14:00:00,82.15,19,2018,04,16,28
2018-04-16 14:30:00,8.98,3,2018,04,16,29
2018-04-16 15:00:00,28.0,7,2018,04,16,30
2018-04-16 15:30:00,32.49,8,2018,04,16,31
2018-04-16 16:00:00,24.0,6,2018,04,16,32
2018-04-16 16:30:00,18.09,7,2018,04,16,33
2018-04-16 17:00:00,25.0,9,2018,04,16,34
2018-04-16 17:30:00,24.39,7,2018,04,16,35
2018-04-16 18:00:00,32.45,8,2018,04,16,36
2018-04-16 18:30:00,67.59,14,2018,04,16,37
2018-04-16 19:00:00,19.189999999999998,7,2018,04,16,38
2018-04-16 19:30:00,85.00999999999999,17,2018,04,16,39
2018-04-16 20:00:00,102.88,19,2018,04,16,40
2018-04-16 20:30:00,50.18,11,2018,04,16,41
2018-04-16 21:00:00,52.11,15,2018,04,16,42
2018-04-17 09:00:00,32.71,9,2018,04,17,18
2018-04-17 09:30:00,23.0,5,2018,04,17,19
2018-04-17 10:00:00,16.82,7,2018,04,17,20
2018-04-17 10:30:00,92.76,10,2018,04,17,21
2018-04-17 11:00:00,52.730000000000004,12,2018,04,17,22
2018-04-17 11:30:00,105.73,13,2018,04,17,23
2018-04-17 12:00:00,32.45,11,2018,04,17,24
2018-04-17 12:30:00,63.34,15,2018,04,17,25
2018-04-17 13:00:00,88.33,19,2018,04,17,26
2018-04-17 13:30:00,72.71000000000001,20,2018,04,17,27
2018-04-17 14:00:00,22.0,9,2018,04,17,28
2018-04-17 14:30:00,6.710000000000001,3,2018,04,17,29
2018-04-17 15:00:00,17.0,7,2018,04,17,30
2018-04-17 15:30:00,11.0,7,2018,04,17,31
2018-04-17 16:00:00,4.0600000000000005,2,2018,04,17,32
2018-04-17 16:30:00,5.0,3,2018,04,17,33
2018-04-17 17:00:00,27.32,4,2018,04,17,34
2018-04-17 17:30:00,82.24000000000001,14,2018,04,17,35
2018-04-17 18:00:00,66.97,16,2018,04,17,36
2018-04-17 18:30:00,35.96,9,2018,04,17,37
2018-04-17 19:00:00,62.739999999999995,14,2018,04,17,38
2018-04-17 19:30:00,63.17,18,2018,04,17,39
2018-04-17 20:00:00,72.17,21,2018,04,17,40
2018-04-17 20:30:00,47.629999999999995,9,2018,04,17,41
2018-04-17 21:00:00,38.0,10,2018,04,17,42
2018-04-18 09:00:00,14.0,4,2018,04,18,18
2018-04-18 09:30:00,36.18,6,2018,04,18,19
2018-04-18 10:00:00,38.12,5,2018,04,18,20
2018-04-18 10:30:00,16.84,6,2018,04,18,21
2018-04-18 11:00:00,33.79,9,2018,04,18,22
2018-04-18 11:30:00,41.78,12,2018,04,18,23
2018-04-18 12:00:00,107.58,17,2018,04,18,24
2018-04-18 12:30:00,54.89,11,2018,04,18,25
2018-04-18 13:00:00,56.83,15,2018,04,18,26
2018-04-18 13:30:00,66.97,19,2018,04,18,27
2018-04-18 14:00:00,36.22,11,2018,04,18,28
2018-04-18 14:30:00,8.0,3,2018,04,18,29
2018-04-18 15:00:00,45.68,6,2018,04,18,30
2018-04-18 15:30:00,34.56,7,2018,04,18,31
2018-04-18 16:00:00,6.48,3,2018,04,18,32
2018-04-18 16:30:00,15.0,5,2018,04,18,33
2018-04-18 17:00:00,11.0,5,2018,04,18,34
2018-04-18 17:30:00,4.0,2,2018,04,18,35
2018-04-18 18:00:00,76.6,12,2018,04,18,36
2018-04-18 18:30:00,53.93,16,2018,04,18,37
2018-04-18 19:00:00,37.150000000000006,14,2018,04,18,38
2018-04-18 19:30:00,35.480000000000004,14,2018,04,18,39
2018-04-18 20:00:00,55.75,15,2018,04,18,40
2018-04-18 20:30:00,72.53,18,2018,04,18,41
2018-04-18 21:00:00,33.17,14,2018,04,18,42
2018-04-18 21:30:00,3.0,1,2018,04,18,43
2018-04-19 09:00:00,14.0,6,2018,04,19,18
2018-04-19 09:30:00,10.0,3,2018,04,19,19
2018-04-19 10:00:00,15.0,6,2018,04,19,20
2018-04-19 10:30:00,35.769999999999996,5,2018,04,19,21
2018-04-19 11:00:00,63.28,14,2018,04,19,22
2018-04-19 11:30:00,48.36,10,2018,04,19,23
2018-04-19 12:00:00,57.33,12,2018,04,19,24
2018-04-19 12:30:00,76.52,15,2018,04,19,25
2018-04-19 13:00:00,103.08,20,2018,04,19,26
2018-04-19 13:30:00,23.0,9,2018,04,19,27
2018-04-19 14:00:00,29.27,10,2018,04,19,28
2018-04-19 14:30:00,54.14,12,2018,04,19,29
2018-04-19 15:00:00,34.0,8,2018,04,19,30
2018-04-19 15:30:00,23.0,4,2018,04,19,31
2018-04-19 16:00:00,28.23,8,2018,04,19,32
2018-04-19 16:30:00,11.99,5,2018,04,19,33
2018-04-19 17:00:00,14.0,3,2018,04,19,34
2018-04-19 17:30:00,23.509999999999998,7,2018,04,19,35
2018-04-19 18:00:00,32.42,7,2018,04,19,36
2018-04-19 18:30:00,62.14,15,2018,04,19,37
2018-04-19 19:00:00,44.21,14,2018,04,19,38
2018-04-19 19:30:00,46.99,9,2018,04,19,39
2018-04-19 20:00:00,104.25,13,2018,04,19,40
2018-04-19 20:30:00,35.71,13,2018,04,19,41
2018-04-19 21:00:00,23.44,10,2018,04,19,42
2018-04-20 09:00:00,27.0,6,2018,04,20,18
2018-04-20 09:30:00,14.0,4,2018,04,20,19
2018-04-20 10:00:00,29.96,12,2018,04,20,20
2018-04-20 10:30:00,46.19,9,2018,04,20,21
2018-04-20 11:00:00,30.27,10,2018,04,20,22
2018-04-20 11:30:00,21.39,7,2018,04,20,23
2018-04-20 12:00:00,29.78,10,2018,04,20,24
2018-04-20 12:30:00,52.72,12,2018,04,20,25
2018-04-20 13:00:00,62.05,17,2018,04,20,26
2018-04-20 13:30:00,38.510000000000005,14,2018,04,20,27
2018-04-20 14:00:00,51.66,14,2018,04,20,28
2018-04-20 14:30:00,10.0,6,2018,04,20,29
2018-04-20 15:00:00,20.0,7,2018,04,20,30
2018-04-20 15:30:00,16.759999999999998,6,2018,04,20,31
2018-04-20 16:00:00,4.0,3,2018,04,20,32
2018-04-20 16:30:00,10.65,3,2018,04,20,33
2018-04-20 17:00:00,14.0,5,2018,04,20,34
2018-04-20 17:30:00,30.0,11,2018,04,20,35
2018-04-20 18:00:00,13.0,4,2018,04,20,36
2018-04-20 18:30:00,22.36,8,2018,04,20,37
2018-04-20 19:00:00,17.0,6,2018,04,20,38
2018-04-20 19:30:00,53.9,12,2018,04,20,39
2018-04-20 20:00:00,63.03,15,2018,04,20,40
2018-04-20 20:30:00,47.0,15,2018,04,20,41
2018-04-20 21:00:00,32.230000000000004,10,2018,04,20,42
2018-04-20 21:30:00,55.67,3,2018,04,20,43
2018-04-21 09:00:00,15.0,2,2018,04,21,18
2018-04-21 09:30:00,7.0,4,2018,04,21,19
2018-04-21 10:30:00,49.1,11,2018,04,21,21
2018-04-21 11:00:00,26.0,6,2018,04,21,22
2018-04-21 11:30:00,59.3,5,2018,04,21,23
2018-04-21 12:00:00,52.19,12,2018,04,21,24
2018-04-21 12:30:00,101.79,12,2018,04,21,25
