datetime,store,weekday,sales,products_sold,clients_that_bought,halfhour,year,month,day
2019-08-03 17:00:00,1027,Saturday,446.14001,134,16,34,2019,8,3
2019-08-03 17:30:00,1027,Saturday,478.41,113,16,35,2019,8,3
2019-08-03 18:00:00,1027,Saturday,263.81,63,12,36,2019,8,3
2019-08-03 18:30:00,1027,Saturday,296.54999,83,11,37,2019,8,3
2019-08-03 19:00:00,1027,Saturday,393.38,80,14,38,2019,8,3
2019-08-03 19:30:00,1027,Saturday,344.91,93,16,39,2019,8,3
2019-08-03 20:00:00,1027,Saturday,182.36,72,12,40,2019,8,3
2019-08-03 20:30:00,1027,Saturday,60.77,21,4,41,2019,8,3
2019-08-03 21:00:00,1027,Saturday,7.27,3,1,42,2019,8,3
2019-08-04 08:00:00,1027,Sunday,74.75,28,4,16,2019,8,4
2019-08-04 08:30:00,1027,Sunday,117.02,38,5,17,2019,8,4
2019-08-04 09:00:00,1027,Sunday,187.87,69,14,18,2019,8,4
2019-08-04 09:30:00,1027,Sunday,280.91,80,15,19,2019,8,4
2019-08-04 10:00:00,1027,Sunday,244.56,88,16,20,2019,8,4
2019-08-04 10:30:00,1027,Sunday,234.50999,79,20,21,2019,8,4
2019-08-04 11:00:00,1027,Sunday,267.53,107,17,22,2019,8,4
2019-08-04 11:30:00,1027,Sunday,339.17999,110,20,23,2019,8,4
2019-08-04 12:00:00,1027,Sunday,248.11,101,16,24,2019,8,4
2019-08-04 12:30:00,1027,Sunday,733.47998,183,24,25,2019,8,4
2019-08-04 13:00:00,1027,Sunday,511.19,152,24,26,2019,8,4
2019-08-04 13:30:00,1027,Sunday,212.62,69,11,27,2019,8,4
2019-08-04 14:00:00,1027,Sunday,348.35999,82,14,28,2019,8,4
2019-08-04 14:30:00,1027,Sunday,528.97998,143,16,29,2019,8,4
2019-08-04 15:00:00,1027,Sunday,352.14999,84,13,30,2019,8,4
2019-08-04 15:30:00,1027,Sunday,269.82001,64,13,31,2019,8,4
2019-08-04 16:00:00,1027,Sunday,378.64999,115,12,32,2019,8,4
2019-08-04 16:30:00,1027,Sunday,204.03,58,16,33,2019,8,4
2019-08-04 17:00:00,1027,Sunday,177.64,69,16,34,2019,8,4
2019-08-04 17:30:00,1027,Sunday,204.89,51,14,35,2019,8,4
2019-08-04 18:00:00,1027,Sunday,195.31,57,14,36,2019,8,4
2019-08-04 18:30:00,1027,Sunday,345.45001,101,18,37,2019,8,4
2019-08-04 19:00:00,1027,Sunday,86.110001,20,8,38,2019,8,4
2019-08-04 19:30:00,1027,Sunday,149.67999,48,8,39,2019,8,4
2019-08-04 20:30:00,1027,Sunday,6.96,4,1,41,2019,8,4
2019-08-05 08:00:00,1027,Monday,50.259998,13,6,16,2019,8,5
2019-08-05 08:30:00,1027,Monday,176.64,54,20,17,2019,8,5
2019-08-05 09:00:00,1027,Monday,251.78999,76,17,18,2019,8,5
2019-08-05 09:30:00,1027,Monday,486.82001,125,25,19,2019,8,5
2019-08-05 10:00:00,1027,Monday,147.28,31,8,20,2019,8,5
2019-08-05 10:30:00,1027,Monday,430.04001,109,22,21,2019,8,5
2019-08-05 11:00:00,1027,Monday,137.92,47,13,22,2019,8,5
2019-08-05 11:30:00,1027,Monday,287.66,59,17,23,2019,8,5
2019-08-05 12:00:00,1027,Monday,224.63,72,15,24,2019,8,5
2019-08-05 12:30:00,1027,Monday,234.2,82,18,25,2019,8,5
2019-08-05 13:00:00,1027,Monday,609.27002,171,32,26,2019,8,5
2019-08-05 13:30:00,1027,Monday,398.73001,126,27,27,2019,8,5
2019-08-05 14:00:00,1027,Monday,385.92001,137,26,28,2019,8,5
2019-08-05 14:30:00,1027,Monday,205.85001,59,16,29,2019,8,5
2019-08-05 15:00:00,1027,Monday,307.26999,76,16,30,2019,8,5
2019-08-05 15:30:00,1027,Monday,278.35999,93,22,31,2019,8,5
2019-08-05 16:00:00,1027,Monday,469.54001,129,28,32,2019,8,5
2019-08-05 16:30:00,1027,Monday,318.32001,91,24,33,2019,8,5
2019-08-05 17:00:00,1027,Monday,649.5499900000002,214,37,34,2019,8,5
2019-08-05 17:30:00,1027,Monday,307.01001,95,20,35,2019,8,5
2019-08-05 18:00:00,1027,Monday,422.17001,139,33,36,2019,8,5
2019-08-05 18:30:00,1027,Monday,557.22998,171,43,37,2019,8,5
2019-08-05 19:00:00,1027,Monday,512.78003,153,23,38,2019,8,5
2019-08-05 19:30:00,1027,Monday,557.8200099999998,128,27,39,2019,8,5
2019-08-05 20:00:00,1027,Monday,231.96001,61,15,40,2019,8,5
2019-08-05 20:30:00,1027,Monday,155.0,57,9,41,2019,8,5
2019-08-06 08:00:00,1027,Tuesday,138.53999,49,14,16,2019,8,6
2019-08-06 08:30:00,1027,Tuesday,229.61,81,27,17,2019,8,6
2019-08-06 09:00:00,1027,Tuesday,217.19,73,22,18,2019,8,6
2019-08-06 09:30:00,1027,Tuesday,296.16,95,16,19,2019,8,6
2019-08-06 10:00:00,1027,Tuesday,151.34,42,13,20,2019,8,6
2019-08-06 10:30:00,1027,Tuesday,218.75999,73,17,21,2019,8,6
2019-08-06 11:00:00,1027,Tuesday,387.12,102,22,22,2019,8,6
