datetime,store,weekday,sales,products_sold,clients_that_bought,halfhour,year,month,day
2020-03-07 10:30:00,274,saturday,1889,427,46,21,2020,3,7
2020-03-07 11:00:00,274,saturday,2681,645,40,22,2020,3,7
2020-03-07 11:30:00,274,saturday,2556,519,47,23,2020,3,7
2020-03-07 12:00:00,274,saturday,2116,431,40,24,2020,3,7
2020-03-07 12:30:00,274,saturday,1469,290,32,25,2020,3,7
2020-03-07 13:00:00,274,saturday,3519,753,53,26,2020,3,7
2020-03-07 13:30:00,274,saturday,1603,413,33,27,2020,3,7
2020-03-07 14:00:00,274,saturday,1849,463,35,28,2020,3,7
2020-03-07 14:30:00,274,saturday,1732,305,39,29,2020,3,7
2020-03-07 15:00:00,274,saturday,2520,486,41,30,2020,3,7
2020-03-07 15:30:00,274,saturday,1165,224,25,31,2020,3,7
2020-03-07 16:00:00,274,saturday,2204,436,43,32,2020,3,7
2020-03-07 16:30:00,274,saturday,2213,427,43,33,2020,3,7
2020-03-07 17:00:00,274,saturday,3008,679,52,34,2020,3,7
2020-03-07 17:30:00,274,saturday,3206,723,44,35,2020,3,7
2020-03-07 18:00:00,274,saturday,2622,533,36,36,2020,3,7
2020-03-07 18:30:00,274,saturday,1853,381,44,37,2020,3,7
2020-03-07 19:00:00,274,saturday,2221,425,38,38,2020,3,7
2020-03-07 19:30:00,274,saturday,2769,628,30,39,2020,3,7
2020-03-07 20:00:00,274,saturday,3152,857,26,40,2020,3,7
2020-03-07 20:30:00,274,saturday,895,171,15,41,2020,3,7
2020-03-08 08:30:00,274,sunday,771,134,18,17,2020,3,8
2020-03-08 09:00:00,274,sunday,1248,264,22,18,2020,3,8
2020-03-08 09:30:00,274,sunday,1154,208,15,19,2020,3,8
2020-03-08 10:00:00,274,sunday,2429,533,28,20,2020,3,8
2020-03-08 10:30:00,274,sunday,1582,326,31,21,2020,3,8
2020-03-08 11:00:00,274,sunday,1504,307,29,22,2020,3,8
2020-03-08 11:30:00,274,sunday,1952,395,29,23,2020,3,8
2020-03-08 12:00:00,274,sunday,2471,503,39,24,2020,3,8
2020-03-08 12:30:00,274,sunday,3587,768,43,25,2020,3,8
2020-03-08 13:00:00,274,sunday,1112,265,37,26,2020,3,8
2020-03-08 13:30:00,274,sunday,1998,400,31,27,2020,3,8
2020-03-08 14:00:00,274,sunday,1941,489,41,28,2020,3,8
2020-03-08 14:30:00,274,sunday,1107,222,23,29,2020,3,8
2020-03-08 15:00:00,274,sunday,713,177,15,30,2020,3,8
2020-03-08 15:30:00,274,sunday,551,130,15,31,2020,3,8
2020-03-08 16:00:00,274,sunday,797,185,24,32,2020,3,8
2020-03-08 16:30:00,274,sunday,1040,245,18,33,2020,3,8
2020-03-08 17:00:00,274,sunday,844,263,15,34,2020,3,8
2020-03-08 17:30:00,274,sunday,1272,367,22,35,2020,3,8
2020-03-08 18:00:00,274,sunday,2253,454,22,36,2020,3,8
2020-03-08 18:30:00,274,sunday,1260,360,28,37,2020,3,8
2020-03-08 19:00:00,274,sunday,1328,260,16,38,2020,3,8
2020-03-08 19:30:00,274,sunday,873,254,18,39,2020,3,8
2020-03-08 20:00:00,274,sunday,646,153,18,40,2020,3,8
2020-03-08 20:30:00,274,sunday,800,190,19,41,2020,3,8
2020-03-09 08:30:00,274,monday,1288,223,25,17,2020,3,9
2020-03-09 09:00:00,274,monday,1095,226,36,18,2020,3,9
2020-03-09 09:30:00,274,monday,1075,283,35,19,2020,3,9
2020-03-09 10:00:00,274,monday,1148,268,36,20,2020,3,9
2020-03-09 10:30:00,274,monday,1082,229,23,21,2020,3,9
2020-03-09 11:00:00,274,monday,2300,428,35,22,2020,3,9
2020-03-09 11:30:00,274,monday,1762,395,33,23,2020,3,9
2020-03-09 12:00:00,274,monday,1076,255,51,24,2020,3,9
2020-03-09 12:30:00,274,monday,1711,369,38,25,2020,3,9
2020-03-09 13:00:00,274,monday,1598,316,29,26,2020,3,9
2020-03-09 13:30:00,274,monday,980,195,24,27,2020,3,9
2020-03-09 14:00:00,274,monday,795,166,23,28,2020,3,9
2020-03-09 14:30:00,274,monday,1615,311,29,29,2020,3,9
2020-03-09 15:00:00,274,monday,1050,230,35,30,2020,3,9
2020-03-09 15:30:00,274,monday,1944,399,37,31,2020,3,9
2020-03-09 16:00:00,274,monday,3531,682,41,32,2020,3,9
2020-03-09 16:30:00,274,monday,1606,354,47,33,2020,3,9
2020-03-09 17:00:00,274,monday,3179,628,37,34,2020,3,9
2020-03-09 17:30:00,274,monday,2242,449,41,35,2020,3,9
2020-03-09 18:00:00,274,monday,1235,264,32,36,2020,3,9
2020-03-09 18:30:00,274,monday,2308,530,51,37,2020,3,9
2020-03-09 19:00:00,274,monday,1021,210,34,38,2020,3,9
2020-03-09 19:30:00,274,monday,2494,528,36,39,2020,3,9
2020-03-09 20:00:00,274,monday,1330,270,27,40,2020,3,9
2020-03-09 20:30:00,274,monday,1371,262,26,41,2020,3,9
2020-03-10 08:30:00,274,tuesday,1031,226,28,17,2020,3,10
2020-03-10 09:00:00,274,tuesday,733,154,24,18,2020,3,10
2020-03-10 09:30:00,274,tuesday,2008,457,48,19,2020,3,10
2020-03-10 10:00:00,274,tuesday,1326,256,31,20,2020,3,10
2020-03-10 10:30:00,274,tuesday,1311,278,20,21,2020,3,10
2020-03-10 11:00:00,274,tuesday,1985,424,41,22,2020,3,10
2020-03-10 11:30:00,274,tuesday,1806,450,26,23,2020,3,10
2020-03-10 12:00:00,274,tuesday,2460,546,45,24,2020,3,10
2020-03-10 12:30:00,274,tuesday,1069,281,52,25,2020,3,10
2020-03-10 13:00:00,274,tuesday,1836,478,39,26,2020,3,10
2020-03-10 13:30:00,274,tuesday,1484,311,35,27,2020,3,10
2020-03-10 14:00:00,274,tuesday,1591,310,31,28,2020,3,10
2020-03-10 14:30:00,274,tuesday,1709,382,30,29,2020,3,10
2020-03-10 15:00:00,274,tuesday,1192,251,41,30,2020,3,10
2020-03-10 15:30:00,274,tuesday,1680,354,37,31,2020,3,10
2020-03-10 16:00:00,274,tuesday,2446,488,51,32,2020,3,10
2020-03-10 16:30:00,274,tuesday,2140,498,44,33,2020,3,10
2020-03-10 17:00:00,274,tuesday,1881,393,41,34,2020,3,10
2020-03-10 17:30:00,274,tuesday,2204,419,36,35,2020,3,10
2020-03-10 18:00:00,274,tuesday,2788,589,44,36,2020,3,10
2020-03-10 18:30:00,274,tuesday,2115,440,36,37,2020,3,10
2020-03-10 19:00:00,274,tuesday,1581,346,42,38,2020,3,10
2020-03-10 19:30:00,274,tuesday,844,177,19,39,2020,3,10
2020-03-10 20:00:00,274,tuesday,1527,353,34,40,2020,3,10
2020-03-10 20:30:00,274,tuesday,1704,368,22,41,2020,3,10
2020-03-11 08:30:00,274,wednesday,475,94,27,17,2020,3,11
2020-03-11 09:00:00,274,wednesday,778,173,35,18,2020,3,11
2020-03-11 09:30:00,274,wednesday,994,217,28,19,2020,3,11
2020-03-11 10:00:00,274,wednesday,827,187,30,20,2020,3,11
2020-03-11 10:30:00,274,wednesday,1278,225,33,21,2020,3,11
2020-03-11 11:00:00,274,wednesday,959,239,41,22,2020,3,11
2020-03-11 11:30:00,274,wednesday,963,186,44,23,2020,3,11
2020-03-11 12:00:00,274,wednesday,872,182,37,24,2020,3,11
2020-03-11 12:30:00,274,wednesday,751,186,45,25,2020,3,11
2020-03-11 13:00:00,274,wednesday,1002,232,50,26,2020,3,11
2020-03-11 13:30:00,274,wednesday,553,162,34,27,2020,3,11
2020-03-11 14:00:00,274,wednesday,463,122,27,28,2020,3,11
2020-03-11 14:30:00,274,wednesday,612,177,27,29,2020,3,11
2020-03-11 15:00:00,274,wednesday,621,145,31,30,2020,3,11
2020-03-11 15:30:00,274,wednesday,320,76,23,31,2020,3,11
2020-03-11 16:00:00,274,wednesday,1258,272,41,32,2020,3,11
2020-03-11 16:30:00,274,wednesday,2039,390,36,33,2020,3,11
2020-03-11 17:00:00,274,wednesday,1186,253,39,34,2020,3,11
2020-03-11 17:30:00,274,wednesday,1905,283,28,35,2020,3,11
2020-03-11 18:00:00,274,wednesday,2611,532,44,36,2020,3,11
2020-03-11 18:30:00,274,wednesday,1389,300,30,37,2020,3,11
2020-03-11 19:00:00,274,wednesday,1228,268,33,38,2020,3,11
2020-03-11 19:30:00,274,wednesday,1771,353,35,39,2020,3,11
2020-03-11 20:00:00,274,wednesday,1840,322,35,40,2020,3,11
