datetime,store,weekday,sales,products_sold,clients_that_bought,year,month,day,halfhour
2019-08-01 08:00:00,387,Thursday,400.94,103,14,2019,8,1,16
2019-08-01 08:30:00,387,Thursday,664.52002,282,18,2019,8,1,17
2019-08-01 09:00:00,387,Thursday,1213.52,318,24,2019,8,1,18
2019-08-01 09:30:00,387,Thursday,3352.29,637,25,2019,8,1,19
2019-08-01 10:00:00,387,Thursday,2818.8999,901,33,2019,8,1,20
2019-08-01 10:30:00,387,Thursday,1458.9301,454,29,2019,8,1,21
2019-08-01 11:00:00,387,Thursday,517.0,177,14,2019,8,1,22
2019-08-01 11:30:00,387,Thursday,1571.14,473,22,2019,8,1,23
2019-08-01 12:00:00,387,Thursday,1001.2,307,18,2019,8,1,24
2019-08-01 12:30:00,387,Thursday,2000.8199,593,24,2019,8,1,25
2019-08-01 13:00:00,387,Thursday,655.5700099999998,219,15,2019,8,1,26
2019-08-01 13:30:00,387,Thursday,2188.1299,813,25,2019,8,1,27
2019-08-01 14:00:00,387,Thursday,1675.91,513,27,2019,8,1,28
2019-08-01 14:30:00,387,Thursday,1933.5699,610,67,2019,8,1,29
2019-08-01 15:00:00,387,Thursday,1372.35,440,32,2019,8,1,30
2019-08-01 15:30:00,387,Thursday,1498.34,477,57,2019,8,1,31
2019-08-01 16:00:00,387,Thursday,1119.14,273,29,2019,8,1,32
2019-08-01 16:30:00,387,Thursday,2010.05,631,24,2019,8,1,33
2019-08-01 17:00:00,387,Thursday,1389.6801,404,25,2019,8,1,34
2019-08-01 17:30:00,387,Thursday,1400.49,472,23,2019,8,1,35
2019-08-01 18:00:00,387,Thursday,1904.84,808,38,2019,8,1,36
2019-08-01 18:30:00,387,Thursday,1499.03,374,26,2019,8,1,37
2019-08-01 19:00:00,387,Thursday,971.5399800000001,357,29,2019,8,1,38
2019-08-01 19:30:00,387,Thursday,1146.67,329,22,2019,8,1,39
2019-08-01 20:00:00,387,Thursday,323.42001,99,3,2019,8,1,40
2019-08-02 08:00:00,387,Friday,125.73,31,8,2019,8,2,16
2019-08-02 08:30:00,387,Friday,333.26999,138,11,2019,8,2,17
2019-08-02 09:00:00,387,Friday,290.92001,74,14,2019,8,2,18
2019-08-02 09:30:00,387,Friday,1167.75,521,22,2019,8,2,19
2019-08-02 10:00:00,387,Friday,1671.96,685,34,2019,8,2,20
2019-08-02 10:30:00,387,Friday,1237.1801,347,23,2019,8,2,21
2019-08-02 11:00:00,387,Friday,1620.2,446,20,2019,8,2,22
2019-08-02 11:30:00,387,Friday,862.81,243,20,2019,8,2,23
2019-08-02 12:00:00,387,Friday,626.6799900000002,149,20,2019,8,2,24
2019-08-02 12:30:00,387,Friday,959.06,317,18,2019,8,2,25
