datetime,store,weekday,sales,products_sold,clients_that_bought,year,month,day,halfhour
2020-05-03 16:30:00,290,Sunday,573.78003,151,19,2020,5,3,33
2020-05-03 17:00:00,290,Sunday,310.01999,99,14,2020,5,3,34
2020-05-03 17:30:00,290,Sunday,723.06,199,15,2020,5,3,35
2020-05-03 18:00:00,290,Sunday,6.6599998,3,1,2020,5,3,36
2020-05-04 08:30:00,290,Monday,742.78998,169,12,2020,5,4,17
2020-05-04 09:00:00,290,Monday,392.20999,80,8,2020,5,4,18
2020-05-04 09:30:00,290,Monday,1896.66,537,17,2020,5,4,19
2020-05-04 10:00:00,290,Monday,469.57000999999997,137,10,2020,5,4,20
2020-05-04 10:30:00,290,Monday,1743.76,418,19,2020,5,4,21
2020-05-04 11:00:00,290,Monday,1005.94,300,17,2020,5,4,22
2020-05-04 11:30:00,290,Monday,1714.8101,484,20,2020,5,4,23
2020-05-04 12:00:00,290,Monday,1451.38,317,20,2020,5,4,24
2020-05-04 12:30:00,290,Monday,1569.5699,453,34,2020,5,4,25
2020-05-04 13:00:00,290,Monday,2143.3999,544,25,2020,5,4,26
2020-05-04 13:30:00,290,Monday,801.15997,226,18,2020,5,4,27
2020-05-04 14:00:00,290,Monday,1388.73,454,32,2020,5,4,28
2020-05-04 14:30:00,290,Monday,1708.87,454,22,2020,5,4,29
2020-05-04 15:00:00,290,Monday,1364.59,354,20,2020,5,4,30
2020-05-04 15:30:00,290,Monday,1249.78,323,20,2020,5,4,31
2020-05-04 16:00:00,290,Monday,1459.26,403,19,2020,5,4,32
2020-05-04 16:30:00,290,Monday,1094.01,296,23,2020,5,4,33
2020-05-04 17:00:00,290,Monday,2097.5601,512,25,2020,5,4,34
2020-05-04 17:30:00,290,Monday,1786.0601,422,31,2020,5,4,35
2020-05-04 18:00:00,290,Monday,1061.84,354,37,2020,5,4,36
2020-05-04 18:30:00,290,Monday,697.39001,230,21,2020,5,4,37
2020-05-04 19:00:00,290,Monday,1389.6801,339,19,2020,5,4,38
2020-05-04 19:30:00,290,Monday,1345.3,308,17,2020,5,4,39
2020-05-04 20:00:00,290,Monday,282.5,57,8,2020,5,4,40
2020-05-04 20:30:00,290,Monday,857.6699800000001,199,11,2020,5,4,41
2020-05-04 21:00:00,290,Monday,290.57001,95,2,2020,5,4,42
2020-05-05 07:30:00,290,Tuesday,1.67,1,1,2020,5,5,15
2020-05-05 08:00:00,290,Tuesday,195.45,48,7,2020,5,5,16
2020-05-05 08:30:00,290,Tuesday,641.97998,173,13,2020,5,5,17
2020-05-05 09:00:00,290,Tuesday,627.81,158,9,2020,5,5,18
2020-05-05 09:30:00,290,Tuesday,577.9500099999998,138,16,2020,5,5,19
2020-05-05 10:00:00,290,Tuesday,1017.9,268,21,2020,5,5,20
2020-05-05 10:30:00,290,Tuesday,906.7100199999999,236,16,2020,5,5,21
2020-05-05 11:00:00,290,Tuesday,747.78003,203,10,2020,5,5,22
2020-05-05 11:30:00,290,Tuesday,1633.02,398,16,2020,5,5,23
2020-05-05 12:00:00,290,Tuesday,2723.51,658,34,2020,5,5,24
2020-05-05 12:30:00,290,Tuesday,1533.72,387,28,2020,5,5,25
