datetime,store,weekday,sales,products_sold,clients_that_bought,year,month,day,halfhour
2019-05-30 07:00:00,274,Thursday,0.05999999900000001,2,2,2019,5,30,14
2019-05-30 07:30:00,274,Thursday,0.1,2,2,2019,5,30,15
2019-05-30 08:30:00,274,Thursday,3.8900001,2,1,2019,5,30,17
2019-05-30 09:00:00,274,Thursday,0.029999999,2,2,2019,5,30,18
2019-05-30 10:00:00,274,Thursday,1183.27,238,39,2019,5,30,20
2019-05-30 10:30:00,274,Thursday,1425.23,328,34,2019,5,30,21
2019-05-30 11:00:00,274,Thursday,1761.5,482,40,2019,5,30,22
2019-05-30 11:30:00,274,Thursday,1180.1,263,31,2019,5,30,23
2019-05-30 12:00:00,274,Thursday,1519.45,354,34,2019,5,30,24
2019-05-30 12:30:00,274,Thursday,1946.28,463,41,2019,5,30,25
2019-05-30 13:00:00,274,Thursday,1422.13,382,49,2019,5,30,26
2019-05-30 13:30:00,274,Thursday,1639.59,375,44,2019,5,30,27
2019-05-30 14:00:00,274,Thursday,1326.8199,285,38,2019,5,30,28
2019-05-30 14:30:00,274,Thursday,1526.98,333,43,2019,5,30,29
2019-05-30 15:00:00,274,Thursday,1869.95,449,49,2019,5,30,30
2019-05-30 15:30:00,274,Thursday,1080.42,266,35,2019,5,30,31
2019-05-30 16:00:00,274,Thursday,1216.15,310,40,2019,5,30,32
2019-05-30 16:30:00,274,Thursday,2236.99,506,60,2019,5,30,33
2019-05-30 17:00:00,274,Thursday,1158.5699,303,44,2019,5,30,34
2019-05-30 17:30:00,274,Thursday,1419.55,350,41,2019,5,30,35
2019-05-30 18:00:00,274,Thursday,1197.28,310,32,2019,5,30,36
2019-05-30 18:30:00,274,Thursday,1347.04,365,36,2019,5,30,37
2019-05-30 19:00:00,274,Thursday,1000.8,272,32,2019,5,30,38
2019-05-30 19:30:00,274,Thursday,1379.4399,388,44,2019,5,30,39
2019-05-30 20:00:00,274,Thursday,1115.9399,282,34,2019,5,30,40
