,ds,y,store
0,2018-10-17 16:30:00,53,70
1,2018-10-17 17:00:00,27,70
2,2018-10-17 17:30:00,0,70
3,2018-10-17 18:00:00,0,70
4,2018-10-17 18:30:00,0,70
5,2018-10-17 19:00:00,0,70
6,2018-10-17 19:30:00,0,70
7,2018-10-17 20:00:00,0,70
8,2018-10-17 20:30:00,1309,70
9,2018-10-17 21:00:00,0,70
10,2018-10-17 21:30:00,0,70
11,2018-10-17 22:00:00,0,70
12,2018-10-17 22:30:00,0,70
13,2018-10-17 23:00:00,0,70
14,2018-10-17 23:30:00,0,70
15,2018-10-18 00:00:00,0,70
16,2018-10-18 00:30:00,0,70
17,2018-10-18 01:00:00,0,70
18,2018-10-18 01:30:00,0,70
19,2018-10-18 02:00:00,0,70
20,2018-10-18 02:30:00,0,70
21,2018-10-18 03:00:00,0,70
22,2018-10-18 03:30:00,0,70
23,2018-10-18 04:00:00,0,70
24,2018-10-18 04:30:00,0,70
25,2018-10-18 05:00:00,0,70
26,2018-10-18 05:30:00,0,70
27,2018-10-18 06:00:00,0,70
28,2018-10-18 06:30:00,0,70
29,2018-10-18 07:00:00,0,70
30,2018-10-18 07:30:00,0,70
31,2018-10-18 08:00:00,0,70
32,2018-10-18 08:30:00,0,70
33,2018-10-18 09:00:00,0,70
34,2018-10-18 09:30:00,0,70
35,2018-10-18 10:00:00,0,70
36,2018-10-18 10:30:00,0,70
37,2018-10-18 11:00:00,0,70
38,2018-10-18 11:30:00,0,70
39,2018-10-18 12:00:00,0,70
40,2018-10-18 12:30:00,0,70
41,2018-10-18 13:00:00,0,70
42,2018-10-18 13:30:00,0,70
43,2018-10-18 14:00:00,0,70
44,2018-10-18 14:30:00,0,70
45,2018-10-18 15:00:00,0,70
46,2018-10-18 15:30:00,0,70
47,2018-10-18 16:00:00,0,70
48,2018-10-18 16:30:00,0,70
49,2018-10-18 17:00:00,52,70
50,2018-10-18 17:30:00,0,70
51,2018-10-18 18:00:00,0,70
52,2018-10-18 18:30:00,0,70
53,2018-10-18 19:00:00,0,70
54,2018-10-18 19:30:00,0,70
55,2018-10-18 20:00:00,0,70
56,2018-10-18 20:30:00,0,70
57,2018-10-18 21:00:00,0,70
58,2018-10-18 21:30:00,0,70
59,2018-10-18 22:00:00,0,70
60,2018-10-18 22:30:00,0,70
61,2018-10-18 23:00:00,0,70
62,2018-10-18 23:30:00,0,70
63,2018-10-19 00:00:00,0,70
64,2018-10-19 00:30:00,0,70
65,2018-10-19 01:00:00,0,70
66,2018-10-19 01:30:00,0,70
67,2018-10-19 02:00:00,0,70
68,2018-10-19 02:30:00,0,70
69,2018-10-19 03:00:00,0,70
70,2018-10-19 03:30:00,0,70
71,2018-10-19 04:00:00,0,70
72,2018-10-19 04:30:00,0,70
73,2018-10-19 05:00:00,0,70
74,2018-10-19 05:30:00,0,70
75,2018-10-19 06:00:00,0,70
76,2018-10-19 06:30:00,0,70
77,2018-10-19 07:00:00,0,70
78,2018-10-19 07:30:00,0,70
79,2018-10-19 08:00:00,0,70
80,2018-10-19 08:30:00,0,70
81,2018-10-19 09:00:00,0,70
82,2018-10-19 09:30:00,0,70
83,2018-10-19 10:00:00,0,70
84,2018-10-19 10:30:00,0,70
85,2018-10-19 11:00:00,0,70
86,2018-10-19 11:30:00,0,70
87,2018-10-19 12:00:00,0,70
88,2018-10-19 12:30:00,0,70
89,2018-10-19 13:00:00,0,70
90,2018-10-19 13:30:00,0,70
91,2018-10-19 14:00:00,0,70
92,2018-10-19 14:30:00,0,70
93,2018-10-19 15:00:00,0,70
94,2018-10-19 15:30:00,0,70
95,2018-10-19 16:00:00,0,70
96,2018-10-19 16:30:00,0,70
97,2018-10-19 17:00:00,0,70
98,2018-10-19 17:30:00,0,70
99,2018-10-19 18:00:00,0,70
100,2018-10-19 18:30:00,0,70
101,2018-10-19 19:00:00,0,70
102,2018-10-19 19:30:00,0,70
103,2018-10-19 20:00:00,0,70
104,2018-10-19 20:30:00,0,70
105,2018-10-19 21:00:00,0,70
106,2018-10-19 21:30:00,0,70
107,2018-10-19 22:00:00,0,70
108,2018-10-19 22:30:00,0,70
109,2018-10-19 23:00:00,0,70
110,2018-10-19 23:30:00,0,70
111,2018-10-20 00:00:00,0,70
112,2018-10-20 00:30:00,0,70
113,2018-10-20 01:00:00,0,70
114,2018-10-20 01:30:00,0,70
115,2018-10-20 02:00:00,0,70
116,2018-10-20 02:30:00,0,70
117,2018-10-20 03:00:00,0,70
118,2018-10-20 03:30:00,0,70
119,2018-10-20 04:00:00,0,70
120,2018-10-20 04:30:00,0,70
121,2018-10-20 05:00:00,0,70
122,2018-10-20 05:30:00,0,70
123,2018-10-20 06:00:00,0,70
124,2018-10-20 06:30:00,0,70
125,2018-10-20 07:00:00,0,70
126,2018-10-20 07:30:00,0,70
127,2018-10-20 08:00:00,0,70
128,2018-10-20 08:30:00,0,70
129,2018-10-20 09:00:00,0,70
130,2018-10-20 09:30:00,0,70
131,2018-10-20 10:00:00,0,70
132,2018-10-20 10:30:00,0,70
133,2018-10-20 11:00:00,0,70
134,2018-10-20 11:30:00,0,70
135,2018-10-20 12:00:00,0,70
136,2018-10-20 12:30:00,0,70
137,2018-10-20 13:00:00,0,70
138,2018-10-20 13:30:00,0,70
139,2018-10-20 14:00:00,0,70
140,2018-10-20 14:30:00,0,70
141,2018-10-20 15:00:00,0,70
142,2018-10-20 15:30:00,0,70
143,2018-10-20 16:00:00,0,70
144,2018-10-20 16:30:00,0,70
145,2018-10-20 17:00:00,0,70
146,2018-10-20 17:30:00,0,70
147,2018-10-20 18:00:00,0,70
148,2018-10-20 18:30:00,0,70
149,2018-10-20 19:00:00,0,70
150,2018-10-20 19:30:00,0,70
151,2018-10-20 20:00:00,0,70
152,2018-10-20 20:30:00,0,70
153,2018-10-20 21:00:00,0,70
154,2018-10-20 21:30:00,0,70
155,2018-10-20 22:00:00,0,70
156,2018-10-20 22:30:00,0,70
157,2018-10-20 23:00:00,0,70
158,2018-10-20 23:30:00,0,70
159,2018-10-21 00:00:00,0,70
160,2018-10-21 00:30:00,0,70
161,2018-10-21 01:00:00,0,70
162,2018-10-21 01:30:00,0,70
163,2018-10-21 02:00:00,0,70
164,2018-10-21 02:30:00,0,70
165,2018-10-21 03:00:00,0,70
166,2018-10-21 03:30:00,0,70
167,2018-10-21 04:00:00,0,70
168,2018-10-21 04:30:00,0,70
169,2018-10-21 05:00:00,0,70
170,2018-10-21 05:30:00,0,70
171,2018-10-21 06:00:00,0,70
172,2018-10-21 06:30:00,0,70
173,2018-10-21 07:00:00,0,70
174,2018-10-21 07:30:00,0,70
175,2018-10-21 08:00:00,0,70
176,2018-10-21 08:30:00,0,70
177,2018-10-21 09:00:00,0,70
178,2018-10-21 09:30:00,0,70
179,2018-10-21 10:00:00,0,70
180,2018-10-21 10:30:00,0,70
181,2018-10-21 11:00:00,0,70
182,2018-10-21 11:30:00,0,70
183,2018-10-21 12:00:00,0,70
184,2018-10-21 12:30:00,0,70
185,2018-10-21 13:00:00,0,70
186,2018-10-21 13:30:00,0,70
187,2018-10-21 14:00:00,0,70
188,2018-10-21 14:30:00,0,70
189,2018-10-21 15:00:00,0,70
190,2018-10-21 15:30:00,0,70
191,2018-10-21 16:00:00,0,70
192,2018-10-21 16:30:00,0,70
193,2018-10-21 17:00:00,0,70
194,2018-10-21 17:30:00,0,70
195,2018-10-21 18:00:00,0,70
196,2018-10-21 18:30:00,0,70
197,2018-10-21 19:00:00,0,70
198,2018-10-21 19:30:00,0,70
199,2018-10-21 20:00:00,0,70
200,2018-10-21 20:30:00,0,70
201,2018-10-21 21:00:00,0,70
202,2018-10-21 21:30:00,0,70
203,2018-10-21 22:00:00,0,70
204,2018-10-21 22:30:00,0,70
205,2018-10-21 23:00:00,0,70
206,2018-10-21 23:30:00,0,70
207,2018-10-22 00:00:00,0,70
208,2018-10-22 00:30:00,0,70
209,2018-10-22 01:00:00,0,70
210,2018-10-22 01:30:00,0,70
211,2018-10-22 02:00:00,0,70
212,2018-10-22 02:30:00,0,70
213,2018-10-22 03:00:00,0,70
214,2018-10-22 03:30:00,0,70
215,2018-10-22 04:00:00,0,70
216,2018-10-22 04:30:00,0,70
217,2018-10-22 05:00:00,0,70
218,2018-10-22 05:30:00,0,70
219,2018-10-22 06:00:00,0,70
220,2018-10-22 06:30:00,0,70
221,2018-10-22 07:00:00,0,70
222,2018-10-22 07:30:00,0,70
223,2018-10-22 08:00:00,0,70
224,2018-10-22 08:30:00,0,70
225,2018-10-22 09:00:00,0,70
226,2018-10-22 09:30:00,0,70
227,2018-10-22 10:00:00,0,70
228,2018-10-22 10:30:00,0,70
229,2018-10-22 11:00:00,0,70
230,2018-10-22 11:30:00,0,70
231,2018-10-22 12:00:00,0,70
232,2018-10-22 12:30:00,0,70
233,2018-10-22 13:00:00,0,70
234,2018-10-22 13:30:00,0,70
235,2018-10-22 14:00:00,0,70
236,2018-10-22 14:30:00,0,70
237,2018-10-22 15:00:00,0,70
238,2018-10-22 15:30:00,0,70
239,2018-10-22 16:00:00,0,70
240,2018-10-22 16:30:00,0,70
241,2018-10-22 17:00:00,0,70
242,2018-10-22 17:30:00,0,70
243,2018-10-22 18:00:00,0,70
244,2018-10-22 18:30:00,0,70
245,2018-10-22 19:00:00,0,70
246,2018-10-22 19:30:00,0,70
247,2018-10-22 20:00:00,0,70
248,2018-10-22 20:30:00,0,70
249,2018-10-22 21:00:00,0,70
250,2018-10-22 21:30:00,0,70
251,2018-10-22 22:00:00,0,70
252,2018-10-22 22:30:00,0,70
253,2018-10-22 23:00:00,0,70
254,2018-10-22 23:30:00,0,70
255,2018-10-23 00:00:00,0,70
256,2018-10-23 00:30:00,0,70
257,2018-10-23 01:00:00,0,70
258,2018-10-23 01:30:00,0,70
259,2018-10-23 02:00:00,0,70
260,2018-10-23 02:30:00,0,70
261,2018-10-23 03:00:00,0,70
262,2018-10-23 03:30:00,0,70
263,2018-10-23 04:00:00,0,70
264,2018-10-23 04:30:00,0,70
265,2018-10-23 05:00:00,0,70
266,2018-10-23 05:30:00,0,70
267,2018-10-23 06:00:00,0,70
268,2018-10-23 06:30:00,0,70
269,2018-10-23 07:00:00,0,70
270,2018-10-23 07:30:00,0,70
271,2018-10-23 08:00:00,0,70
272,2018-10-23 08:30:00,0,70
273,2018-10-23 09:00:00,0,70
274,2018-10-23 09:30:00,0,70
275,2018-10-23 10:00:00,0,70
276,2018-10-23 10:30:00,0,70
277,2018-10-23 11:00:00,0,70
278,2018-10-23 11:30:00,0,70
279,2018-10-23 12:00:00,0,70
280,2018-10-23 12:30:00,0,70
281,2018-10-23 13:00:00,0,70
282,2018-10-23 13:30:00,0,70
283,2018-10-23 14:00:00,0,70
284,2018-10-23 14:30:00,0,70
285,2018-10-23 15:00:00,0,70
286,2018-10-23 15:30:00,0,70
287,2018-10-23 16:00:00,0,70
288,2018-10-23 16:30:00,0,70
289,2018-10-23 17:00:00,0,70
290,2018-10-23 17:30:00,0,70
291,2018-10-23 18:00:00,0,70
292,2018-10-23 18:30:00,0,70
