,ds,y,store
159,2018-04-15 16:30:00,0,4956
160,2018-04-15 17:00:00,0,4956
161,2018-04-15 17:30:00,0,4956
162,2018-04-15 18:00:00,0,4956
163,2018-04-15 18:30:00,0,4956
164,2018-04-15 19:00:00,0,4956
165,2018-04-15 19:30:00,0,4956
166,2018-04-15 20:00:00,0,4956
167,2018-04-15 20:30:00,0,4956
168,2018-04-15 21:00:00,0,4956
169,2018-04-15 21:30:00,0,4956
170,2018-04-15 22:00:00,0,4956
171,2018-04-15 22:30:00,0,4956
172,2018-04-15 23:00:00,0,4956
173,2018-04-15 23:30:00,0,4956
174,2018-04-16 00:00:00,0,4956
175,2018-04-16 00:30:00,0,4956
176,2018-04-16 01:00:00,0,4956
177,2018-04-16 01:30:00,0,4956
178,2018-04-16 02:00:00,0,4956
179,2018-04-16 02:30:00,0,4956
180,2018-04-16 03:00:00,0,4956
181,2018-04-16 03:30:00,0,4956
182,2018-04-16 04:00:00,0,4956
183,2018-04-16 04:30:00,0,4956
184,2018-04-16 05:00:00,0,4956
185,2018-04-16 05:30:00,0,4956
186,2018-04-16 06:00:00,0,4956
187,2018-04-16 06:30:00,0,4956
188,2018-04-16 07:00:00,0,4956
189,2018-04-16 07:30:00,0,4956
190,2018-04-16 08:00:00,0,4956
191,2018-04-16 08:30:00,0,4956
192,2018-04-16 09:00:00,19,4956
193,2018-04-16 09:30:00,39,4956
194,2018-04-16 10:00:00,35,4956
195,2018-04-16 10:30:00,47,4956
196,2018-04-16 11:00:00,45,4956
197,2018-04-16 11:30:00,54,4956
198,2018-04-16 12:00:00,48,4956
199,2018-04-16 12:30:00,48,4956
200,2018-04-16 13:00:00,80,4956
201,2018-04-16 13:30:00,55,4956
202,2018-04-16 14:00:00,43,4956
203,2018-04-16 14:30:00,75,4956
204,2018-04-16 15:00:00,25,4956
205,2018-04-16 15:30:00,20,4956
206,2018-04-16 16:00:00,23,4956
207,2018-04-16 16:30:00,32,4956
208,2018-04-16 17:00:00,18,4956
209,2018-04-16 17:30:00,26,4956
210,2018-04-16 18:00:00,32,4956
211,2018-04-16 18:30:00,54,4956
212,2018-04-16 19:00:00,36,4956
213,2018-04-16 19:30:00,34,4956
214,2018-04-16 20:00:00,107,4956
215,2018-04-16 20:30:00,67,4956
216,2018-04-16 21:00:00,61,4956
217,2018-04-16 21:30:00,29,4956
218,2018-04-16 22:00:00,0,4956
219,2018-04-16 22:30:00,0,4956
220,2018-04-16 23:00:00,0,4956
221,2018-04-16 23:30:00,0,4956
222,2018-04-17 00:00:00,0,4956
223,2018-04-17 00:30:00,0,4956
224,2018-04-17 01:00:00,0,4956
225,2018-04-17 01:30:00,0,4956
226,2018-04-17 02:00:00,0,4956
227,2018-04-17 02:30:00,0,4956
228,2018-04-17 03:00:00,0,4956
229,2018-04-17 03:30:00,0,4956
230,2018-04-17 04:00:00,0,4956
231,2018-04-17 04:30:00,0,4956
232,2018-04-17 05:00:00,0,4956
233,2018-04-17 05:30:00,0,4956
234,2018-04-17 06:00:00,0,4956
235,2018-04-17 06:30:00,0,4956
236,2018-04-17 07:00:00,0,4956
237,2018-04-17 07:30:00,0,4956
238,2018-04-17 08:00:00,0,4956
239,2018-04-17 08:30:00,0,4956
240,2018-04-17 09:00:00,17,4956
241,2018-04-17 09:30:00,22,4956
242,2018-04-17 10:00:00,24,4956
243,2018-04-17 10:30:00,17,4956
244,2018-04-17 11:00:00,121,4956
245,2018-04-17 11:30:00,67,4956
246,2018-04-17 12:00:00,80,4956
247,2018-04-17 12:30:00,19,4956
248,2018-04-17 13:00:00,84,4956
249,2018-04-17 13:30:00,93,4956
250,2018-04-17 14:00:00,48,4956
251,2018-04-17 14:30:00,15,4956
252,2018-04-17 15:00:00,13,4956
253,2018-04-17 15:30:00,8,4956
254,2018-04-17 16:00:00,11,4956
255,2018-04-17 16:30:00,5,4956
256,2018-04-17 17:00:00,18,4956
257,2018-04-17 17:30:00,53,4956
258,2018-04-17 18:00:00,65,4956
259,2018-04-17 18:30:00,56,4956
260,2018-04-17 19:00:00,41,4956
261,2018-04-17 19:30:00,84,4956
262,2018-04-17 20:00:00,42,4956
263,2018-04-17 20:30:00,77,4956
264,2018-04-17 21:00:00,38,4956
265,2018-04-17 21:30:00,25,4956
266,2018-04-17 22:00:00,0,4956
267,2018-04-17 22:30:00,0,4956
268,2018-04-17 23:00:00,0,4956
269,2018-04-17 23:30:00,0,4956
270,2018-04-18 00:00:00,0,4956
271,2018-04-18 00:30:00,0,4956
272,2018-04-18 01:00:00,0,4956
273,2018-04-18 01:30:00,0,4956
274,2018-04-18 02:00:00,0,4956
275,2018-04-18 02:30:00,0,4956
276,2018-04-18 03:00:00,0,4956
277,2018-04-18 03:30:00,0,4956
278,2018-04-18 04:00:00,0,4956
279,2018-04-18 04:30:00,0,4956
280,2018-04-18 05:00:00,0,4956
281,2018-04-18 05:30:00,0,4956
282,2018-04-18 06:00:00,0,4956
283,2018-04-18 06:30:00,0,4956
284,2018-04-18 07:00:00,0,4956
285,2018-04-18 07:30:00,0,4956
286,2018-04-18 08:00:00,0,4956
287,2018-04-18 08:30:00,0,4956
288,2018-04-18 09:00:00,4,4956
289,2018-04-18 09:30:00,34,4956
290,2018-04-18 10:00:00,19,4956
291,2018-04-18 10:30:00,38,4956
292,2018-04-18 11:00:00,15,4956
293,2018-04-18 11:30:00,51,4956
294,2018-04-18 12:00:00,92,4956
295,2018-04-18 12:30:00,51,4956
296,2018-04-18 13:00:00,83,4956
297,2018-04-18 13:30:00,41,4956
298,2018-04-18 14:00:00,63,4956
299,2018-04-18 14:30:00,11,4956
300,2018-04-18 15:00:00,45,4956
301,2018-04-18 15:30:00,29,4956
302,2018-04-18 16:00:00,17,4956
303,2018-04-18 16:30:00,16,4956
304,2018-04-18 17:00:00,8,4956
305,2018-04-18 17:30:00,9,4956
306,2018-04-18 18:00:00,15,4956
307,2018-04-18 18:30:00,73,4956
308,2018-04-18 19:00:00,66,4956
309,2018-04-18 19:30:00,28,4956
310,2018-04-18 20:00:00,55,4956
311,2018-04-18 20:30:00,79,4956
312,2018-04-18 21:00:00,40,4956
313,2018-04-18 21:30:00,11,4956
314,2018-04-18 22:00:00,0,4956
315,2018-04-18 22:30:00,0,4956
316,2018-04-18 23:00:00,0,4956
317,2018-04-18 23:30:00,0,4956
318,2018-04-19 00:00:00,0,4956
319,2018-04-19 00:30:00,0,4956
320,2018-04-19 01:00:00,0,4956
321,2018-04-19 01:30:00,0,4956
322,2018-04-19 02:00:00,0,4956
323,2018-04-19 02:30:00,0,4956
324,2018-04-19 03:00:00,0,4956
325,2018-04-19 03:30:00,0,4956
326,2018-04-19 04:00:00,0,4956
327,2018-04-19 04:30:00,0,4956
328,2018-04-19 05:00:00,0,4956
329,2018-04-19 05:30:00,0,4956
330,2018-04-19 06:00:00,0,4956
331,2018-04-19 06:30:00,0,4956
332,2018-04-19 07:00:00,0,4956
333,2018-04-19 07:30:00,0,4956
334,2018-04-19 08:00:00,0,4956
335,2018-04-19 08:30:00,0,4956
336,2018-04-19 09:00:00,0,4956
337,2018-04-19 09:30:00,17,4956
338,2018-04-19 10:00:00,22,4956
339,2018-04-19 10:30:00,18,4956
340,2018-04-19 11:00:00,39,4956
341,2018-04-19 11:30:00,67,4956
342,2018-04-19 12:00:00,48,4956
343,2018-04-19 12:30:00,75,4956
344,2018-04-19 13:00:00,82,4956
345,2018-04-19 13:30:00,71,4956
346,2018-04-19 14:00:00,31,4956
347,2018-04-19 14:30:00,42,4956
348,2018-04-19 15:00:00,34,4956
349,2018-04-19 15:30:00,37,4956
350,2018-04-19 16:00:00,10,4956
351,2018-04-19 16:30:00,26,4956
352,2018-04-19 17:00:00,10,4956
353,2018-04-19 17:30:00,16,4956
354,2018-04-19 18:00:00,25,4956
355,2018-04-19 18:30:00,46,4956
356,2018-04-19 19:00:00,65,4956
357,2018-04-19 19:30:00,24,4956
358,2018-04-19 20:00:00,122,4956
359,2018-04-19 20:30:00,46,4956
360,2018-04-19 21:00:00,35,4956
361,2018-04-19 21:30:00,3,4956
362,2018-04-19 22:00:00,0,4956
363,2018-04-19 22:30:00,0,4956
364,2018-04-19 23:00:00,0,4956
365,2018-04-19 23:30:00,0,4956
366,2018-04-20 00:00:00,0,4956
367,2018-04-20 00:30:00,0,4956
368,2018-04-20 01:00:00,0,4956
369,2018-04-20 01:30:00,0,4956
370,2018-04-20 02:00:00,0,4956
371,2018-04-20 02:30:00,0,4956
372,2018-04-20 03:00:00,0,4956
373,2018-04-20 03:30:00,0,4956
374,2018-04-20 04:00:00,0,4956
375,2018-04-20 04:30:00,0,4956
376,2018-04-20 05:00:00,0,4956
377,2018-04-20 05:30:00,0,4956
378,2018-04-20 06:00:00,0,4956
379,2018-04-20 06:30:00,0,4956
380,2018-04-20 07:00:00,0,4956
381,2018-04-20 07:30:00,0,4956
382,2018-04-20 08:00:00,0,4956
383,2018-04-20 08:30:00,0,4956
384,2018-04-20 09:00:00,2,4956
385,2018-04-20 09:30:00,38,4956
386,2018-04-20 10:00:00,12,4956
387,2018-04-20 10:30:00,44,4956
388,2018-04-20 11:00:00,25,4956
389,2018-04-20 11:30:00,38,4956
390,2018-04-20 12:00:00,26,4956
391,2018-04-20 12:30:00,23,4956
392,2018-04-20 13:00:00,74,4956
393,2018-04-20 13:30:00,48,4956
394,2018-04-20 14:00:00,50,4956
395,2018-04-20 14:30:00,30,4956
396,2018-04-20 15:00:00,19,4956
397,2018-04-20 15:30:00,15,4956
398,2018-04-20 16:00:00,8,4956
399,2018-04-20 16:30:00,3,4956
400,2018-04-20 17:00:00,18,4956
401,2018-04-20 17:30:00,25,4956
402,2018-04-20 18:00:00,21,4956
403,2018-04-20 18:30:00,11,4956
404,2018-04-20 19:00:00,26,4956
405,2018-04-20 19:30:00,32,4956
406,2018-04-20 20:00:00,63,4956
407,2018-04-20 20:30:00,38,4956
408,2018-04-20 21:00:00,61,4956
409,2018-04-20 21:30:00,64,4956
410,2018-04-20 22:00:00,0,4956
411,2018-04-20 22:30:00,0,4956
412,2018-04-20 23:00:00,0,4956
413,2018-04-20 23:30:00,0,4956
414,2018-04-21 00:00:00,0,4956
415,2018-04-21 00:30:00,0,4956
416,2018-04-21 01:00:00,0,4956
417,2018-04-21 01:30:00,0,4956
418,2018-04-21 02:00:00,0,4956
419,2018-04-21 02:30:00,0,4956
420,2018-04-21 03:00:00,0,4956
421,2018-04-21 03:30:00,0,4956
422,2018-04-21 04:00:00,0,4956
423,2018-04-21 04:30:00,0,4956
424,2018-04-21 05:00:00,0,4956
425,2018-04-21 05:30:00,0,4956
426,2018-04-21 06:00:00,0,4956
427,2018-04-21 06:30:00,0,4956
428,2018-04-21 07:00:00,0,4956
429,2018-04-21 07:30:00,0,4956
430,2018-04-21 08:00:00,0,4956
431,2018-04-21 08:30:00,0,4956
432,2018-04-21 09:00:00,14,4956
433,2018-04-21 09:30:00,4,4956
434,2018-04-21 10:00:00,4,4956
435,2018-04-21 10:30:00,8,4956
436,2018-04-21 11:00:00,53,4956
437,2018-04-21 11:30:00,60,4956
438,2018-04-21 12:00:00,51,4956
439,2018-04-21 12:30:00,47,4956
440,2018-04-21 13:00:00,117,4956
441,2018-04-21 13:30:00,56,4956
442,2018-04-21 14:00:00,105,4956
443,2018-04-21 14:30:00,66,4956
444,2018-04-21 15:00:00,46,4956
445,2018-04-21 15:30:00,6,4956
446,2018-04-21 16:00:00,23,4956
447,2018-04-21 16:30:00,0,4956
448,2018-04-21 17:00:00,29,4956
449,2018-04-21 17:30:00,24,4956
450,2018-04-21 18:00:00,25,4956
451,2018-04-21 18:30:00,35,4956
452,2018-04-21 19:00:00,42,4956
453,2018-04-21 19:30:00,18,4956
454,2018-04-21 20:00:00,21,4956
455,2018-04-21 20:30:00,47,4956
456,2018-04-21 21:00:00,63,4956
457,2018-04-21 21:30:00,11,4956
458,2018-04-21 22:00:00,0,4956
459,2018-04-21 22:30:00,0,4956
460,2018-04-21 23:00:00,0,4956
461,2018-04-21 23:30:00,0,4956
462,2018-04-22 00:00:00,0,4956
463,2018-04-22 00:30:00,0,4956
464,2018-04-22 01:00:00,0,4956
465,2018-04-22 01:30:00,0,4956
466,2018-04-22 02:00:00,0,4956
467,2018-04-22 02:30:00,0,4956
468,2018-04-22 03:00:00,0,4956
469,2018-04-22 03:30:00,0,4956
470,2018-04-22 04:00:00,0,4956
471,2018-04-22 04:30:00,0,4956
472,2018-04-22 05:00:00,0,4956
473,2018-04-22 05:30:00,0,4956
474,2018-04-22 06:00:00,0,4956
475,2018-04-22 06:30:00,0,4956
476,2018-04-22 07:00:00,0,4956
477,2018-04-22 07:30:00,0,4956
478,2018-04-22 08:00:00,0,4956
479,2018-04-22 08:30:00,0,4956
480,2018-04-22 09:00:00,2,4956
481,2018-04-22 09:30:00,43,4956
482,2018-04-22 10:00:00,33,4956
483,2018-04-22 10:30:00,35,4956
484,2018-04-22 11:00:00,64,4956
485,2018-04-22 11:30:00,68,4956
486,2018-04-22 12:00:00,110,4956
487,2018-04-22 12:30:00,94,4956
488,2018-04-22 13:00:00,126,4956
489,2018-04-22 13:30:00,193,4956
490,2018-04-22 14:00:00,145,4956
491,2018-04-22 14:30:00,89,4956
492,2018-04-22 15:00:00,0,4956
493,2018-04-22 15:30:00,0,4956
494,2018-04-22 16:00:00,0,4956
495,2018-04-22 16:30:00,0,4956
496,2018-04-22 17:00:00,0,4956
497,2018-04-22 17:30:00,0,4956
498,2018-04-22 18:00:00,0,4956
499,2018-04-22 18:30:00,0,4956
500,2018-04-22 19:00:00,0,4956
501,2018-04-22 19:30:00,0,4956
502,2018-04-22 20:00:00,0,4956
503,2018-04-22 20:30:00,0,4956
504,2018-04-22 21:00:00,0,4956
505,2018-04-22 21:30:00,0,4956
506,2018-04-22 22:00:00,0,4956
507,2018-04-22 22:30:00,0,4956
508,2018-04-22 23:00:00,0,4956
509,2018-04-22 23:30:00,0,4956
510,2018-04-23 00:00:00,0,4956
511,2018-04-23 00:30:00,0,4956
512,2018-04-23 01:00:00,0,4956
513,2018-04-23 01:30:00,0,4956
514,2018-04-23 02:00:00,0,4956
515,2018-04-23 02:30:00,0,4956
516,2018-04-23 03:00:00,0,4956
517,2018-04-23 03:30:00,0,4956
518,2018-04-23 04:00:00,0,4956
519,2018-04-23 04:30:00,0,4956
520,2018-04-23 05:00:00,0,4956
521,2018-04-23 05:30:00,0,4956
522,2018-04-23 06:00:00,0,4956
523,2018-04-23 06:30:00,0,4956
524,2018-04-23 07:00:00,0,4956
525,2018-04-23 07:30:00,0,4956
526,2018-04-23 08:00:00,0,4956
527,2018-04-23 08:30:00,0,4956
528,2018-04-23 09:00:00,10,4956
529,2018-04-23 09:30:00,23,4956
530,2018-04-23 10:00:00,10,4956
531,2018-04-23 10:30:00,16,4956
532,2018-04-23 11:00:00,61,4956
533,2018-04-23 11:30:00,20,4956
534,2018-04-23 12:00:00,28,4956
535,2018-04-23 12:30:00,99,4956
536,2018-04-23 13:00:00,37,4956
537,2018-04-23 13:30:00,63,4956
538,2018-04-23 14:00:00,60,4956
539,2018-04-23 14:30:00,19,4956
540,2018-04-23 15:00:00,55,4956
541,2018-04-23 15:30:00,20,4956
542,2018-04-23 16:00:00,15,4956
543,2018-04-23 16:30:00,7,4956
544,2018-04-23 17:00:00,4,4956
545,2018-04-23 17:30:00,23,4956
546,2018-04-23 18:00:00,48,4956
547,2018-04-23 18:30:00,13,4956
548,2018-04-23 19:00:00,70,4956
549,2018-04-23 19:30:00,87,4956
550,2018-04-23 20:00:00,70,4956
551,2018-04-23 20:30:00,76,4956
552,2018-04-23 21:00:00,55,4956
553,2018-04-23 21:30:00,21,4956
554,2018-04-23 22:00:00,0,4956
555,2018-04-23 22:30:00,0,4956
556,2018-04-23 23:00:00,0,4956
557,2018-04-23 23:30:00,0,4956
558,2018-04-24 00:00:00,0,4956
559,2018-04-24 00:30:00,0,4956
560,2018-04-24 01:00:00,0,4956
561,2018-04-24 01:30:00,0,4956
562,2018-04-24 02:00:00,0,4956
563,2018-04-24 02:30:00,0,4956
564,2018-04-24 03:00:00,0,4956
565,2018-04-24 03:30:00,0,4956
566,2018-04-24 04:00:00,0,4956
567,2018-04-24 04:30:00,0,4956
568,2018-04-24 05:00:00,0,4956
569,2018-04-24 05:30:00,0,4956
570,2018-04-24 06:00:00,0,4956
571,2018-04-24 06:30:00,0,4956
572,2018-04-24 07:00:00,0,4956
573,2018-04-24 07:30:00,0,4956
574,2018-04-24 08:00:00,0,4956
575,2018-04-24 08:30:00,0,4956
576,2018-04-24 09:00:00,4,4956
577,2018-04-24 09:30:00,48,4956
578,2018-04-24 10:00:00,17,4956
