	ds	y
0	2020-05-28 09:30:00	24
1	2020-05-28 10:00:00	5191
2	2020-05-28 10:30:00	307
3	2020-05-28 11:00:00	332
4	2020-05-28 11:30:00	417
5	2020-05-28 12:00:00	205
6	2020-05-28 12:30:00	237
7	2020-05-28 13:00:00	610
8	2020-05-28 13:30:00	296
9	2020-05-28 14:00:00	306
10	2020-05-28 14:30:00	266
11	2020-05-28 15:00:00	143
12	2020-05-28 15:30:00	28
13	2020-05-28 16:00:00	153
14	2020-05-28 16:30:00	54
15	2020-05-28 17:00:00	105
16	2020-05-28 17:30:00	89
17	2020-05-28 18:00:00	286
18	2020-05-28 18:30:00	249
19	2020-05-28 19:00:00	92
20	2020-05-28 19:30:00	298
21	2020-05-28 20:00:00	439
22	2020-05-28 20:30:00	29812
23	2020-05-28 21:00:00	267
24	2020-05-28 21:30:00	0
25	2020-05-28 22:00:00	0
26	2020-05-28 22:30:00	0
27	2020-05-28 23:00:00	0
28	2020-05-28 23:30:00	0
29	2020-05-29 00:00:00	0
30	2020-05-29 00:30:00	0
31	2020-05-29 01:00:00	0
32	2020-05-29 01:30:00	0
33	2020-05-29 02:00:00	0
34	2020-05-29 02:30:00	0
35	2020-05-29 03:00:00	0
36	2020-05-29 03:30:00	0
37	2020-05-29 04:00:00	0
38	2020-05-29 04:30:00	0
39	2020-05-29 05:00:00	0
40	2020-05-29 05:30:00	0
41	2020-05-29 06:00:00	0
42	2020-05-29 06:30:00	0
43	2020-05-29 07:00:00	0
44	2020-05-29 07:30:00	0
45	2020-05-29 08:00:00	0
46	2020-05-29 08:30:00	0
47	2020-05-29 09:00:00	15
48	2020-05-29 09:30:00	9
49	2020-05-29 10:00:00	65
50	2020-05-29 10:30:00	143
51	2020-05-29 11:00:00	516
52	2020-05-29 11:30:00	220
53	2020-05-29 12:00:00	242
54	2020-05-29 12:30:00	239
55	2020-05-29 13:00:00	313
56	2020-05-29 13:30:00	354
57	2020-05-29 14:00:00	213
58	2020-05-29 14:30:00	304
59	2020-05-29 15:00:00	229
60	2020-05-29 15:30:00	45
61	2020-05-29 16:00:00	40
62	2020-05-29 16:30:00	77
63	2020-05-29 17:00:00	81
64	2020-05-29 17:30:00	150
65	2020-05-29 18:00:00	141
66	2020-05-29 18:30:00	96
67	2020-05-29 19:00:00	211
68	2020-05-29 19:30:00	267
69	2020-05-29 20:00:00	265
70	2020-05-29 20:30:00	224
71	2020-05-29 21:00:00	239
72	2020-05-29 21:30:00	2
73	2020-05-29 22:00:00	0
74	2020-05-29 22:30:00	0
75	2020-05-29 23:00:00	0
76	2020-05-29 23:30:00	0
77	2020-05-30 00:00:00	0
78	2020-05-30 00:30:00	0
79	2020-05-30 01:00:00	0
80	2020-05-30 01:30:00	0
81	2020-05-30 02:00:00	0
82	2020-05-30 02:30:00	0
83	2020-05-30 03:00:00	0
84	2020-05-30 03:30:00	0
85	2020-05-30 04:00:00	0
86	2020-05-30 04:30:00	0
87	2020-05-30 05:00:00	0
88	2020-05-30 05:30:00	0
89	2020-05-30 06:00:00	0
90	2020-05-30 06:30:00	0
91	2020-05-30 07:00:00	0
92	2020-05-30 07:30:00	0
93	2020-05-30 08:00:00	0
94	2020-05-30 08:30:00	0
95	2020-05-30 09:00:00	6
96	2020-05-30 09:30:00	13
97	2020-05-30 10:00:00	202
98	2020-05-30 10:30:00	221
99	2020-05-30 11:00:00	262
100	2020-05-30 11:30:00	316
101	2020-05-30 12:00:00	401
102	2020-05-30 12:30:00	256
103	2020-05-30 13:00:00	335
104	2020-05-30 13:30:00	327
105	2020-05-30 14:00:00	288
106	2020-05-30 14:30:00	159
107	2020-05-30 15:00:00	168
108	2020-05-30 15:30:00	17
109	2020-05-30 16:00:00	27
110	2020-05-30 16:30:00	48
111	2020-05-30 17:00:00	87
112	2020-05-30 17:30:00	88
113	2020-05-30 18:00:00	77
114	2020-05-30 18:30:00	100
115	2020-05-30 19:00:00	212
116	2020-05-30 19:30:00	182
117	2020-05-30 20:00:00	201
118	2020-05-30 20:30:00	239
119	2020-05-30 21:00:00	110
120	2020-05-30 21:30:00	0
121	2020-05-30 22:00:00	0
122	2020-05-30 22:30:00	0
123	2020-05-30 23:00:00	0
124	2020-05-30 23:30:00	0
125	2020-05-31 00:00:00	0
126	2020-05-31 00:30:00	0
127	2020-05-31 01:00:00	0
128	2020-05-31 01:30:00	0
129	2020-05-31 02:00:00	0
130	2020-05-31 02:30:00	0
131	2020-05-31 03:00:00	0
132	2020-05-31 03:30:00	0
133	2020-05-31 04:00:00	0
134	2020-05-31 04:30:00	0
135	2020-05-31 05:00:00	0
136	2020-05-31 05:30:00	0
137	2020-05-31 06:00:00	0
138	2020-05-31 06:30:00	0
139	2020-05-31 07:00:00	0
140	2020-05-31 07:30:00	0
141	2020-05-31 08:00:00	0
142	2020-05-31 08:30:00	0
143	2020-05-31 09:00:00	0
144	2020-05-31 09:30:00	0
145	2020-05-31 10:00:00	0
146	2020-05-31 10:30:00	0
147	2020-05-31 11:00:00	0
148	2020-05-31 11:30:00	0
149	2020-05-31 12:00:00	0
150	2020-05-31 12:30:00	0
151	2020-05-31 13:00:00	0
152	2020-05-31 13:30:00	0
153	2020-05-31 14:00:00	0
154	2020-05-31 14:30:00	0
155	2020-05-31 15:00:00	0
156	2020-05-31 15:30:00	0
157	2020-05-31 16:00:00	0
158	2020-05-31 16:30:00	0
159	2020-05-31 17:00:00	0
160	2020-05-31 17:30:00	0
161	2020-05-31 18:00:00	0
162	2020-05-31 18:30:00	0
163	2020-05-31 19:00:00	0
164	2020-05-31 19:30:00	0
165	2020-05-31 20:00:00	0
166	2020-05-31 20:30:00	0
167	2020-05-31 21:00:00	0
168	2020-05-31 21:30:00	0
169	2020-05-31 22:00:00	0
170	2020-05-31 22:30:00	0
171	2020-05-31 23:00:00	0
172	2020-05-31 23:30:00	0
173	2020-06-01 00:00:00	0
174	2020-06-01 00:30:00	0
175	2020-06-01 01:00:00	0
176	2020-06-01 01:30:00	0
177	2020-06-01 02:00:00	0
178	2020-06-01 02:30:00	0
179	2020-06-01 03:00:00	0
180	2020-06-01 03:30:00	0
181	2020-06-01 04:00:00	0
182	2020-06-01 04:30:00	0
183	2020-06-01 05:00:00	0
184	2020-06-01 05:30:00	0
185	2020-06-01 06:00:00	0
