,ts,visitors
126910,2015-01-03 20:45:00,12.0
126911,2015-01-03 21:00:00,15.0
126912,2015-01-03 21:15:00,8.0
95447,2015-01-03 21:15:00,4.0
95448,2015-01-03 21:30:00,1.0
126913,2015-01-03 21:30:00,1.0
126914,2015-01-05 10:00:00,8.0
95455,2015-01-05 10:15:00,3.0
126915,2015-01-05 10:15:00,10.0
95456,2015-01-05 10:30:00,1.0
126916,2015-01-05 10:30:00,13.0
95457,2015-01-05 10:45:00,2.0
29660,2015-01-05 10:45:00,13.0
126917,2015-01-05 10:45:00,11.0
29661,2015-01-05 11:00:00,11.0
126918,2015-01-05 11:00:00,13.0
95458,2015-01-05 11:00:00,1.0
126919,2015-01-05 11:15:00,18.0
95459,2015-01-05 11:30:00,5.0
126920,2015-01-05 11:30:00,15.0
29663,2015-01-05 11:30:00,13.0
95460,2015-01-05 11:45:00,6.0
29664,2015-01-05 11:45:00,3.0
126921,2015-01-05 11:45:00,11.0
29665,2015-01-05 12:00:00,12.0
126922,2015-01-05 12:00:00,14.0
95461,2015-01-05 12:00:00,4.0
29666,2015-01-05 12:15:00,14.0
126923,2015-01-05 12:15:00,16.0
29667,2015-01-05 12:30:00,11.0
126924,2015-01-05 12:30:00,14.0
95462,2015-01-05 12:30:00,8.0
29668,2015-01-05 12:45:00,14.0
95463,2015-01-05 12:45:00,5.0
126925,2015-01-05 12:45:00,15.0
95464,2015-01-05 13:00:00,8.0
29669,2015-01-05 13:00:00,17.0
126926,2015-01-05 13:00:00,15.0
95465,2015-01-05 13:15:00,15.0
29670,2015-01-05 13:15:00,14.0
126927,2015-01-05 13:15:00,15.0
126928,2015-01-05 13:30:00,18.0
29671,2015-01-05 13:30:00,15.0
95466,2015-01-05 13:45:00,4.0
29672,2015-01-05 13:45:00,14.0
126929,2015-01-05 13:45:00,20.0
29673,2015-01-05 14:00:00,11.0
95467,2015-01-05 14:00:00,4.0
126930,2015-01-05 14:00:00,11.0
95468,2015-01-05 14:15:00,11.0
126931,2015-01-05 14:15:00,15.0
29674,2015-01-05 14:15:00,5.0
95469,2015-01-05 14:30:00,8.0
126932,2015-01-05 14:30:00,14.0
29675,2015-01-05 14:30:00,4.0
95470,2015-01-05 14:45:00,8.0
126933,2015-01-05 14:45:00,7.0
95471,2015-01-05 15:00:00,18.0
126934,2015-01-05 15:15:00,9.0
95472,2015-01-05 15:15:00,4.0
126935,2015-01-05 15:30:00,13.0
126936,2015-01-05 15:45:00,12.0
126937,2015-01-05 16:00:00,6.0
126938,2015-01-05 16:15:00,8.0
126939,2015-01-05 16:30:00,14.0
126940,2015-01-05 16:45:00,12.0
126941,2015-01-05 17:00:00,12.0
126942,2015-01-05 17:15:00,9.0
29686,2015-01-05 17:15:00,10.0
126943,2015-01-05 17:30:00,11.0
29687,2015-01-05 17:45:00,7.0
126944,2015-01-05 17:45:00,12.0
95420,2015-01-05 18:00:00,3.0
126945,2015-01-05 18:00:00,14.0
29688,2015-01-05 18:00:00,3.0
29689,2015-01-05 18:15:00,2.0
126946,2015-01-05 18:15:00,12.0
126947,2015-01-05 18:30:00,11.0
29690,2015-01-05 18:45:00,4.0
126948,2015-01-05 18:45:00,11.0
29605,2015-01-05 19:00:00,3.0
126949,2015-01-05 19:00:00,6.0
95473,2015-01-05 19:00:00,8.0
29691,2015-01-05 19:15:00,7.0
95474,2015-01-05 19:15:00,1.0
126950,2015-01-05 19:15:00,15.0
29692,2015-01-05 19:30:00,5.0
126951,2015-01-05 19:30:00,11.0
126952,2015-01-05 19:45:00,13.0
29693,2015-01-05 20:00:00,9.0
126953,2015-01-05 20:00:00,16.0
95475,2015-01-05 20:00:00,3.0
95421,2015-01-05 20:00:00,3.0
29606,2015-01-05 20:00:00,5.0
126954,2015-01-05 20:15:00,16.0
29694,2015-01-05 20:15:00,7.0
126955,2015-01-05 20:30:00,14.0
95476,2015-01-05 20:45:00,4.0
126956,2015-01-05 20:45:00,12.0
29695,2015-01-05 20:45:00,7.0
126957,2015-01-05 21:00:00,14.0
95422,2015-01-05 21:00:00,6.0
29607,2015-01-05 21:00:00,2.0
29696,2015-01-05 21:15:00,9.0
126958,2015-01-05 21:15:00,20.0
95477,2015-01-05 21:15:00,2.0
126959,2015-01-05 21:30:00,5.0
95478,2015-01-05 21:30:00,1.0
95423,2015-01-05 22:00:00,5.0
95424,2015-01-05 23:00:00,4.0
95450,2015-01-06 19:00:00,3.0
95451,2015-01-06 20:00:00,5.0
95452,2015-01-06 21:00:00,8.0
95453,2015-01-06 22:00:00,2.0
95454,2015-01-06 23:00:00,5.0
126967,2015-01-07 10:00:00,9.0
126968,2015-01-07 10:15:00,11.0
126969,2015-01-07 10:30:00,11.0
126970,2015-01-07 10:45:00,10.0
126971,2015-01-07 11:00:00,14.0
